time,"I(L0)","I(LQ|XO1)"
0.000000e+00,1.009806e-06,1.599499e-06
2.000000e-13,1.158416e-06,1.821289e-06
4.000000e-13,1.426862e-06,2.224287e-06
6.000000e-13,1.848253e-06,2.868316e-06
8.000000e-13,2.463548e-06,3.828082e-06
1.000000e-12,3.327494e-06,5.207258e-06
1.200000e-12,4.512417e-06,7.151082e-06
1.400000e-12,6.109115e-06,9.860885e-06
1.600000e-12,8.218822e-06,1.361214e-05
1.800000e-12,1.092308e-05,1.877477e-05
2.000000e-12,1.421409e-05,2.582881e-05
2.200000e-12,1.788976e-05,3.535772e-05
2.400000e-12,2.148959e-05,4.798376e-05
2.600000e-12,2.439107e-05,6.419159e-05
2.800000e-12,2.604603e-05,8.399510e-05
3.000000e-12,2.618031e-05,1.064866e-04
3.200000e-12,2.485800e-05,1.294961e-04
3.400000e-12,2.243325e-05,1.497509e-04
3.600000e-12,1.942862e-05,1.637182e-04
3.800000e-12,1.637710e-05,1.687729e-04
4.000000e-12,1.368920e-05,1.640774e-04
4.200000e-12,1.159762e-05,1.507709e-04
4.400000e-12,1.017893e-05,1.314322e-04
4.600000e-12,9.413646e-06,1.091408e-04
4.800000e-12,9.246370e-06,8.661491e-05
5.000000e-12,9.625604e-06,6.574929e-05
5.200000e-12,1.051863e-05,4.758566e-05
5.400000e-12,1.190253e-05,3.254730e-05
5.600000e-12,1.373488e-05,2.073590e-05
5.800000e-12,1.591420e-05,1.216060e-05
6.000000e-12,1.825219e-05,6.859816e-06
6.200000e-12,2.048163e-05,4.936368e-06
6.400000e-12,2.230343e-05,6.545390e-06
6.600000e-12,2.345278e-05,1.186274e-05
6.800000e-12,2.375975e-05,2.103805e-05
7.000000e-12,2.318628e-05,3.411520e-05
7.200000e-12,2.182943e-05,5.089883e-05
7.400000e-12,1.988988e-05,7.077036e-05
7.600000e-12,1.761744e-05,9.249314e-05
7.800000e-12,1.525339e-05,1.140787e-04
8.000000e-12,1.298845e-05,1.328755e-04
8.200000e-12,1.094516e-05,1.460833e-04
8.400000e-12,9.183443e-06,1.515875e-04
