time,"I(LOUT)","I(LIN|XOUT)","I(LA|XAND)","I(LB|XAND)","I(LC|XAND)"
0.000000e+00,1.281101e-07,1.426679e-07,2.809729e-08,8.647331e-08,2.809729e-08
2.000000e-13,1.406043e-07,1.041448e-07,-6.213404e-09,1.165716e-07,-6.213404e-09
4.000000e-13,1.612908e-07,4.297767e-08,-6.103919e-08,1.650560e-07,-6.103919e-08
6.000000e-13,1.882329e-07,-7.384782e-08,-1.540665e-07,2.342851e-07,-1.540665e-07
8.000000e-13,2.164229e-07,-2.858455e-07,-3.071298e-07,3.284141e-07,-3.071298e-07
1.000000e-12,2.368396e-07,-6.394722e-07,-5.456115e-07,4.517507e-07,-5.456115e-07
1.200000e-12,2.396544e-07,-1.118531e-06,-8.624161e-07,6.063016e-07,-8.624161e-07
1.400000e-12,2.026778e-07,-1.813051e-06,-1.308785e-06,8.045199e-07,-1.308785e-06
1.600000e-12,9.768583e-08,-2.762149e-06,-1.912568e-06,1.062986e-06,-1.912568e-06
1.800000e-12,-1.157413e-07,-4.010576e-06,-2.709137e-06,1.407697e-06,-2.709137e-06
2.000000e-12,-4.942554e-07,-5.613671e-06,-3.744548e-06,1.875426e-06,-3.744548e-06
2.200000e-12,-1.115469e-06,-7.636912e-06,-5.075504e-06,2.514096e-06,-5.075504e-06
2.400000e-12,-2.083106e-06,-1.014705e-05,-6.764727e-06,3.382400e-06,-6.764727e-06
2.600000e-12,-3.531265e-06,-1.318471e-05,-8.866539e-06,4.548367e-06,-8.866539e-06
2.800000e-12,-5.625062e-06,-1.670416e-05,-1.139495e-05,6.085742e-06,-1.139495e-05
3.000000e-12,-8.552950e-06,-2.047068e-05,-1.426856e-05,8.066443e-06,-1.426856e-05
3.200000e-12,-1.250386e-05,-2.393792e-05,-1.724273e-05,1.054754e-05,-1.724273e-05
3.400000e-12,-1.762021e-05,-2.619926e-05,-1.987598e-05,1.355270e-05,-1.987598e-05
3.600000e-12,-2.391562e-05,-2.615479e-05,-2.160157e-05,1.704835e-05,-2.160157e-05
3.800000e-12,-3.115149e-05,-2.293317e-05,-2.192284e-05,2.091251e-05,-2.192284e-05
4.000000e-12,-3.870870e-05,-1.638954e-05,-2.064594e-05,2.490233e-05,-2.064594e-05
4.200000e-12,-4.557262e-05,-7.373740e-06,-1.801325e-05,2.865276e-05,-1.801325e-05
4.400000e-12,-5.054690e-05,2.446259e-06,-1.464840e-05,3.174307e-05,-1.464840e-05
4.600000e-12,-5.263880e-05,1.113988e-05,-1.133798e-05,3.381583e-05,-1.133798e-05
4.800000e-12,-5.140451e-05,1.714608e-05,-8.769290e-06,3.468466e-05,-8.769290e-06
5.000000e-12,-4.707224e-05,1.967482e-05,-7.350174e-06,3.437517e-05,-7.350174e-06
5.200000e-12,-4.039797e-05,1.873831e-05,-7.173337e-06,3.308499e-05,-7.173337e-06
5.400000e-12,-3.235283e-05,1.488766e-05,-8.102094e-06,3.109185e-05,-8.102094e-06
5.600000e-12,-2.381503e-05,8.864031e-06,-9.899064e-06,2.866216e-05,-9.899064e-06
5.800000e-12,-1.539981e-05,1.351404e-06,-1.232447e-05,2.600035e-05,-1.232447e-05
6.000000e-12,-7.456792e-06,-7.100623e-06,-1.517406e-05,2.324749e-05,-1.517406e-05
6.200000e-12,-1.744898e-07,-1.602718e-05,-1.826864e-05,2.051011e-05,-1.826864e-05
6.400000e-12,6.301927e-06,-2.496418e-05,-2.142745e-05,1.789072e-05,-2.142745e-05
6.600000e-12,1.180776e-05,-3.340475e-05,-2.445222e-05,1.549968e-05,-2.445222e-05
6.800000e-12,1.615889e-05,-4.081342e-05,-2.713048e-05,1.344754e-05,-2.713048e-05
7.000000e-12,1.918154e-05,-4.667476e-05,-2.925218e-05,1.182960e-05,-2.925218e-05
7.200000e-12,2.074275e-05,-5.055317e-05,-3.063291e-05,1.071265e-05,-3.063291e-05
7.400000e-12,2.077088e-05,-5.215093e-05,-3.113903e-05,1.012714e-05,-3.113903e-05
7.600000e-12,1.926223e-05,-5.134967e-05,-3.070775e-05,1.006583e-05,-3.070775e-05
7.800000e-12,1.627373e-05,-4.822237e-05,-2.935534e-05,1.048832e-05,-2.935534e-05
8.000000e-12,1.191121e-05,-4.301760e-05,-2.717264e-05,1.132768e-05,-2.717264e-05
8.200000e-12,6.327369e-06,-3.613137e-05,-2.431267e-05,1.249397e-05,-2.431267e-05
8.400000e-12,-2.676867e-07,-2.807795e-05,-2.097550e-05,1.387305e-05,-2.097550e-05
8.600000e-12,-7.596334e-06,-1.945820e-05,-1.739151e-05,1.532482e-05,-1.739151e-05
8.800000e-12,-1.531899e-05,-1.091931e-05,-1.380271e-05,1.668611e-05,-1.380271e-05
9.000000e-12,-2.304639e-05,-3.119422e-06,-1.044789e-05,1.777636e-05,-1.044789e-05
9.200000e-12,-3.033144e-05,3.278399e-06,-7.560551e-06,1.839950e-05,-7.560551e-06
9.400000e-12,-3.665203e-05,7.602425e-06,-5.373003e-06,1.834843e-05,-5.373003e-06
9.600000e-12,-4.145112e-05,9.235712e-06,-4.099497e-06,1.743471e-05,-4.099497e-06
9.800000e-12,-4.426561e-05,7.777236e-06,-3.885291e-06,1.554782e-05,-3.885291e-06
1.000000e-11,-4.487739e-05,3.217034e-06,-4.745823e-06,1.270868e-05,-4.745823e-06
1.020000e-11,-4.339424e-05,-3.988226e-06,-6.532559e-06,9.076893e-06,-6.532559e-06
1.040000e-11,-4.022362e-05,-1.297886e-05,-8.944947e-06,4.911036e-06,-8.944947e-06
1.060000e-11,-3.596387e-05,-2.265298e-05,-1.158560e-05,5.182178e-07,-1.158560e-05
1.080000e-11,-3.126508e-05,-3.185589e-05,-1.404029e-05,-3.775310e-06,-1.404029e-05
1.100000e-11,-2.670961e-05,-3.954936e-05,-1.595691e-05,-7.635543e-06,-1.595691e-05
1.120000e-11,-2.274089e-05,-4.494096e-05,-1.710022e-05,-1.074053e-05,-1.710022e-05
1.140000e-11,-1.964042e-05,-4.756482e-05,-1.737191e-05,-1.282099e-05,-1.737191e-05
1.160000e-11,-1.753523e-05,-4.730438e-05,-1.679911e-05,-1.370616e-05,-1.679911e-05
1.180000e-11,-1.641698e-05,-4.435711e-05,-1.550267e-05,-1.335176e-05,-1.550267e-05
1.200000e-11,-1.616394e-05,-3.915530e-05,-1.365812e-05,-1.183906e-05,-1.365812e-05
1.220000e-11,-1.656481e-05,-3.226628e-05,-1.146010e-05,-9.346080e-06,-1.146010e-05
1.240000e-11,-1.734400e-05,-2.429756e-05,-9.097706e-06,-6.102152e-06,-9.097706e-06
1.260000e-11,-1.818726e-05,-1.583469e-05,-6.742434e-06,-2.349819e-06,-6.742434e-06
1.280000e-11,-1.876785e-05,-7.435591e-06,-4.544436e-06,1.653282e-06,-4.544436e-06
1.300000e-11,-1.877570e-05,3.278242e-07,-2.630292e-06,5.588408e-06,-2.630292e-06
1.320000e-11,-1.794948e-05,6.851889e-06,-1.099285e-06,9.050459e-06,-1.099285e-06
1.340000e-11,-1.610744e-05,1.157818e-05,-1.945954e-08,1.161710e-05,-1.945954e-08
1.360000e-11,-1.317464e-05,1.412914e-05,5.771252e-07,1.297489e-05,5.771252e-07
1.380000e-11,-9.207138e-06,1.440619e-05,7.019111e-07,1.300237e-05,7.019111e-07
1.400000e-11,-4.410609e-06,1.260410e-05,4.185387e-07,1.176702e-05,4.185387e-07
1.420000e-11,8.579129e-07,9.155847e-06,-1.540164e-07,9.463880e-06,-1.540164e-07
1.440000e-11,6.123827e-06,4.644113e-06,-8.530545e-07,6.350222e-06,-8.530545e-07
1.460000e-11,1.087052e-05,-2.833249e-07,-1.501799e-06,2.720273e-06,-1.501799e-06
1.480000e-11,1.463174e-05,-4.969959e-06,-1.947037e-06,-1.075885e-06,-1.947037e-06
1.500000e-11,1.706012e-05,-8.796769e-06,-2.086850e-06,-4.623068e-06,-2.086850e-06
1.520000e-11,1.795098e-05,-1.125127e-05,-1.878299e-06,-7.494669e-06,-1.878299e-06
1.540000e-11,1.723353e-05,-1.200488e-05,-1.330341e-06,-9.344201e-06,-1.330341e-06
1.560000e-11,1.495844e-05,-1.096080e-05,-4.948914e-07,-9.971016e-06,-4.948914e-07
