time,"V(4,0)","V(B1)","I(B1)","P(B1)","I(LQ)"
0.000000e+00,6.084817e-35,4.943913e-35,-6.123234e-21,1.926211e-16,1.224647e-20
2.000000e-13,7.362075e-06,7.362075e-06,1.803708e-06,2.982656e-03,-1.817321e-07
4.000000e-13,2.034417e-05,2.034417e-05,2.056794e-06,1.221907e-02,-4.853904e-07
6.000000e-13,3.100117e-05,3.100117e-05,1.774400e-07,2.785763e-02,-1.007218e-06
8.000000e-13,3.089535e-05,3.089535e-05,-3.196310e-06,4.558736e-02,-1.867561e-06
1.000000e-12,1.526640e-05,1.526640e-05,-6.753739e-06,5.768227e-02,-3.208127e-06
1.200000e-12,-1.365311e-05,-1.365311e-05,-8.678096e-06,5.618251e-02,-5.017217e-06
1.400000e-12,-5.019220e-05,-5.019220e-05,-8.493529e-06,3.534782e-02,-7.561731e-06
1.600000e-12,-8.789178e-05,-8.789178e-05,-6.150300e-06,-7.205376e-03,-1.100065e-05
1.800000e-12,-1.226871e-04,-1.226871e-04,-2.326197e-06,-7.109500e-02,-1.552913e-05
2.000000e-12,-1.550335e-04,-1.550335e-04,1.994245e-06,-1.552015e-01,-2.138991e-05
2.200000e-12,-1.897717e-04,-1.897717e-04,6.090733e-06,-2.601207e-01,-2.886614e-05
2.400000e-12,-2.335862e-04,-2.335862e-04,9.944755e-06,-3.897285e-01,-3.825217e-05
2.600000e-12,-2.907712e-04,-2.907712e-04,1.433991e-05,-5.507335e-01,-4.978685e-05
2.800000e-12,-3.584829e-04,-3.584829e-04,2.054321e-05,-7.496369e-01,-6.353308e-05
3.000000e-12,-4.230529e-04,-4.230529e-04,2.962643e-05,-9.873328e-01,-7.920206e-05
3.200000e-12,-4.600005e-04,-4.600005e-04,4.165565e-05,-1.252928e+00,-9.596355e-05
3.400000e-12,-4.413901e-04,-4.413901e-04,5.518713e-05,-1.520284e+00,-1.123568e-04
3.600000e-12,-3.506378e-04,-3.506378e-04,6.755535e-05,-1.751459e+00,-1.264516e-04
3.800000e-12,-1.955273e-04,-1.955273e-04,7.598477e-05,-1.907733e+00,-1.362976e-04
4.000000e-12,-7.615363e-06,-7.615363e-06,7.885229e-05,-1.962910e+00,-1.404926e-04
4.200000e-12,1.721593e-04,1.721593e-04,7.626264e-05,-1.911554e+00,-1.386008e-04
4.400000e-12,3.109665e-04,3.109665e-04,6.965436e-05,-1.768451e+00,-1.312424e-04
4.600000e-12,3.942804e-04,3.942804e-04,6.084782e-05,-1.561012e+00,-1.198457e-04
4.800000e-12,4.253206e-04,4.253206e-04,5.121543e-05,-1.319552e+00,-1.062016e-04
5.000000e-12,4.172522e-04,4.172522e-04,4.140039e-05,-1.070021e+00,-9.201930e-05
5.200000e-12,3.844528e-04,3.844528e-04,3.155833e-05,-8.310872e-01,-7.863046e-05
5.400000e-12,3.373265e-04,3.373265e-04,2.180671e-05,-6.147789e-01,-6.688795e-05
5.600000e-12,2.815688e-04,2.815688e-04,1.254904e-05,-4.286020e-01,-5.721515e-05
5.800000e-12,2.202130e-04,2.202130e-04,4.500549e-06,-2.773263e-01,-4.972933e-05
6.000000e-12,1.560765e-04,1.560765e-04,-1.556606e-06,-1.636686e-01,-4.437293e-05
6.200000e-12,9.290690e-05,9.290690e-05,-5.116248e-06,-8.814260e-02,-4.101601e-05
6.400000e-12,3.480662e-05,3.480662e-05,-6.181373e-06,-4.886578e-02,-3.951932e-05
6.600000e-12,-1.533243e-05,-1.533243e-05,-5.253543e-06,-4.198525e-02,-3.976277e-05
6.800000e-12,-5.714234e-05,-5.714234e-05,-3.081010e-06,-6.284227e-02,-4.164862e-05
7.000000e-12,-9.286776e-05,-9.286776e-05,-2.943612e-07,-1.074189e-01,-4.508818e-05
7.200000e-12,-1.260194e-04,-1.260194e-04,2.885513e-06,-1.733330e-01,-4.997870e-05
7.400000e-12,-1.591758e-04,-1.591758e-04,6.717436e-06,-2.597925e-01,-5.617647e-05
7.600000e-12,-1.919587e-04,-1.919587e-04,1.174392e-05,-3.663821e-01,-6.347142e-05
7.800000e-12,-2.201535e-04,-2.201535e-04,1.841369e-05,-4.911045e-01,-7.156680e-05
8.000000e-12,-2.365003e-04,-2.365003e-04,2.670256e-05,-6.284939e-01,-8.006490e-05
8.200000e-12,-2.330667e-04,-2.330667e-04,3.592824e-05,-7.687146e-01,-8.846192e-05
8.400000e-12,-2.044648e-04,-2.044648e-04,4.487269e-05,-8.982912e-01,-9.616196e-05
8.600000e-12,-1.505715e-04,-1.505715e-04,5.217191e-05,-1.002486e+00,-1.025244e-04
8.800000e-12,-7.728145e-05,-7.728145e-05,5.678204e-05,-1.068527e+00,-1.069490e-04
9.000000e-12,5.331942e-06,5.331942e-06,5.828098e-05,-1.088380e+00,-1.089810e-04
9.200000e-12,8.651753e-05,8.651753e-05,5.686408e-05,-1.059947e+00,-1.084005e-04
9.400000e-12,1.581006e-04,1.581006e-04,5.307869e-05,-9.864162e-01,-1.052631e-04
9.600000e-12,2.159747e-04,2.159747e-04,4.748518e-05,-8.744065e-01,-9.987325e-05
9.800000e-12,2.596038e-04,2.596038e-04,4.044156e-05,-7.318946e-01,-9.270315e-05
1.000000e-11,2.904008e-04,2.904008e-04,3.209946e-05,-5.667382e-01,-8.428462e-05
1.020000e-11,3.101319e-04,3.101319e-04,2.256121e-05,-3.860399e-01,-7.511014e-05
1.040000e-11,3.200750e-04,3.200750e-04,1.206755e-05,-1.961325e-01,-6.556965e-05
1.060000e-11,3.210282e-04,3.210282e-04,1.093945e-06,-2.769349e-03,-5.593249e-05
1.080000e-11,3.138123e-04,3.138123e-04,-9.697225e-06,1.888223e-01,-4.636703e-05
1.100000e-11,2.997724e-04,2.997724e-04,-1.961845e-05,3.741354e-01,-3.697965e-05
