time,"I(RINA)","I(RINB)","I(RINC)","I(LQ|XBS)","I(LQ|XBC)"
0.000000e+00,-0.000000e+00,-0.000000e+00,-0.000000e+00,2.100059e-06,2.594429e-07
2.000000e-13,-0.000000e+00,-0.000000e+00,-0.000000e+00,2.395097e-06,2.934773e-07
4.000000e-13,-0.000000e+00,-0.000000e+00,-0.000000e+00,2.931556e-06,3.550428e-07
6.000000e-13,-0.000000e+00,-0.000000e+00,-0.000000e+00,3.789654e-06,4.529419e-07
8.000000e-13,-0.000000e+00,-0.000000e+00,-0.000000e+00,5.070283e-06,5.980511e-07
1.000000e-12,-0.000000e+00,-0.000000e+00,-0.000000e+00,6.914525e-06,8.054682e-07
1.200000e-12,-0.000000e+00,-0.000000e+00,-0.000000e+00,9.521207e-06,1.096450e-06
1.400000e-12,-0.000000e+00,-0.000000e+00,-0.000000e+00,1.316604e-05,1.500676e-06
1.600000e-12,-0.000000e+00,-0.000000e+00,-0.000000e+00,1.822255e-05,2.059227e-06
1.800000e-12,-0.000000e+00,-0.000000e+00,-0.000000e+00,2.517961e-05,2.828642e-06
2.000000e-12,-0.000000e+00,-0.000000e+00,-0.000000e+00,3.463944e-05,3.886430e-06
2.200000e-12,-0.000000e+00,-0.000000e+00,-0.000000e+00,4.726018e-05,5.338441e-06
2.400000e-12,-0.000000e+00,-0.000000e+00,-0.000000e+00,6.358381e-05,7.328464e-06
2.600000e-12,-0.000000e+00,-0.000000e+00,-0.000000e+00,8.369079e-05,1.005031e-05
2.800000e-12,-0.000000e+00,-0.000000e+00,-0.000000e+00,1.067068e-04,1.376218e-05
3.000000e-12,-0.000000e+00,-0.000000e+00,-0.000000e+00,1.304055e-04,1.880178e-05
3.200000e-12,-0.000000e+00,-0.000000e+00,-0.000000e+00,1.513586e-04,2.559748e-05
3.400000e-12,-0.000000e+00,-0.000000e+00,-0.000000e+00,1.658422e-04,3.466319e-05
3.600000e-12,-0.000000e+00,-0.000000e+00,-0.000000e+00,1.710893e-04,4.655098e-05
3.800000e-12,-0.000000e+00,-0.000000e+00,-0.000000e+00,1.662273e-04,6.171737e-05
4.000000e-12,-0.000000e+00,-0.000000e+00,-0.000000e+00,1.524776e-04,8.025589e-05
4.200000e-12,-0.000000e+00,-0.000000e+00,-0.000000e+00,1.325801e-04,1.015038e-04
4.400000e-12,-0.000000e+00,-0.000000e+00,-0.000000e+00,1.097892e-04,1.236856e-04
4.600000e-12,-0.000000e+00,-0.000000e+00,-0.000000e+00,8.695700e-05,1.439329e-04
4.800000e-12,-0.000000e+00,-0.000000e+00,-0.000000e+00,6.605229e-05,1.589254e-04
5.000000e-12,-0.000000e+00,-0.000000e+00,-0.000000e+00,4.814247e-05,1.659364e-04
5.200000e-12,-0.000000e+00,-0.000000e+00,-0.000000e+00,3.364974e-05,1.637430e-04
5.400000e-12,-0.000000e+00,-0.000000e+00,-0.000000e+00,2.266668e-05,1.529683e-04
5.600000e-12,-0.000000e+00,-0.000000e+00,-0.000000e+00,1.519721e-05,1.357422e-04
5.800000e-12,-0.000000e+00,-0.000000e+00,-0.000000e+00,1.128581e-05,1.148990e-04
6.000000e-12,-0.000000e+00,-0.000000e+00,-0.000000e+00,1.105651e-05,9.312837e-05
6.200000e-12,-0.000000e+00,-0.000000e+00,-0.000000e+00,1.469981e-05,7.243296e-05
6.400000e-12,-0.000000e+00,-0.000000e+00,-0.000000e+00,2.243157e-05,5.399660e-05
6.600000e-12,-0.000000e+00,-0.000000e+00,-0.000000e+00,3.441967e-05,3.835138e-05
6.800000e-12,-0.000000e+00,-0.000000e+00,-0.000000e+00,5.064659e-05,2.565345e-05
7.000000e-12,-0.000000e+00,-0.000000e+00,-0.000000e+00,7.067606e-05,1.592043e-05
7.200000e-12,-0.000000e+00,-0.000000e+00,-0.000000e+00,9.334431e-05,9.170153e-06
7.400000e-12,-0.000000e+00,-0.000000e+00,-0.000000e+00,1.165045e-04,5.471199e-06
7.600000e-12,-0.000000e+00,-0.000000e+00,-0.000000e+00,1.370927e-04,4.943516e-06
7.800000e-12,-0.000000e+00,-0.000000e+00,-0.000000e+00,1.517725e-04,7.738726e-06
8.000000e-12,-0.000000e+00,-0.000000e+00,-0.000000e+00,1.579860e-04,1.400737e-05
8.200000e-12,-0.000000e+00,-0.000000e+00,-0.000000e+00,1.548178e-04,2.384339e-05
8.400000e-12,-0.000000e+00,-0.000000e+00,-0.000000e+00,1.432054e-04,3.719413e-05
8.600000e-12,-0.000000e+00,-0.000000e+00,-0.000000e+00,1.254563e-04,5.374086e-05
8.800000e-12,-0.000000e+00,-0.000000e+00,-0.000000e+00,1.043997e-04,7.277644e-05
9.000000e-12,-0.000000e+00,-0.000000e+00,-0.000000e+00,8.261233e-05,9.309845e-05
9.200000e-12,-0.000000e+00,-0.000000e+00,-0.000000e+00,6.200365e-05,1.129308e-04
9.400000e-12,-0.000000e+00,-0.000000e+00,-0.000000e+00,4.377982e-05,1.299894e-04
9.600000e-12,-0.000000e+00,-0.000000e+00,-0.000000e+00,2.862630e-05,1.418798e-04
9.800000e-12,-0.000000e+00,-0.000000e+00,-0.000000e+00,1.691716e-05,1.467669e-04
1.000000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,8.843066e-06,1.439509e-04
1.020000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,4.454439e-06,1.340300e-04
1.040000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,3.668085e-06,1.186142e-04
1.060000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,6.274265e-06,9.978108e-05
1.080000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,1.194620e-05,7.953934e-05
1.100000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,2.023712e-05,5.950020e-05
1.120000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,3.056463e-05,4.081371e-05
1.140000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,4.221077e-05,2.428594e-05
1.160000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,5.437015e-05,1.052320e-05
1.180000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,6.623765e-05,-9.100217e-09
1.200000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,7.708383e-05,-7.016423e-06
1.220000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,8.627836e-05,-1.042257e-05
1.240000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,9.327603e-05,-1.037760e-05
1.260000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,9.761214e-05,-7.227309e-06
1.280000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,9.893440e-05,-1.481868e-06
