time,"I(RX1)","I(RX2)","I(RIN1)","I(RIN2)","I(LTEST)","I(LQ|X1)","I(LQ|X2)"
0.000000e+00,-1.743801e-11,-3.810778e-15,-8.599776e-10,-8.599776e-10,1.535121e-09,3.915260e-07,4.092998e-07
2.000000e-13,-2.836526e-08,1.549339e-08,-9.789531e-07,-9.789531e-07,9.401356e-11,4.423956e-07,4.628822e-07
4.000000e-13,-5.574165e-08,2.893788e-08,-1.983843e-06,-1.983843e-06,-2.538897e-09,5.345528e-07,5.600483e-07
6.000000e-13,-7.977116e-08,4.070773e-08,-2.980192e-06,-2.980192e-06,-5.966804e-09,6.814455e-07,7.149781e-07
8.000000e-13,-1.029840e-07,5.216702e-08,-3.973474e-06,-3.973474e-06,-9.647423e-09,8.996162e-07,9.451849e-07
1.000000e-12,-1.223995e-07,6.118252e-08,-4.963466e-06,-4.963466e-06,-1.253131e-08,1.211896e-06,1.274785e-06
1.200000e-12,-1.326592e-07,6.489381e-08,-4.972445e-06,-4.972445e-06,-1.291443e-08,1.650175e-06,1.737325e-06
1.400000e-12,-1.305457e-07,6.206553e-08,-4.949384e-06,-4.949384e-06,-8.507298e-09,2.258549e-06,2.379003e-06
1.600000e-12,-1.168782e-07,5.373377e-08,-4.927904e-06,-4.927904e-06,3.397830e-09,3.097519e-06,3.262972e-06
1.800000e-12,-9.605710e-08,4.272852e-08,-4.900314e-06,-4.900314e-06,2.578555e-08,4.249872e-06,4.475356e-06
2.000000e-12,-7.430101e-08,3.262229e-08,-4.863899e-06,-4.863899e-06,6.189435e-08,5.828733e-06,6.133464e-06
2.200000e-12,-5.736116e-08,2.651965e-08,-4.815960e-06,-4.815960e-06,1.153374e-07,7.987914e-06,8.396240e-06
2.400000e-12,-4.835526e-08,2.606034e-08,-4.753740e-06,-4.753740e-06,1.902679e-07,1.093386e-05,1.147608e-05
2.600000e-12,-4.624457e-08,3.092209e-08,-4.675714e-06,-4.675714e-06,2.912810e-07,1.493678e-05,1.564919e-05
2.800000e-12,-4.548954e-08,3.893835e-08,-4.584405e-06,-4.584405e-06,4.224340e-07,2.033480e-05,2.125752e-05
3.000000e-12,-3.796594e-08,4.674179e-08,-4.491039e-06,-4.491039e-06,5.844682e-07,2.751731e-05,2.868720e-05
3.200000e-12,-1.891855e-08,5.067215e-08,-4.419803e-06,-4.419803e-06,7.696855e-07,3.686251e-05,3.829683e-05
3.400000e-12,4.329376e-09,4.759411e-08,-4.404851e-06,-4.404851e-06,9.563318e-07,4.859431e-05,5.026168e-05
3.600000e-12,1.166636e-08,3.541878e-08,-4.474583e-06,-4.474583e-06,1.108603e-06,6.253888e-05,6.432240e-05
3.800000e-12,-1.318617e-08,1.395449e-08,-4.632787e-06,-4.632787e-06,1.187998e-06,7.784421e-05,7.952201e-05
4.000000e-12,-6.420054e-08,-1.241177e-08,-4.854220e-06,-4.854220e-06,1.170544e-06,9.287536e-05,9.415603e-05
4.200000e-12,-1.155045e-07,-3.228772e-08,-5.095147e-06,-5.095147e-06,1.056847e-06,1.055093e-04,1.061227e-04
4.400000e-12,-1.416430e-07,-3.256111e-08,-5.308168e-06,-5.308168e-06,8.709005e-07,1.137460e-04,1.135383e-04
4.600000e-12,-1.362731e-07,-9.367033e-09,-5.456510e-06,-5.456510e-06,6.516094e-07,1.163055e-04,1.152911e-04
4.800000e-12,-1.152103e-07,2.767220e-08,-5.524800e-06,-5.524800e-06,4.404895e-07,1.129714e-04,1.113305e-04
5.000000e-12,-1.026835e-07,6.143932e-08,-5.520750e-06,-5.520750e-06,2.694309e-07,1.046045e-04,1.026309e-04
5.200000e-12,-1.132237e-07,7.786415e-08,-5.466772e-06,-5.466772e-06,1.539278e-07,9.283855e-05,9.086071e-05
5.400000e-12,-1.435654e-07,7.407753e-08,-5.388093e-06,-5.388093e-06,9.430244e-08,7.958174e-05,7.788693e-05
5.600000e-12,-1.774241e-07,5.872874e-08,-5.304390e-06,-5.304390e-06,8.217687e-08,6.653011e-05,6.532171e-05
5.800000e-12,-1.960694e-07,4.489660e-08,-5.227060e-06,-5.227060e-06,1.073572e-07,5.487408e-05,5.426788e-05
