time,"V(B11|XBFR1)","V(B21|XBFR1)","I(B11|XBFR1)","I(B21|XBFR1)"
0.000000e+00,2.706455e-10,2.706455e-10,-8.631538e-11,-8.631538e-11
2.000000e-13,6.829227e-06,-1.001859e-05,1.672900e-06,-2.454815e-06
4.000000e-13,2.012501e-05,-3.136096e-05,2.214856e-06,-3.699690e-06
6.000000e-13,3.404223e-05,-5.922150e-05,9.608544e-07,-2.953772e-06
8.000000e-13,4.094961e-05,-8.712633e-05,-1.940783e-06,-2.629622e-07
1.000000e-12,3.434072e-05,-1.101433e-04,-5.774630e-06,3.788465e-06
1.200000e-12,1.234280e-05,-1.253381e-04,-9.071993e-06,8.676613e-06
1.400000e-12,-2.404802e-05,-1.348649e-04,-1.115373e-05,1.306722e-05
1.600000e-12,-7.135667e-05,-1.448574e-04,-1.126170e-05,1.634629e-05
1.800000e-12,-1.251819e-04,-1.632876e-04,-9.119099e-06,1.846569e-05
2.000000e-12,-1.822831e-04,-1.974678e-04,-4.949835e-06,1.993546e-05
2.200000e-12,-2.420941e-04,-2.516163e-04,7.156994e-07,2.163254e-05
2.400000e-12,-3.066810e-04,-3.247145e-04,7.355258e-06,2.445678e-05
2.600000e-12,-3.783852e-04,-4.086268e-04,1.476985e-05,2.892897e-05
2.800000e-12,-4.548032e-04,-4.868207e-04,2.323773e-05,3.486120e-05
3.000000e-12,-5.222286e-04,-5.356217e-04,3.332206e-05,4.128558e-05
3.200000e-12,-5.524597e-04,-5.309823e-04,4.524885e-05,4.682611e-05
3.400000e-12,-5.113193e-04,-4.596848e-04,5.816380e-05,5.041837e-05
3.600000e-12,-3.798758e-04,-3.269293e-04,6.997000e-05,5.184378e-05
3.800000e-12,-1.719713e-04,-1.543375e-04,7.809973e-05,5.162723e-05
4.000000e-12,6.848065e-05,2.810737e-05,8.071229e-05,5.048175e-05
4.200000e-12,2.873657e-04,1.902371e-04,7.748134e-05,4.884135e-05
4.400000e-12,4.433048e-04,3.082887e-04,6.953280e-05,4.681137e-05
4.600000e-12,5.209684e-04,3.699278e-04,5.872278e-05,4.443628e-05
4.800000e-12,5.295017e-04,3.761326e-04,4.681429e-05,4.195599e-05
5.000000e-12,4.908032e-04,3.386570e-04,3.501015e-05,3.982904e-05
5.200000e-12,4.270559e-04,2.745378e-04,2.393786e-05,3.854294e-05
5.400000e-12,3.537164e-04,2.005455e-04,1.390176e-05,3.837329e-05
5.600000e-12,2.785843e-04,1.294841e-04,5.155064e-06,3.924412e-05
5.800000e-12,2.043632e-04,6.864583e-05,-1.965822e-06,4.075398e-05
6.000000e-12,1.318406e-04,1.992643e-05,-7.074164e-06,4.234205e-05
6.200000e-12,6.196761e-05,-1.894749e-05,-9.867991e-06,4.351104e-05
6.400000e-12,-3.607997e-06,-5.251095e-05,-1.026603e-05,4.400932e-05
6.600000e-12,-6.312501e-05,-8.540136e-05,-8.460126e-06,4.389825e-05
6.800000e-12,-1.155978e-04,-1.204431e-04,-4.851000e-06,4.348131e-05
7.000000e-12,-1.612588e-04,-1.574615e-04,1.053158e-07,4.312854e-05
7.200000e-12,-2.011442e-04,-1.931679e-04,6.067683e-06,4.307331e-05
7.400000e-12,-2.358700e-04,-2.221943e-04,1.290827e-05,4.327537e-05
7.600000e-12,-2.640694e-04,-2.389848e-04,2.067254e-05,4.342411e-05
7.800000e-12,-2.812918e-04,-2.398151e-04,2.939328e-05,4.309871e-05
8.000000e-12,-2.802972e-04,-2.239655e-04,3.883497e-05,4.201805e-05
8.200000e-12,-2.533652e-04,-1.934377e-04,4.831385e-05,4.024389e-05
8.400000e-12,-1.961791e-04,-1.515468e-04,5.673542e-05,3.820395e-05
8.600000e-12,-1.113301e-04,-1.015128e-04,6.288120e-05,3.650105e-05
8.800000e-12,-8.963939e-06,-4.605429e-05,6.581430e-05,3.561720e-05
9.000000e-12,9.633446e-05,1.195304e-05,6.518310e-05,3.569645e-05
9.200000e-12,1.907554e-04,6.862072e-05,6.126217e-05,3.653416e-05
9.400000e-12,2.656600e-04,1.190252e-04,5.473310e-05,3.775954e-05
9.600000e-12,3.191308e-04,1.583845e-04,4.635201e-05,3.907966e-05
9.800000e-12,3.545918e-04,1.838588e-04,3.668459e-05,4.043459e-05
1.000000e-11,3.778615e-04,1.959060e-04,2.601769e-05,4.198698e-05
1.020000e-11,3.942428e-04,1.983767e-04,1.444612e-05,4.397124e-05
1.040000e-11,4.066209e-04,1.972456e-04,2.056597e-06,4.649238e-05
1.060000e-11,4.147685e-04,1.985154e-04,-1.088822e-05,4.937085e-05
1.080000e-11,4.156800e-04,2.060961e-04,-2.383855e-05,5.209513e-05
1.100000e-11,4.048040e-04,2.203818e-04,-3.595918e-05,5.390044e-05
1.120000e-11,3.781159e-04,2.379566e-04,-4.625848e-05,5.395909e-05
1.140000e-11,3.345847e-04,2.524789e-04,-5.383174e-05,5.164252e-05
1.160000e-11,2.778155e-04,2.564142e-04,-5.815783e-05,4.678537e-05
1.180000e-11,2.155017e-04,2.430595e-04,-5.933459e-05,3.985554e-05
1.200000e-11,1.565016e-04,2.083065e-04,-5.812898e-05,3.194158e-05
1.220000e-11,1.070262e-04,1.517722e-04,-5.578420e-05,2.452781e-05
1.240000e-11,6.806663e-05,7.708125e-05,-5.363755e-05,1.911535e-05
1.260000e-11,3.540658e-05,-8.784032e-06,-5.269473e-05,1.681791e-05
1.280000e-11,2.115191e-06,-9.691713e-05,-5.332816e-05,1.807561e-05
1.300000e-11,-3.779067e-05,-1.782068e-04,-5.520888e-05,2.257864e-05
1.320000e-11,-8.626343e-05,-2.447045e-04,-5.747510e-05,2.940112e-05
1.340000e-11,-1.400430e-04,-2.903346e-04,-5.904555e-05,3.726597e-05
1.360000e-11,-1.916744e-04,-3.112439e-04,-5.895036e-05,4.483838e-05
1.380000e-11,-2.319679e-04,-3.063292e-04,-5.658606e-05,5.098041e-05
1.400000e-11,-2.526402e-04,-2.779619e-04,-5.186221e-05,5.494675e-05
1.420000e-11,-2.481397e-04,-2.321193e-04,-4.524435e-05,5.651431e-05
1.440000e-11,-2.163944e-04,-1.770810e-04,-3.769671e-05,5.601736e-05
1.460000e-11,-1.588271e-04,-1.208637e-04,-3.051884e-05,5.424973e-05
1.480000e-11,-8.008921e-05,-6.864388e-05,-2.508477e-05,5.222955e-05
1.500000e-11,1.231734e-05,-2.157002e-05,-2.253106e-05,5.088245e-05
1.520000e-11,1.085991e-04,2.243300e-05,-2.347238e-05,5.074561e-05
1.540000e-11,1.974697e-04,6.631951e-05,-2.782368e-05,5.179331e-05
1.560000e-11,2.672243e-04,1.112024e-04,-3.477662e-05,5.343986e-05
1.580000e-11,3.073663e-04,1.545119e-04,-4.294306e-05,5.471919e-05
1.600000e-11,3.111540e-04,1.898341e-04,-5.065910e-05,5.460097e-05
1.620000e-11,2.785510e-04,2.084732e-04,-5.641405e-05,5.237358e-05
1.640000e-11,2.175986e-04,2.020896e-04,-5.930026e-05,4.798443e-05
1.660000e-11,1.422896e-04,1.654687e-04,-5.930743e-05,4.219781e-05
1.680000e-11,6.741131e-05,9.868073e-05,-5.730168e-05,3.646233e-05
1.700000e-11,3.208608e-06,8.259627e-06,-5.465723e-05,3.248541e-05
1.720000e-11,-4.716694e-05,-9.280664e-05,-5.267376e-05,3.163894e-05
1.740000e-11,-8.630377e-05,-1.865871e-04,-5.201875e-05,3.440634e-05
1.760000e-11,-1.183792e-04,-2.536784e-04,-5.243914e-05,4.009685e-05
1.780000e-11,-1.446994e-04,-2.787580e-04,-5.289368e-05,4.699249e-05
1.800000e-11,-1.614217e-04,-2.567487e-04,-5.208746e-05,5.294505e-05
1.820000e-11,-1.606419e-04,-1.960070e-04,-4.918678e-05,5.621637e-05
1.840000e-11,-1.341801e-04,-1.154207e-04,-4.436361e-05,5.617761e-05
1.860000e-11,-7.818319e-05,-3.635783e-05,-3.887610e-05,5.351545e-05
1.880000e-11,3.378829e-06,2.589654e-05,-3.461698e-05,4.984008e-05
1.900000e-11,9.758872e-05,6.657395e-05,-3.331629e-05,4.688994e-05
1.920000e-11,1.844823e-04,8.998977e-05,-3.574448e-05,4.571322e-05
1.940000e-11,2.421969e-04,1.038416e-04,-4.127871e-05,4.621078e-05
1.960000e-11,2.546260e-04,1.128434e-04,-4.806986e-05,4.726423e-05
1.980000e-11,2.186669e-04,1.152599e-04,-5.379103e-05,4.739793e-05
2.000000e-11,1.465004e-04,1.040120e-04,-5.663651e-05,4.563857e-05
2.020000e-11,5.209205e-05,7.984893e-05,-5.813349e-05,4.417483e-05
2.040000e-11,-3.883341e-05,3.826649e-05,-5.610122e-05,4.119441e-05
