time,"V(B11|XCON)","V(B21|XCON)","I(B11|XCON)","I(B21|XCON)"
0.000000e+00,1.447736e-05,1.499699e-05,-2.443498e-06,-2.530657e-06
2.000000e-13,4.478224e-05,2.946547e-05,-8.097029e-07,-4.983862e-06
4.000000e-13,8.957286e-05,4.050255e-05,-5.500611e-07,-6.667741e-06
6.000000e-13,1.451405e-04,5.425405e-05,-2.473096e-06,-6.952969e-06
8.000000e-13,2.072564e-04,8.047634e-05,-6.645612e-06,-5.980664e-06
1.000000e-12,2.729626e-04,1.290976e-04,-1.261031e-05,-4.463810e-06
1.200000e-12,3.415642e-04,2.077758e-04,-1.950066e-05,-3.587380e-06
1.400000e-12,4.140067e-04,3.195993e-04,-2.626242e-05,-4.774675e-06
1.600000e-12,4.899665e-04,4.595036e-04,-3.190599e-05,-9.363429e-06
1.800000e-12,5.627287e-04,6.075957e-04,-3.576442e-05,-1.816486e-05
2.000000e-12,6.142888e-04,7.216588e-04,-3.778106e-05,-3.086108e-05
2.200000e-12,6.167987e-04,7.431082e-04,-3.869554e-05,-4.551398e-05
2.400000e-12,5.447977e-04,6.300172e-04,-3.973455e-05,-5.890908e-05
2.600000e-12,3.906450e-04,3.911171e-04,-4.176846e-05,-6.791802e-05
2.800000e-12,1.707824e-04,8.302274e-05,-4.459592e-05,-7.093063e-05
3.000000e-12,-7.769985e-05,-2.188756e-04,-4.694276e-05,-6.840715e-05
3.200000e-12,-3.055884e-04,-4.506854e-04,-4.721536e-05,-6.233618e-05
3.400000e-12,-4.657642e-04,-5.806061e-04,-4.455176e-05,-5.501388e-05
3.600000e-12,-5.307265e-04,-6.131268e-04,-3.945098e-05,-4.793385e-05
3.800000e-12,-5.018949e-04,-5.761961e-04,-3.357540e-05,-4.140695e-05
4.000000e-12,-4.039779e-04,-5.019698e-04,-2.895722e-05,-3.492716e-05
4.200000e-12,-2.711735e-04,-4.131596e-04,-2.713416e-05,-2.787476e-05
4.400000e-12,-1.350136e-04,-3.192978e-04,-2.859939e-05,-2.012721e-05
4.600000e-12,-1.772462e-05,-2.203493e-04,-3.269450e-05,-1.233486e-05
4.800000e-12,6.993868e-05,-1.129715e-04,-3.789877e-05,-5.812062e-06
5.000000e-12,1.282430e-04,4.231089e-06,-4.237722e-05,-2.133306e-06
5.200000e-12,1.661375e-04,1.281235e-04,-4.460032e-05,-2.607025e-06
5.400000e-12,1.969999e-04,2.508971e-04,-4.383737e-05,-7.820217e-06
5.600000e-12,2.327657e-04,3.609043e-04,-4.037286e-05,-1.739560e-05
5.800000e-12,2.777104e-04,4.432151e-04,-3.539061e-05,-3.000815e-05
6.000000e-12,3.242175e-04,4.806893e-04,-3.056549e-05,-4.363997e-05
6.200000e-12,3.535108e-04,4.583510e-04,-2.746478e-05,-5.604403e-05
6.400000e-12,3.431011e-04,3.715175e-04,-2.693376e-05,-6.535196e-05
6.600000e-12,2.782990e-04,2.318326e-04,-2.872808e-05,-7.062113e-05
6.800000e-12,1.611441e-04,6.476742e-05,-3.161969e-05,-7.203197e-05
7.000000e-12,1.182755e-05,-1.000706e-04,-3.397629e-05,-7.059863e-05
7.200000e-12,-1.374435e-04,-2.391121e-04,-3.455332e-05,-6.753819e-05
7.400000e-12,-2.535246e-04,-3.403548e-04,-3.310642e-05,-6.364037e-05
7.600000e-12,-3.142944e-04,-4.030960e-04,-3.050403e-05,-5.897346e-05
7.800000e-12,-3.160345e-04,-4.337383e-04,-2.829282e-05,-5.304666e-05
8.000000e-12,-2.726389e-04,-4.407352e-04,-2.797242e-05,-4.527475e-05
8.200000e-12,-2.081449e-04,-4.311358e-04,-3.034976e-05,-3.545687e-05
8.400000e-12,-1.472297e-04,-4.096223e-04,-3.523728e-05,-2.403332e-05
8.600000e-12,-1.076141e-04,-3.795162e-04,-4.156740e-05,-1.202704e-05
8.800000e-12,-9.623827e-05,-3.445176e-04,-4.783087e-05,-7.165140e-07
9.000000e-12,-1.095500e-04,-3.099082e-04,-5.264494e-05,8.813446e-06
9.200000e-12,-1.371958e-04,-2.824090e-04,-5.522708e-05,1.605552e-05
9.400000e-12,-1.674390e-04,-2.686236e-04,-5.559875e-05,2.124068e-05
9.600000e-12,-1.920937e-04,-2.727214e-04,-5.445789e-05,2.521086e-05
9.800000e-12,-2.091598e-04,-2.943456e-04,-5.278908e-05,2.905265e-05
1.000000e-11,-2.225009e-04,-3.275957e-04,-5.137068e-05,3.362572e-05
