time,"I(RX1)","I(RX2)","I(RIN1)","I(RIN2)","I(LTEST)","I(LQ|X1)","I(LQ|X2)"
0.000000e+00,1.836791e-11,4.382199e-15,-8.659611e-10,-8.659611e-10,1.713894e-10,3.722605e-07,3.891825e-07
2.000000e-13,-2.828490e-08,1.549348e-08,-9.789358e-07,-9.789358e-07,2.929833e-10,4.209054e-07,4.400986e-07
4.000000e-13,-5.559176e-08,2.893807e-08,-1.983814e-06,-1.983814e-06,5.030360e-10,5.091328e-07,5.324296e-07
6.000000e-13,-7.953384e-08,4.070805e-08,-2.980118e-06,-2.980118e-06,7.800528e-10,6.498373e-07,6.796465e-07
8.000000e-13,-1.026377e-07,5.216759e-08,-3.973311e-06,-3.973311e-06,1.110218e-09,8.589362e-07,8.983884e-07
1.000000e-12,-1.219150e-07,6.118358e-08,-4.963144e-06,-4.963144e-06,1.471648e-09,1.158339e-06,1.211567e-06
1.200000e-12,-1.319991e-07,6.489580e-08,-4.971886e-06,-4.971886e-06,1.826763e-09,1.578513e-06,1.651051e-06
1.400000e-12,-1.296666e-07,6.206901e-08,-4.948410e-06,-4.948410e-06,2.124334e-09,2.161414e-06,2.260727e-06
1.600000e-12,-1.157386e-07,5.373924e-08,-4.926293e-06,-4.926293e-06,2.306154e-09,2.964389e-06,3.100584e-06
1.800000e-12,-9.463565e-08,4.273553e-08,-4.897732e-06,-4.897732e-06,2.313460e-09,4.065656e-06,4.252445e-06
2.000000e-12,-7.262910e-08,3.262771e-08,-4.859866e-06,-4.859866e-06,2.089513e-09,5.571806e-06,5.827808e-06
2.200000e-12,-5.558209e-08,2.651414e-08,-4.809813e-06,-4.809813e-06,1.576125e-09,7.627466e-06,7.977874e-06
2.400000e-12,-4.683568e-08,2.602090e-08,-4.744638e-06,-4.744638e-06,7.036378e-10,1.042653e-05,1.090507e-05
2.600000e-12,-4.579531e-08,3.079539e-08,-4.662764e-06,-4.662764e-06,-6.242748e-10,1.422294e-05,1.487367e-05
2.800000e-12,-4.778160e-08,3.860265e-08,-4.567095e-06,-4.567095e-06,-2.547380e-09,1.933562e-05,2.021340e-05
3.000000e-12,-4.613740e-08,4.592777e-08,-4.470123e-06,-4.470123e-06,-5.260187e-09,2.613610e-05,2.730294e-05
3.200000e-12,-3.781026e-08,4.883173e-08,-4.398305e-06,-4.398305e-06,-9.003407e-09,3.499673e-05,3.650911e-05
3.400000e-12,-2.999423e-08,4.379589e-08,-4.387881e-06,-4.387881e-06,-1.400623e-08,4.616794e-05,4.804883e-05
3.600000e-12,-3.771212e-08,2.863730e-08,-4.466985e-06,-4.466985e-06,-2.033029e-08,5.956032e-05,6.175494e-05
3.800000e-12,-6.775578e-08,4.432603e-09,-4.636488e-06,-4.636488e-06,-2.757981e-08,7.447111e-05,7.680533e-05
4.000000e-12,-1.058892e-07,-2.117822e-08,-4.867711e-06,-4.867711e-06,-3.458313e-08,8.943421e-05,9.161764e-05
4.200000e-12,-1.249797e-07,-3.434888e-08,-5.114595e-06,-5.114595e-06,-3.936545e-08,1.024305e-04,1.041277e-04
4.400000e-12,-1.070295e-07,-2.438183e-08,-5.328764e-06,-5.328764e-06,-3.961277e-08,1.114457e-04,1.123788e-04
4.600000e-12,-5.853776e-08,6.567087e-09,-5.473677e-06,-5.473677e-06,-3.342717e-08,1.150742e-04,1.151044e-04
4.800000e-12,-8.133639e-09,4.416119e-08,-5.535229e-06,-5.535229e-06,-2.008277e-08,1.129070e-04,1.120682e-04
5.000000e-12,1.108065e-08,7.112173e-08,-5.522821e-06,-5.522821e-06,-5.519805e-10,1.056023e-04,1.040834e-04
5.200000e-12,-1.690793e-08,7.781412e-08,-5.460164e-06,-5.460164e-06,2.250729e-08,9.464312e-05,9.272651e-05
5.400000e-12,-8.029170e-08,6.735189e-08,-5.372990e-06,-5.372990e-06,4.547683e-08,8.187688e-05,7.985807e-05
5.600000e-12,-1.472118e-07,5.179100e-08,-5.280812e-06,-5.280812e-06,6.490367e-08,6.902850e-05,6.715047e-05
5.800000e-12,-1.846512e-07,4.333311e-08,-5.194567e-06,-5.194567e-06,7.847416e-08,5.737290e-05,5.579521e-05
6.000000e-12,-1.754600e-07,4.765962e-08,-5.118079e-06,-5.118079e-06,8.548584e-08,4.763644e-05,4.643849e-05
6.200000e-12,-1.256284e-07,6.257563e-08,-5.050708e-06,-5.050708e-06,8.675610e-08,4.007624e-05,3.927996e-05
6.400000e-12,-5.954359e-08,8.061271e-08,-4.989643e-06,-4.989643e-06,8.409614e-08,3.463857e-05,3.423545e-05
6.600000e-12,-6.549962e-09,9.303257e-08,-4.931391e-06,-4.931391e-06,7.959749e-08,3.111717e-05,3.109063e-05
6.800000e-12,1.319028e-08,9.347750e-08,-4.872717e-06,-4.872717e-06,7.501089e-08,2.927337e-05,2.961355e-05
