time,"I(RX1)","I(RX2)","I(RIN1)","I(RIN2)","I(LTEST)","I(LQ|X1)","I(LQ|X2)"
0.000000e+00,-1.801295e-11,-4.008136e-15,-7.723715e-10,-7.723715e-10,1.994743e-09,4.239215e-07,4.502787e-07
2.000000e-13,-2.836630e-08,1.549353e-08,-9.790796e-07,-9.790796e-07,-4.334854e-09,4.778163e-07,5.091470e-07
4.000000e-13,-5.574334e-08,2.893809e-08,-1.984036e-06,-1.984036e-06,-1.569128e-08,5.751262e-07,6.158506e-07
6.000000e-13,-7.977376e-08,4.070810e-08,-2.980767e-06,-2.980767e-06,-3.029680e-08,7.300839e-07,7.859126e-07
8.000000e-13,-1.029878e-07,5.216791e-08,-3.974839e-06,-3.974839e-06,-4.570917e-08,9.600680e-07,1.038463e-06
1.000000e-12,-1.224050e-07,6.118511e-08,-4.966242e-06,-4.966242e-06,-5.742979e-08,1.289369e-06,1.399830e-06
1.200000e-12,-1.326669e-07,6.490153e-08,-4.977238e-06,-4.977238e-06,-5.842343e-08,1.752483e-06,1.906642e-06
1.400000e-12,-1.305601e-07,6.208787e-08,-4.957747e-06,-4.957747e-06,-3.957987e-08,2.397820e-06,2.609352e-06
1.600000e-12,-1.169171e-07,5.379248e-08,-4.941610e-06,-4.941610e-06,9.358293e-09,3.292593e-06,3.576952e-06
1.800000e-12,-9.617774e-08,4.286869e-08,-4.921986e-06,-4.921986e-06,9.890010e-08,4.529618e-06,4.903558e-06
2.000000e-12,-7.465081e-08,3.293027e-08,-4.897226e-06,-4.897226e-06,2.393130e-07,6.236565e-06,6.717356e-06
2.200000e-12,-5.826981e-08,2.715406e-08,-4.865921e-06,-4.865921e-06,4.406193e-07,8.587745e-06,9.191877e-06
2.400000e-12,-5.048868e-08,2.731289e-08,-4.826608e-06,-4.826608e-06,7.126803e-07,1.181749e-05,1.255837e-05
2.600000e-12,-5.082189e-08,3.334598e-08,-4.778284e-06,-4.778284e-06,1.064228e-06,1.623186e-05,1.711561e-05
2.800000e-12,-5.438832e-08,4.361125e-08,-4.721428e-06,-4.721428e-06,1.498775e-06,2.221023e-05,2.322821e-05
3.000000e-12,-5.295165e-08,5.575271e-08,-4.659705e-06,-4.659705e-06,2.004964e-06,3.017855e-05,3.129457e-05
3.200000e-12,-3.854652e-08,6.788731e-08,-4.602077e-06,-4.602077e-06,2.541763e-06,4.052176e-05,4.165307e-05
3.400000e-12,-1.048471e-08,7.952648e-08,-4.563928e-06,-4.563928e-06,3.029078e-06,5.339648e-05,5.439218e-05
3.600000e-12,1.805556e-08,9.118789e-08,-4.564658e-06,-4.564658e-06,3.365849e-06,6.843974e-05,6.907241e-05
3.800000e-12,2.376514e-08,1.015685e-07,-4.620158e-06,-4.620158e-06,3.480721e-06,8.449210e-05,8.449235e-05
4.000000e-12,-9.163675e-09,1.042953e-07,-4.733247e-06,-4.733247e-06,3.372213e-06,9.960304e-05,9.875082e-05
4.200000e-12,-7.189281e-08,9.124500e-08,-4.889313e-06,-4.889313e-06,3.101877e-06,1.114849e-04,1.097136e-04
4.400000e-12,-1.341665e-07,6.188118e-08,-5.060666e-06,-5.060666e-06,2.763087e-06,1.182034e-04,1.156512e-04
4.600000e-12,-1.668421e-07,2.668760e-08,-5.216401e-06,-5.216401e-06,2.449598e-06,1.187482e-04,1.157323e-04
4.800000e-12,-1.621735e-07,6.940132e-10,-5.332714e-06,-5.332714e-06,2.226045e-06,1.132893e-04,1.102217e-04
5.000000e-12,-1.361867e-07,-6.811597e-09,-5.399553e-06,-5.399553e-06,2.110290e-06,1.030719e-04,1.003527e-04
5.200000e-12,-1.145812e-07,7.511743e-10,-5.421142e-06,-5.421142e-06,2.081686e-06,8.999654e-05,8.792720e-05
5.400000e-12,-1.148649e-07,8.911100e-09,-5.411236e-06,-5.411236e-06,2.108589e-06,7.605995e-05,7.480380e-05
5.600000e-12,-1.374776e-07,1.881546e-09,-5.386629e-06,-5.386629e-06,2.172662e-06,6.289225e-05,6.248364e-05
5.800000e-12,-1.690940e-07,-2.677375e-08,-5.362137e-06,-5.362137e-06,2.276578e-06,5.154030e-05,5.192130e-05
6.000000e-12,-1.920681e-07,-6.935446e-08,-5.348193e-06,-5.348193e-06,2.437862e-06,4.248926e-05,4.354844e-05
6.200000e-12,-1.927513e-07,-1.071699e-07,-5.350453e-06,-5.350453e-06,2.677907e-06,3.581891e-05,3.741715e-05
6.400000e-12,-1.653345e-07,-1.198018e-07,-5.370406e-06,-5.370406e-06,3.012611e-06,3.138806e-05,3.336854e-05
6.600000e-12,-1.114766e-07,-9.594863e-08,-5.406292e-06,-5.406292e-06,3.446616e-06,2.898432e-05,3.117178e-05
6.800000e-12,-3.778499e-08,-3.976876e-08,-5.454089e-06,-5.454089e-06,3.969901e-06,2.842076e-05,3.061721e-05
7.000000e-12,4.603148e-08,3.121743e-08,-5.508092e-06,-5.508092e-06,4.553803e-06,2.958502e-05,3.156721e-05
7.200000e-12,1.258075e-07,9.508049e-08,-5.559527e-06,-5.559527e-06,5.144375e-06,3.245199e-05,3.397330e-05
7.400000e-12,1.788336e-07,1.354720e-07,-5.591633e-06,-5.591633e-06,5.655536e-06,3.706534e-05,3.786370e-05
7.600000e-12,1.753472e-07,1.471279e-07,-5.576333e-06,-5.576333e-06,5.971418e-06,4.348542e-05,4.330091e-05
7.800000e-12,9.826478e-08,1.350773e-07,-5.486116e-06,-5.486116e-06,5.969099e-06,5.169799e-05,5.030700e-05
8.000000e-12,-3.042950e-08,1.095761e-07,-5.316889e-06,-5.316889e-06,5.562057e-06,6.148814e-05,5.876132e-05
8.200000e-12,-1.531751e-07,8.035364e-08,-5.094820e-06,-5.094820e-06,4.746632e-06,7.231173e-05,6.829353e-05
8.400000e-12,-2.138613e-07,5.314000e-08,-4.863403e-06,-4.863403e-06,3.624503e-06,8.323392e-05,7.821780e-05
8.600000e-12,-1.955655e-07,2.969148e-08,-4.665855e-06,-4.665855e-06,2.382976e-06,9.301311e-05,8.756212e-05
8.800000e-12,-1.301435e-07,1.029759e-08,-4.531780e-06,-4.531780e-06,1.238350e-06,1.003485e-04,9.521952e-05
9.000000e-12,-7.375425e-08,-3.825076e-09,-4.470709e-06,-4.470709e-06,3.693621e-07,1.042065e-04,1.001877e-04
9.200000e-12,-6.849489e-08,-1.039297e-08,-4.472718e-06,-4.472718e-06,-1.299792e-07,1.040894e-04,1.018100e-04
9.400000e-12,-1.197386e-07,-8.087212e-09,-4.515769e-06,-4.515769e-06,-2.628464e-07,1.001428e-04,9.992774e-05
9.600000e-12,-2.005272e-07,1.551554e-09,-4.576108e-06,-4.576108e-06,-1.081341e-07,9.307579e-05,9.489326e-05
9.800000e-12,-2.714675e-07,1.464743e-08,-4.636395e-06,-4.636395e-06,2.211374e-07,8.393249e-05,8.744570e-05
1.000000e-11,-2.999951e-07,2.768538e-08,-4.688906e-06,-4.688906e-06,6.193057e-07,7.380543e-05,7.849881e-05
1.020000e-11,-2.719289e-07,4.001920e-08,-4.733992e-06,-4.733992e-06,1.013440e-06,6.359264e-05,6.891692e-05
1.040000e-11,-1.953277e-07,5.424851e-08,-4.775419e-06,-4.775419e-06,1.368429e-06,5.386577e-05,5.934932e-05
1.060000e-11,-9.677008e-08,7.428380e-08,-4.815597e-06,-4.815597e-06,1.677828e-06,4.486102e-05,5.015899e-05
1.080000e-11,-1.012669e-08,1.021710e-07,-4.853595e-06,-4.853595e-06,1.949925e-06,3.656057e-05,4.144220e-05
1.100000e-11,3.807695e-08,1.350641e-07,-4.886329e-06,-4.886329e-06,2.196696e-06,2.881469e-05,3.311039e-05
1.120000e-11,3.945145e-08,1.636661e-07,-4.911021e-06,-4.911021e-06,2.429286e-06,2.145776e-05,2.499792e-05
1.140000e-11,5.637175e-09,1.735317e-07,-4.926941e-06,-4.926941e-06,2.658767e-06,1.438466e-05,1.696156e-05
1.160000e-11,-3.853624e-08,1.504458e-07,-4.935747e-06,-4.935747e-06,2.897147e-06,7.574638e-06,8.945112e-06
1.180000e-11,-6.671936e-08,8.905706e-08,-4.940685e-06,-4.940685e-06,3.154104e-06,1.072669e-06,9.959930e-07
1.200000e-11,-6.288305e-08,-9.882044e-11,-4.945176e-06,-4.945176e-06,3.429893e-06,-5.046383e-06,-6.761250e-06
1.220000e-11,-2.937298e-08,-9.132926e-08,-4.951328e-06,-4.951328e-06,3.709622e-06,-1.070565e-05,-1.417255e-05
1.240000e-11,1.238515e-08,-1.534201e-07,-4.959057e-06,-4.959057e-06,3.963820e-06,-1.583499e-05,-2.109625e-05
1.260000e-11,3.090910e-08,-1.631092e-07,-4.966410e-06,-4.966410e-06,4.155915e-06,-2.036531e-05,-2.742159e-05
1.280000e-11,1.028905e-09,-1.155281e-07,-4.970899e-06,-4.970899e-06,4.252929e-06,-2.422140e-05,-3.306209e-05
1.300000e-11,-8.118483e-08,-2.677323e-08,-4.971062e-06,-4.971062e-06,4.234194e-06,-2.732362e-05,-3.793562e-05
1.320000e-11,-1.943178e-07,7.264161e-08,-4.967455e-06,-4.967455e-06,4.094352e-06,-2.960018e-05,-4.194668e-05
1.340000e-11,-3.005145e-07,1.506085e-07,-4.962753e-06,-4.962753e-06,3.840109e-06,-3.100271e-05,-4.498147e-05
1.360000e-11,-3.618988e-07,1.865124e-07,-4.961056e-06,-4.961056e-06,3.483652e-06,-3.151571e-05,-4.691731e-05
1.380000e-11,-3.564288e-07,1.783960e-07,-4.966594e-06,-4.966594e-06,3.037561e-06,-3.115366e-05,-4.763967e-05
1.400000e-11,-2.864418e-07,1.412644e-07,-4.982174e-06,-4.982174e-06,2.514688e-06,-2.994764e-05,-4.705739e-05
1.420000e-11,-1.764046e-07,9.816056e-08,-5.007967e-06,-5.007967e-06,1.932252e-06,-2.793003e-05,-4.510901e-05
1.440000e-11,-6.117752e-08,6.882478e-08,-5.041411e-06,-5.041411e-06,1.315078e-06,-2.512814e-05,-4.175981e-05
1.460000e-11,2.924218e-08,6.117872e-08,-5.078343e-06,-5.078343e-06,6.928077e-07,-2.157494e-05,-3.699708e-05
1.480000e-11,8.086926e-08,6.897409e-08,-5.114663e-06,-5.114663e-06,9.106458e-08,-1.733536e-05,-3.083789e-05
1.500000e-11,9.729667e-08,7.619368e-08,-5.147444e-06,-5.147444e-06,-4.769838e-07,-1.253588e-05,-2.336387e-05
1.520000e-11,9.103700e-08,6.634600e-08,-5.174874e-06,-5.174874e-06,-1.010159e-06,-7.377673e-06,-1.478461e-05
1.540000e-11,7.006889e-08,3.272354e-08,-5.195237e-06,-5.195237e-06,-1.507176e-06,-2.120495e-06,-5.499772e-06
1.560000e-11,2.991466e-08,-1.563720e-08,-5.205904e-06,-5.205904e-06,-1.950990e-06,2.954825e-06,3.897621e-06
1.580000e-11,-3.950350e-08,-5.651557e-08,-5.203455e-06,-5.203455e-06,-2.303270e-06,7.582402e-06,1.271340e-05
1.600000e-11,-1.357742e-07,-6.552669e-08,-5.185261e-06,-5.185261e-06,-2.515611e-06,1.153003e-05,2.030355e-05
1.620000e-11,-2.334919e-07,-3.005975e-08,-5.151363e-06,-5.151363e-06,-2.550223e-06,1.460292e-05,2.619839e-05
1.640000e-11,-2.936497e-07,4.202325e-08,-5.104996e-06,-5.104996e-06,-2.395074e-06,1.664398e-05,3.013813e-05
1.660000e-11,-2.848910e-07,1.241901e-07,-5.051334e-06,-5.051334e-06,-2.063732e-06,1.753980e-05,3.202330e-05
1.680000e-11,-2.010857e-07,1.825237e-07,-4.995540e-06,-4.995540e-06,-1.582824e-06,1.723551e-05,3.183138e-05
1.700000e-11,-6.558603e-08,1.905855e-07,-4.941588e-06,-4.941588e-06,-9.787783e-07,1.575496e-05,2.956000e-05
1.720000e-11,7.825330e-08,1.408825e-07,-4.892497e-06,-4.892497e-06,-2.752250e-07,1.321729e-05,2.523900e-05
1.740000e-11,1.832624e-07,4.831395e-08,-4.851487e-06,-4.851487e-06,4.953935e-07,9.836872e-06,1.901675e-05
1.760000e-11,2.127692e-07,-5.491476e-08,-4.822795e-06,-4.822795e-06,1.273819e-06,5.900223e-06,1.127433e-05
1.780000e-11,1.507192e-07,-1.301662e-07,-4.810961e-06,-4.810961e-06,1.965366e-06,1.729138e-06,2.676540e-06
1.800000e-11,1.050110e-08,-1.459894e-07,-4.818725e-06,-4.818725e-06,2.453514e-06,-2.351364e-06,-5.909268e-06
1.820000e-11,-1.625557e-07,-9.186459e-08,-4.845238e-06,-4.845238e-06,2.633917e-06,-6.032788e-06,-1.359777e-05
1.840000e-11,-3.052796e-07,1.382164e-08,-4.886162e-06,-4.886162e-06,2.451367e-06,-9.038367e-06,-1.966571e-05
1.860000e-11,-3.631350e-07,1.291136e-07,-4.935492e-06,-4.935492e-06,1.918341e-06,-1.114275e-05,-2.363803e-05
1.880000e-11,-3.135057e-07,2.065414e-07,-4.987634e-06,-4.987634e-06,1.106006e-06,-1.219641e-05,-2.527158e-05
1.900000e-11,-1.745999e-07,2.140037e-07,-5.038349e-06,-5.038349e-06,1.176179e-07,-1.214753e-05,-2.449428e-05
1.920000e-11,2.001711e-09,1.481069e-07,-5.084261e-06,-5.084261e-06,-9.359193e-07,-1.105185e-05,-2.137265e-05
1.940000e-11,1.502752e-07,3.507229e-08,-5.121770e-06,-5.121770e-06,-1.945461e-06,-9.063322e-06,-1.614759e-05
1.960000e-11,2.128726e-07,-7.953213e-08,-5.146662e-06,-5.146662e-06,-2.801550e-06,-6.406639e-06,-9.311401e-06
1.980000e-11,1.632115e-07,-1.477024e-07,-5.155115e-06,-5.155115e-06,-3.396234e-06,-3.345729e-06,-1.636473e-06
2.000000e-11,2.049934e-08,-1.385690e-07,-5.145463e-06,-5.145463e-06,-3.640238e-06,-1.635466e-07,5.921102e-06
2.020000e-11,-1.258845e-07,-7.030814e-08,-5.119201e-06,-5.119201e-06,-3.483136e-06,2.850524e-06,1.241746e-05
2.040000e-11,-2.312136e-07,3.740742e-08,-5.080884e-06,-5.080884e-06,-2.946807e-06,5.417067e-06,1.711755e-05
2.060000e-11,-2.458836e-07,1.305808e-07,-5.036415e-06,-5.036415e-06,-2.114567e-06,7.302059e-06,1.959720e-05
2.080000e-11,-1.583504e-07,1.639599e-07,-4.991495e-06,-4.991495e-06,-1.109095e-06,8.351484e-06,1.973332e-05
2.100000e-11,-5.148174e-09,1.241701e-07,-4.950758e-06,-4.950758e-06,-6.677217e-08,8.509267e-06,1.763773e-05
2.120000e-11,1.489109e-07,3.098017e-08,-4.917783e-06,-4.917783e-06,8.804428e-07,7.810794e-06,1.360774e-05
2.140000e-11,2.392140e-07,-7.404367e-08,-4.895417e-06,-4.895417e-06,1.612946e-06,6.358521e-06,8.124747e-06
2.160000e-11,2.271631e-07,-1.448649e-07,-4.885686e-06,-4.885686e-06,2.029317e-06,4.297887e-06,1.860906e-06
2.180000e-11,1.174880e-07,-1.500337e-07,-4.889212e-06,-4.889212e-06,2.060385e-06,1.809259e-06,-4.377927e-06
2.200000e-11,-4.109489e-08,-8.821282e-08,-4.904736e-06,-4.904736e-06,1.691310e-06,-8.882262e-07,-9.791238e-06
2.220000e-11,-1.774079e-07,9.661913e-09,-4.929284e-06,-4.929284e-06,9.774273e-07,-3.540777e-06,-1.374228e-05
2.240000e-11,-2.321015e-07,9.649771e-08,-4.959022e-06,-4.959022e-06,3.806035e-08,-5.884468e-06,-1.585559e-05
2.260000e-11,-1.847526e-07,1.334669e-07,-4.990257e-06,-4.990257e-06,-9.729271e-07,-7.683024e-06,-1.602339e-05
2.280000e-11,-6.025097e-08,1.075391e-07,-5.020027e-06,-5.020027e-06,-1.904743e-06,-8.760517e-06,-1.435325e-05
2.300000e-11,8.506629e-08,3.461399e-08,-5.046103e-06,-5.046103e-06,-2.637189e-06,-9.015393e-06,-1.111582e-05
2.320000e-11,1.883884e-07,-4.996764e-08,-5.066664e-06,-5.066664e-06,-3.090258e-06,-8.417427e-06,-6.725442e-06
2.340000e-11,2.064272e-07,-1.075055e-07,-5.080112e-06,-5.080112e-06,-3.221812e-06,-7.002308e-06,-1.732957e-06
2.360000e-11,1.339251e-07,-1.128030e-07,-5.085245e-06,-5.085245e-06,-3.025151e-06,-4.876964e-06,3.219499e-06
2.380000e-11,6.590182e-09,-6.597874e-08,-5.081663e-06,-5.081663e-06,-2.531847e-06,-2.230877e-06,7.499546e-06
2.400000e-11,-1.156387e-07,7.670092e-09,-5.070023e-06,-5.070023e-06,-1.814352e-06,6.658557e-07,1.060278e-05
2.420000e-11,-1.777786e-07,7.152130e-08,-5.051932e-06,-5.051932e-06,-9.794674e-07,3.490645e-06,1.223096e-05
2.440000e-11,-1.553249e-07,9.680241e-08,-5.029539e-06,-5.029539e-06,-1.501887e-07,5.916331e-06,1.230382e-05
2.460000e-11,-6.324987e-08,7.552382e-08,-5.005107e-06,-5.005107e-06,5.576876e-07,7.659571e-06,1.092315e-05
2.480000e-11,5.351899e-08,2.161937e-08,-4.980806e-06,-4.980806e-06,1.054316e-06,8.513434e-06,8.329344e-06
2.500000e-11,1.413793e-07,-3.775048e-08,-4.958721e-06,-4.958721e-06,1.284317e-06,8.362281e-06,4.875161e-06
2.520000e-11,1.614931e-07,-7.523301e-08,-4.940874e-06,-4.940874e-06,1.227396e-06,7.189661e-06,1.006214e-06
2.540000e-11,1.066189e-07,-7.534714e-08,-4.929075e-06,-4.929075e-06,8.977875e-07,5.088803e-06,-2.780738e-06
2.560000e-11,4.319213e-09,-4.108396e-08,-4.924611e-06,-4.924611e-06,3.457721e-07,2.270988e-06,-6.011392e-06
2.580000e-11,-9.629318e-08,8.420307e-09,-4.927939e-06,-4.927939e-06,-3.432675e-07,-9.440791e-07,-8.315308e-06
