time,"I(RIN1)","I(LQ|XBFR2)","I(LQ|XBFR3)","I(LQ|XBFR4)","I(LQ|XBFR5)","I(LQ|XBFR6)","I(LQ|XBFR7)","I(LQ|XBFR8)"
0.000000e+00,5.954404e-09,2.448111e-06,2.571312e-06,2.605014e-06,2.493454e-06,2.193007e-06,1.690040e-06,1.010445e-06
2.000000e-13,-9.621480e-07,2.801634e-06,2.931985e-06,2.967489e-06,2.839406e-06,2.495578e-06,1.923203e-06,1.149460e-06
4.000000e-13,-1.953760e-06,3.446597e-06,3.587603e-06,3.626283e-06,3.467502e-06,3.045240e-06,2.346329e-06,1.401909e-06
6.000000e-13,-2.933565e-06,4.487039e-06,4.636079e-06,4.679214e-06,4.470153e-06,3.923255e-06,3.021463e-06,1.805032e-06
8.000000e-13,-3.905536e-06,6.056154e-06,6.200038e-06,6.247801e-06,5.962279e-06,5.230470e-06,4.025940e-06,2.405206e-06
1.000000e-12,-4.867553e-06,8.339451e-06,8.448672e-06,8.498789e-06,8.101705e-06,7.105538e-06,5.466549e-06,3.266585e-06
1.200000e-12,-4.839469e-06,1.158437e-05,1.161431e-05,1.166048e-05,1.110490e-05,9.739463e-06,7.491422e-06,4.478586e-06
1.400000e-12,-4.768675e-06,1.613676e-05,1.600775e-05,1.603629e-05,1.526068e-05,1.338951e-05,1.030273e-05,6.164465e-06
1.600000e-12,-4.687370e-06,2.242910e-05,2.202458e-05,2.201095e-05,2.093860e-05,1.839151e-05,1.417125e-05,8.492571e-06
1.800000e-12,-4.590588e-06,3.096173e-05,3.012681e-05,3.003196e-05,2.857743e-05,2.516133e-05,1.945003e-05,1.169102e-05
2.000000e-12,-4.487322e-06,4.219445e-05,4.075469e-05,4.052485e-05,3.861728e-05,3.415974e-05,2.657578e-05,1.606448e-05
2.200000e-12,-4.402024e-06,5.627975e-05,5.410262e-05,5.367921e-05,5.131408e-05,4.576850e-05,3.602943e-05,2.200746e-05
2.400000e-12,-4.373407e-06,7.263618e-05,6.974000e-05,6.908534e-05,6.639728e-05,6.001462e-05,4.820192e-05,2.999969e-05
2.600000e-12,-4.436187e-06,8.962124e-05,8.627173e-05,8.540170e-05,8.270034e-05,7.616733e-05,6.310383e-05,4.055496e-05
