time,"I(LQ|X2)","I(LQ|X5)","I(LQ|X9)","I(LQ|X12)"
0.000000e+00,4.271179e-06,4.608917e-06,3.622287e-06,1.288555e-06
2.000000e-13,4.876646e-06,5.254739e-06,4.127599e-06,1.467751e-06
4.000000e-13,5.978981e-06,6.427575e-06,5.045298e-06,1.793404e-06
6.000000e-13,7.741544e-06,8.299597e-06,6.510476e-06,2.313915e-06
8.000000e-13,1.036620e-05,1.108227e-05,8.690347e-06,3.089793e-06
1.000000e-12,1.412274e-05,1.505868e-05,1.181225e-05,4.204932e-06
1.200000e-12,1.936254e-05,2.059716e-05,1.618136e-05,5.776370e-06
1.400000e-12,2.650989e-05,2.813776e-05,2.218682e-05,7.965222e-06
1.600000e-12,3.600435e-05,3.812039e-05,3.028094e-05,1.099040e-05
1.800000e-12,4.814295e-05,5.079888e-05,4.089239e-05,1.514515e-05
2.000000e-12,6.277585e-05,6.590357e-05,5.421025e-05,2.081238e-05
2.200000e-12,7.893612e-05,8.227604e-05,6.981165e-05,2.846660e-05
2.400000e-12,9.472417e-05,9.783760e-05,8.630929e-05,3.863526e-05
2.600000e-12,1.077298e-04,1.101163e-04,1.014267e-04,5.177447e-05
2.800000e-12,1.158012e-04,1.170484e-04,1.126574e-04,6.801101e-05
3.000000e-12,1.177211e-04,1.176164e-04,1.181066e-04,8.676052e-05
3.200000e-12,1.135338e-04,1.121105e-04,1.170657e-04,1.063932e-04
3.400000e-12,1.044644e-04,1.019725e-04,1.101655e-04,1.242867e-04
3.600000e-12,9.248406e-05,8.929710e-05,9.911161e-05,1.374643e-04
3.800000e-12,7.970970e-05,7.620999e-05,8.611213e-05,1.435551e-04
4.000000e-12,6.790076e-05,6.439658e-05,7.324967e-05,1.415762e-04
4.200000e-12,5.821922e-05,5.491819e-05,6.206587e-05,1.321943e-04
4.400000e-12,5.124394e-05,4.827426e-05,5.345306e-05,1.173889e-04
4.600000e-12,4.712505e-05,4.458161e-05,4.777042e-05,9.971641e-05
4.800000e-12,4.576336e-05,4.375780e-05,4.504302e-05,8.154834e-05
5.000000e-12,4.694834e-05,4.564986e-05,4.513943e-05,6.459590e-05
5.200000e-12,5.043196e-05,5.008927e-05,4.788245e-05,4.980683e-05
5.400000e-12,5.593588e-05,5.686673e-05,5.308097e-05,3.752418e-05
5.600000e-12,6.309703e-05,6.562488e-05,6.047957e-05,2.774002e-05
5.800000e-12,7.137794e-05,7.570205e-05,6.963166e-05,2.031867e-05
6.000000e-12,8.000570e-05,8.603371e-05,7.975072e-05,1.513573e-05
6.200000e-12,8.801570e-05,9.524398e-05,8.966295e-05,1.213462e-05
6.400000e-12,9.442008e-05,1.019454e-04,9.797124e-05,1.132928e-05
6.600000e-12,9.843471e-05,1.051095e-04,1.033948e-04,1.278347e-05
6.800000e-12,9.966436e-05,1.043371e-04,1.051188e-04,1.658376e-05
7.000000e-12,9.817774e-05,9.993612e-05,1.030011e-04,2.280572e-05
7.200000e-12,9.445759e-05,9.279681e-05,9.757362e-05,3.146261e-05
7.400000e-12,8.925438e-05,8.412485e-05,8.986096e-05,4.243163e-05
7.600000e-12,8.339738e-05,7.513228e-05,8.108887e-05,5.537451e-05
7.800000e-12,7.762135e-05,6.679530e-05,7.239217e-05,6.967880e-05
8.000000e-12,7.245158e-05,5.973948e-05,6.461558e-05,8.442079e-05
8.200000e-12,6.816359e-05,5.424813e-05,5.824563e-05,9.834445e-05
8.400000e-12,6.480829e-05,5.034975e-05,5.345251e-05,1.099329e-04
8.600000e-12,6.227750e-05,4.793262e-05,5.019228e-05,1.176799e-04
8.800000e-12,6.038026e-05,4.684634e-05,4.832059e-05,1.204983e-04
9.000000e-12,5.890590e-05,4.696651e-05,4.768288e-05,1.180397e-04
9.200000e-12,5.766198e-05,4.821548e-05,4.816354e-05,1.107532e-04
9.400000e-12,5.648803e-05,5.054440e-05,4.969172e-05,9.968706e-05
9.600000e-12,5.525458e-05,5.389044e-05,5.221344e-05,8.615622e-05
9.800000e-12,5.385807e-05,5.812733e-05,5.564678e-05,7.142449e-05
1.000000e-11,5.221880e-05,6.302847e-05,5.983906e-05,5.650118e-05
1.020000e-11,5.028314e-05,6.825774e-05,6.454329e-05,4.209102e-05
1.040000e-11,4.802730e-05,7.339316e-05,6.942366e-05,2.867289e-05
1.060000e-11,4.545759e-05,7.797571e-05,7.408820e-05,1.663227e-05
1.080000e-11,4.260292e-05,8.156959e-05,7.813674e-05,6.352420e-06
1.100000e-11,3.949930e-05,8.382128e-05,8.121060e-05,-1.790908e-06
1.120000e-11,3.617087e-05,8.450631e-05,8.303477e-05,-7.507117e-06
1.140000e-11,3.261594e-05,8.355291e-05,8.344653e-05,-1.066752e-05
1.160000e-11,2.880573e-05,8.103554e-05,8.240539e-05,-1.132843e-05
1.180000e-11,2.469980e-05,7.714007e-05,7.998178e-05,-9.703909e-06
1.200000e-11,2.027611e-05,7.211146e-05,7.632724e-05,-6.128773e-06
1.220000e-11,1.556780e-05,6.619802e-05,7.163347e-05,-1.048559e-06
1.240000e-11,1.069372e-05,5.960402e-05,6.608815e-05,4.964906e-06
1.260000e-11,5.867602e-06,5.245801e-05,5.983429e-05,1.121577e-05
1.280000e-11,1.375152e-06,4.480262e-05,5.293851e-05,1.694978e-05
1.300000e-11,-2.480991e-06,3.661193e-05,4.537661e-05,2.147546e-05
1.320000e-11,-5.452672e-06,2.784140e-05,3.704963e-05,2.427811e-05
1.340000e-11,-7.406646e-06,1.850663e-05,2.784686e-05,2.506784e-05
1.360000e-11,-8.348002e-06,8.766020e-06,1.775851e-05,2.375612e-05
1.380000e-11,-8.399236e-06,-1.041346e-06,6.995896e-06,2.040569e-05
1.400000e-11,-7.752633e-06,-1.044383e-05,-3.969987e-06,1.520970e-05
1.420000e-11,-6.624782e-06,-1.895707e-05,-1.450909e-05,8.524281e-06
1.440000e-11,-5.231881e-06,-2.620401e-05,-2.401867e-05,9.186918e-07
1.460000e-11,-3.784775e-06,-3.196615e-05,-3.207212e-05,-6.835500e-06
1.480000e-11,-2.488967e-06,-3.615136e-05,-3.844830e-05,-1.388147e-05
1.500000e-11,-1.533872e-06,-3.871568e-05,-4.305172e-05,-1.945365e-05
1.520000e-11,-1.064484e-06,-3.959280e-05,-4.579262e-05,-2.301531e-05
1.540000e-11,-1.141296e-06,-3.866899e-05,-4.649831e-05,-2.429745e-05
1.560000e-11,-1.705079e-06,-3.581436e-05,-4.489971e-05,-2.325799e-05
1.580000e-11,-2.567000e-06,-3.095769e-05,-4.070795e-05,-2.002913e-05
1.600000e-11,-3.437250e-06,-2.417851e-05,-3.376900e-05,-1.491021e-05
1.620000e-11,-3.988277e-06,-1.578495e-05,-2.424920e-05,-8.405836e-06
1.640000e-11,-3.932107e-06,-6.344586e-06,-1.276467e-05,-1.242853e-06
1.660000e-11,-3.086566e-06,3.360063e-06,-3.573360e-07,5.706113e-06
1.680000e-11,-1.413557e-06,1.245499e-05,1.170839e-05,1.158827e-05
1.700000e-11,9.737709e-07,2.013390e-05,2.223203e-05,1.574146e-05
1.720000e-11,3.827884e-06,2.578288e-05,3.029504e-05,1.778749e-05
1.740000e-11,6.798392e-06,2.902486e-05,3.532548e-05,1.763289e-05
1.760000e-11,9.473511e-06,2.969237e-05,3.703623e-05,1.542426e-05
1.780000e-11,1.143263e-05,2.777595e-05,3.533382e-05,1.151396e-05
1.800000e-11,1.231133e-05,2.340390e-05,3.029947e-05,6.447588e-06
1.820000e-11,1.187272e-05,1.688511e-05,2.228783e-05,9.324935e-07
1.840000e-11,1.006946e-05,8.791459e-06,1.207568e-05,-4.255499e-06
1.860000e-11,7.077223e-06,-1.013363e-08,8.904423e-07,-8.414828e-06
1.880000e-11,3.284848e-06,-8.464529e-06,-9.797168e-06,-1.104886e-05
1.900000e-11,-7.612410e-07,-1.555080e-05,-1.862388e-05,-1.193132e-05
1.920000e-11,-4.447011e-06,-2.049231e-05,-2.461703e-05,-1.110122e-05
1.940000e-11,-7.193943e-06,-2.284969e-05,-2.728441e-05,-8.820091e-06
1.960000e-11,-8.554078e-06,-2.249556e-05,-2.654677e-05,-5.522365e-06
1.980000e-11,-8.283322e-06,-1.954967e-05,-2.264390e-05,-1.761008e-06
2.000000e-11,-6.386782e-06,-1.435890e-05,-1.611885e-05,1.868466e-06
2.020000e-11,-3.137565e-06,-7.538863e-06,-7.861993e-06,4.827341e-06
