time,"I(RINA)","I(RINB)","I(LQ|XCOUT)","I(LQ|XSUM)"
0.000000e+00,-1.114118e-08,-1.114118e-08,4.423837e-08,3.005578e-08
2.000000e-13,-1.012606e-06,-1.012606e-06,5.040994e-08,3.420175e-08
4.000000e-13,-2.035176e-06,-2.035176e-06,6.164323e-08,4.175301e-08
6.000000e-13,-3.056510e-06,-3.056510e-06,7.966089e-08,5.387766e-08
8.000000e-13,-4.082780e-06,-4.082780e-06,1.066142e-07,7.202992e-08
1.000000e-12,-5.116895e-06,-5.116895e-06,1.454823e-07,9.821821e-08
1.200000e-12,-5.177475e-06,-5.177475e-06,2.004191e-07,1.352428e-07
1.400000e-12,-5.235805e-06,-5.235805e-06,2.771261e-07,1.869615e-07
1.600000e-12,-5.316786e-06,-5.316786e-06,3.832893e-07,2.586240e-07
1.800000e-12,-5.413754e-06,-5.413754e-06,5.290888e-07,3.572999e-07
2.000000e-12,-5.513645e-06,-5.513645e-06,7.277691e-07,4.923934e-07
2.200000e-12,-5.587904e-06,-5.587904e-06,9.963087e-07,6.762132e-07
2.400000e-12,-5.596483e-06,-5.596483e-06,1.356322e-06,9.245803e-07
2.600000e-12,-5.508507e-06,-5.508507e-06,1.835240e-06,1.257532e-06
2.800000e-12,-5.324664e-06,-5.324664e-06,2.467647e-06,1.700175e-06
3.000000e-12,-5.079620e-06,-5.079620e-06,3.296629e-06,2.283657e-06
3.200000e-12,-4.827167e-06,-4.827167e-06,4.375203e-06,3.046228e-06
3.400000e-12,-4.620837e-06,-4.620837e-06,5.768039e-06,4.034535e-06
3.600000e-12,-4.495996e-06,-4.495996e-06,7.553937e-06,5.305492e-06
3.800000e-12,-4.459837e-06,-4.459837e-06,9.829443e-06,6.929069e-06
4.000000e-12,-4.495323e-06,-4.495323e-06,1.271347e-05,8.992046e-06
4.200000e-12,-4.574889e-06,-4.574889e-06,1.635168e-05,1.160215e-05
4.400000e-12,-4.673599e-06,-4.673599e-06,2.091784e-05,1.489118e-05
4.600000e-12,-4.775642e-06,-4.775642e-06,2.660814e-05,1.901494e-05
4.800000e-12,-4.874510e-06,-4.874510e-06,3.362282e-05,2.414729e-05
5.000000e-12,-4.970094e-06,-4.970094e-06,4.212926e-05,3.046517e-05
5.200000e-12,-5.065326e-06,-5.065326e-06,5.220183e-05,3.812215e-05
5.400000e-12,-5.163378e-06,-5.163378e-06,6.373817e-05,4.720839e-05
5.600000e-12,-5.265101e-06,-5.265101e-06,7.636113e-05,5.769559e-05
5.800000e-12,-5.365968e-06,-5.365968e-06,8.933477e-05,6.936541e-05
6.000000e-12,-5.452600e-06,-5.452600e-06,1.015548e-04,8.172669e-05
6.200000e-12,-5.501520e-06,-5.501520e-06,1.116855e-04,9.395454e-05
6.400000e-12,-5.485457e-06,-5.485457e-06,1.184512e-04,1.049208e-04
6.600000e-12,-5.388420e-06,-5.388420e-06,1.209773e-04,1.133750e-04
6.800000e-12,-5.218973e-06,-5.218973e-06,1.190283e-04,1.182439e-04
7.000000e-12,-5.009754e-06,-5.009754e-06,1.130422e-04,1.189236e-04
7.200000e-12,-4.805016e-06,-4.805016e-06,1.039660e-04,1.154346e-04
7.400000e-12,-4.644761e-06,-4.644761e-06,9.297584e-05,1.083827e-04
7.600000e-12,-4.551915e-06,-4.551915e-06,8.119212e-05,9.876028e-05
7.800000e-12,-4.527656e-06,-4.527656e-06,6.947864e-05,8.767481e-05
8.000000e-12,-4.556577e-06,-4.556577e-06,5.835945e-05,7.610288e-05
8.200000e-12,-4.617158e-06,-4.617158e-06,4.804064e-05,6.473670e-05
8.400000e-12,-4.690838e-06,-4.690838e-06,3.849789e-05,5.394199e-05
8.600000e-12,-4.766128e-06,-4.766128e-06,2.958630e-05,4.380724e-05
8.800000e-12,-4.838244e-06,-4.838244e-06,2.113760e-05,3.424500e-05
9.000000e-12,-4.906595e-06,-4.906595e-06,1.302316e-05,2.510335e-05
9.200000e-12,-4.972251e-06,-4.972251e-06,5.177594e-06,1.625389e-05
9.400000e-12,-5.036344e-06,-5.036344e-06,-2.407516e-06,7.637094e-06
9.600000e-12,-5.099284e-06,-5.099284e-06,-9.701789e-06,-7.344124e-07
9.800000e-12,-5.160310e-06,-5.160310e-06,-1.665021e-05,-8.798224e-06
1.000000e-11,-5.217150e-06,-5.217150e-06,-2.317652e-05,-1.646747e-05
1.020000e-11,-5.265996e-06,-5.265996e-06,-2.917949e-05,-2.364361e-05
1.040000e-11,-5.301976e-06,-5.301976e-06,-3.453108e-05,-3.021465e-05
1.060000e-11,-5.319818e-06,-5.319818e-06,-3.908381e-05,-3.604763e-05
1.080000e-11,-5.314185e-06,-5.314185e-06,-4.268728e-05,-4.098750e-05
1.100000e-11,-5.280228e-06,-5.280228e-06,-4.520752e-05,-4.486828e-05
1.120000e-11,-5.215711e-06,-5.215711e-06,-4.654027e-05,-4.753389e-05
1.140000e-11,-5.124087e-06,-5.124087e-06,-4.661352e-05,-4.885882e-05
1.160000e-11,-5.015630e-06,-5.015630e-06,-4.538110e-05,-4.875962e-05
1.180000e-11,-4.905038e-06,-4.905038e-06,-4.281433e-05,-4.719378e-05
1.200000e-11,-4.806934e-06,-4.806934e-06,-3.890088e-05,-4.415088e-05
1.220000e-11,-4.731720e-06,-4.731720e-06,-3.365771e-05,-3.964656e-05
1.240000e-11,-4.683286e-06,-4.683286e-06,-2.715953e-05,-3.373026e-05
1.260000e-11,-4.659092e-06,-4.659092e-06,-1.957584e-05,-2.651300e-05
1.280000e-11,-4.652350e-06,-4.652350e-06,-1.120143e-05,-1.820936e-05
1.300000e-11,-4.655400e-06,-4.655400e-06,-2.460870e-06,-9.173738e-06
1.320000e-11,-4.662839e-06,-4.662839e-06,6.125613e-06,9.771368e-08
1.340000e-11,-4.673068e-06,-4.673068e-06,1.400901e-05,9.016213e-06
1.360000e-11,-4.687531e-06,-4.687531e-06,2.068646e-05,1.698791e-05
1.380000e-11,-4.708252e-06,-4.708252e-06,2.575572e-05,2.350143e-05
1.400000e-11,-4.735513e-06,-4.735513e-06,2.893537e-05,2.817897e-05
1.420000e-11,-4.767348e-06,-4.767348e-06,3.005812e-05,3.078095e-05
1.440000e-11,-4.800856e-06,-4.800856e-06,2.905832e-05,3.118349e-05
1.460000e-11,-4.833910e-06,-4.833910e-06,2.597473e-05,2.936001e-05
1.480000e-11,-4.865960e-06,-4.865960e-06,2.097694e-05,2.539158e-05
1.500000e-11,-4.897622e-06,-4.897622e-06,1.440406e-05,1.950851e-05
1.520000e-11,-4.929656e-06,-4.929656e-06,6.785733e-06,1.213821e-05
1.540000e-11,-4.962127e-06,-4.962127e-06,-1.186442e-06,3.916219e-06
1.560000e-11,-4.994283e-06,-4.994283e-06,-8.745292e-06,-4.371739e-06
1.580000e-11,-5.025108e-06,-5.025108e-06,-1.516392e-05,-1.190736e-05
1.600000e-11,-5.054077e-06,-5.054077e-06,-1.985528e-05,-1.796834e-05
1.620000e-11,-5.081545e-06,-5.081545e-06,-2.242547e-05,-2.201684e-05
1.640000e-11,-5.108472e-06,-5.108472e-06,-2.268434e-05,-2.373061e-05
1.660000e-11,-5.135609e-06,-5.135609e-06,-2.064034e-05,-2.299804e-05
1.680000e-11,-5.162563e-06,-5.162563e-06,-1.650565e-05,-1.991320e-05
1.700000e-11,-5.187294e-06,-5.187294e-06,-1.071284e-05,-1.479099e-05
1.720000e-11,-5.206399e-06,-5.206399e-06,-3.913772e-06,-8.186870e-06
1.740000e-11,-5.216087e-06,-5.216087e-06,3.077256e-06,-8.765572e-07
1.760000e-11,-5.213287e-06,-5.213287e-06,9.403039e-06,6.237722e-06
1.780000e-11,-5.196332e-06,-5.196332e-06,1.430645e-05,1.227714e-05
1.800000e-11,-5.165049e-06,-5.165049e-06,1.724180e-05,1.653247e-05
1.820000e-11,-5.120487e-06,-5.120487e-06,1.792655e-05,1.855395e-05
1.840000e-11,-5.064649e-06,-5.064649e-06,1.634628e-05,1.817645e-05
1.860000e-11,-5.000433e-06,-5.000433e-06,1.274466e-05,1.551087e-05
1.880000e-11,-4.931847e-06,-4.931847e-06,7.613471e-06,1.093384e-05
1.900000e-11,-4.864304e-06,-4.864304e-06,1.663321e-06,5.074746e-06
1.920000e-11,-4.804673e-06,-4.804673e-06,-4.258196e-06,-1.235771e-06
1.940000e-11,-4.760716e-06,-4.760716e-06,-9.303985e-06,-7.083871e-06
1.960000e-11,-4.739675e-06,-4.739675e-06,-1.277839e-05,-1.163519e-05
1.980000e-11,-4.746249e-06,-4.746249e-06,-1.424727e-05,-1.428158e-05
2.000000e-11,-4.780945e-06,-4.780945e-06,-1.358296e-05,-1.472390e-05
2.020000e-11,-4.839919e-06,-4.839919e-06,-1.095830e-05,-1.298723e-05
2.040000e-11,-4.916046e-06,-4.916046e-06,-6.819152e-06,-9.401698e-06
2.060000e-11,-5.000765e-06,-5.000765e-06,-1.830139e-06,-4.557845e-06
2.080000e-11,-5.085786e-06,-5.085786e-06,3.220825e-06,7.715562e-07
2.100000e-11,-5.163409e-06,-5.163409e-06,7.556137e-06,5.752432e-06
2.120000e-11,-5.225863e-06,-5.225863e-06,1.054635e-05,9.635102e-06
2.140000e-11,-5.264955e-06,-5.264955e-06,1.180865e-05,1.188185e-05
2.160000e-11,-5.273554e-06,-5.273554e-06,1.124424e-05,1.223931e-05
2.180000e-11,-5.248668e-06,-5.248668e-06,9.024209e-06,1.074880e-05
2.200000e-11,-5.193525e-06,-5.193525e-06,5.546875e-06,7.714127e-06
2.220000e-11,-5.116524e-06,-5.116524e-06,1.379258e-06,3.647799e-06
2.240000e-11,-5.028038e-06,-5.028038e-06,-2.821557e-06,-7.999624e-07
2.260000e-11,-4.937768e-06,-4.937768e-06,-6.410018e-06,-4.935811e-06
2.280000e-11,-4.854270e-06,-4.854270e-06,-8.860475e-06,-8.135940e-06
2.300000e-11,-4.786076e-06,-4.786076e-06,-9.851954e-06,-9.950733e-06
2.320000e-11,-4.742247e-06,-4.742247e-06,-9.306604e-06,-1.017085e-05
2.340000e-11,-4.730379e-06,-4.730379e-06,-7.380874e-06,-8.841528e-06
2.360000e-11,-4.752919e-06,-4.752919e-06,-4.424744e-06,-6.234283e-06
2.380000e-11,-4.805357e-06,-4.805357e-06,-9.238754e-07,-2.793979e-06
2.400000e-11,-4.878268e-06,-4.878268e-06,2.570730e-06,9.281507e-07
2.420000e-11,-4.961272e-06,-4.961272e-06,5.524952e-06,4.354510e-06
2.440000e-11,-5.045724e-06,-5.045724e-06,7.506552e-06,6.970484e-06
2.460000e-11,-5.124652e-06,-5.124652e-06,8.253713e-06,8.407466e-06
2.480000e-11,-5.190948e-06,-5.190948e-06,7.709297e-06,8.498147e-06
2.500000e-11,-5.236247e-06,-5.236247e-06,6.016016e-06,7.291284e-06
2.520000e-11,-5.252573e-06,-5.252573e-06,3.480978e-06,5.028752e-06
2.540000e-11,-5.236110e-06,-5.236110e-06,5.221134e-07,2.097497e-06
2.560000e-11,-5.189667e-06,-5.189667e-06,-2.395379e-06,-1.032246e-06
2.580000e-11,-5.121493e-06,-5.121493e-06,-4.828189e-06,-3.876756e-06
2.600000e-11,-5.041789e-06,-5.041789e-06,-6.422643e-06,-6.011717e-06
2.620000e-11,-4.959962e-06,-4.959962e-06,-6.968749e-06,-7.137801e-06
2.640000e-11,-4.884208e-06,-4.884208e-06,-6.428212e-06,-7.124814e-06
2.660000e-11,-4.822552e-06,-4.822552e-06,-4.931347e-06,-6.024487e-06
2.680000e-11,-4.783125e-06,-4.783125e-06,-2.747140e-06,-4.051863e-06
2.700000e-11,-4.772205e-06,-4.772205e-06,-2.356443e-07,-1.543341e-06
2.720000e-11,-4.791259e-06,-4.791259e-06,2.208711e-06,1.098724e-06
2.740000e-11,-4.835887e-06,-4.835887e-06,4.216407e-06,3.467324e-06
2.760000e-11,-4.897791e-06,-4.897791e-06,5.498009e-06,5.211649e-06
2.780000e-11,-4.967971e-06,-4.967971e-06,5.886713e-06,6.089472e-06
2.800000e-11,-5.038705e-06,-5.038705e-06,5.360094e-06,6.001664e-06
2.820000e-11,-5.103441e-06,-5.103441e-06,4.037193e-06,5.001966e-06
2.840000e-11,-5.155686e-06,-5.155686e-06,2.153133e-06,3.281256e-06
2.860000e-11,-5.188759e-06,-5.188759e-06,1.774810e-08,1.131437e-06
2.880000e-11,-5.197407e-06,-5.197407e-06,-2.034109e-06,-1.103176e-06
2.900000e-11,-5.180198e-06,-5.180198e-06,-3.693563e-06,-3.079324e-06
2.920000e-11,-5.140498e-06,-5.140498e-06,-4.723382e-06,-4.506207e-06
2.940000e-11,-5.085173e-06,-5.085173e-06,-4.991764e-06,-5.187932e-06
