time,"I(RIN1)","I(RIN2)","I(LQ|X11)","I(LOUT|X5)","I(LOUT|X6)","I(LQ|X9)"
0.000000e+00,-9.080729e-09,-9.080726e-09,5.638993e-07,4.208484e-07,-5.453648e-07,1.118327e-06
2.000000e-13,-9.997710e-07,-9.997711e-07,6.404860e-07,4.793142e-07,-6.220211e-07,1.272130e-06
4.000000e-13,-2.020605e-06,-2.020605e-06,7.794456e-07,5.853012e-07,-7.615140e-07,1.552160e-06
6.000000e-13,-3.037170e-06,-3.037170e-06,1.001128e-06,7.544105e-07,-9.843464e-07,1.999917e-06
8.000000e-13,-4.056889e-06,-4.056889e-06,1.330868e-06,1.005615e-06,-1.316067e-06,2.667084e-06
1.000000e-12,-5.082257e-06,-5.082255e-06,1.803809e-06,1.364049e-06,-1.791558e-06,3.624652e-06
1.200000e-12,-5.138740e-06,-5.138736e-06,2.469131e-06,1.861641e-06,-2.457864e-06,4.970430e-06
1.400000e-12,-5.179922e-06,-5.179913e-06,3.394874e-06,2.534005e-06,-3.375464e-06,6.836834e-06
1.600000e-12,-5.243373e-06,-5.243357e-06,4.674292e-06,3.409140e-06,-4.615700e-06,9.399492e-06
1.800000e-12,-5.324751e-06,-5.324729e-06,6.434593e-06,4.480350e-06,-6.248193e-06,1.288535e-05
2.000000e-12,-5.420468e-06,-5.420442e-06,8.848569e-06,5.659202e-06,-8.305781e-06,1.757502e-05
2.200000e-12,-5.517044e-06,-5.517019e-06,1.214879e-05,6.732108e-06,-1.071188e-05,2.378710e-05
2.400000e-12,-5.585713e-06,-5.585695e-06,1.664210e-05,7.390844e-06,-1.317835e-05,3.182426e-05
2.600000e-12,-5.587802e-06,-5.587797e-06,2.271820e-05,7.372651e-06,-1.515483e-05,4.185507e-05
2.800000e-12,-5.495785e-06,-5.495798e-06,3.083833e-05,6.602683e-06,-1.596350e-05,5.371334e-05
3.000000e-12,-5.313391e-06,-5.313424e-06,4.147796e-05,5.224533e-06,-1.512158e-05,6.665396e-05
3.200000e-12,-5.075494e-06,-5.075540e-06,5.498619e-05,3.534758e-06,-1.262824e-05,7.923830e-05
3.400000e-12,-4.833232e-06,-4.833284e-06,7.133254e-05,1.878273e-06,-9.005405e-06,8.957819e-05
3.600000e-12,-4.636449e-06,-4.636498e-06,8.977188e-05,5.400555e-07,-5.099569e-06,9.592114e-05
3.800000e-12,-4.517981e-06,-4.518020e-06,1.085931e-04,-3.292200e-07,-1.777065e-06,9.725196e-05
4.000000e-12,-4.484745e-06,-4.484763e-06,1.252431e-04,-7.218251e-07,3.511133e-07,9.360965e-05
4.200000e-12,-4.520978e-06,-4.520959e-06,1.369692e-04,-7.253068e-07,1.061432e-06,8.601967e-05
4.400000e-12,-4.600493e-06,-4.600426e-06,1.417066e-04,-4.584734e-07,4.677977e-07,7.610632e-05
4.600000e-12,-4.698877e-06,-4.698756e-06,1.387495e-04,-2.413159e-08,-1.140564e-06,6.557986e-05
4.800000e-12,-4.799828e-06,-4.799656e-06,1.289127e-04,5.115128e-07,-3.460632e-06,5.583226e-05
5.000000e-12,-4.895739e-06,-4.895531e-06,1.141547e-04,1.118671e-06,-6.267231e-06,4.776959e-05
5.200000e-12,-4.985323e-06,-4.985099e-06,9.688095e-05,1.791915e-06,-9.429914e-06,4.185451e-05
5.400000e-12,-5.070672e-06,-5.070450e-06,7.926594e-05,2.531109e-06,-1.288471e-05,3.825084e-05
5.600000e-12,-5.154715e-06,-5.154500e-06,6.285113e-05,3.316983e-06,-1.659118e-05,3.697102e-05
5.800000e-12,-5.238877e-06,-5.238668e-06,4.847168e-05,4.087555e-06,-2.049139e-05,3.797435e-05
6.000000e-12,-5.320419e-06,-5.320215e-06,3.640932e-05,4.732493e-06,-2.447589e-05,4.120460e-05
