time,"I(RIN2)","I(RIN1)","I(LQ|X11)"
0.000000e+00,-1.117817e-08,-1.117817e-08,5.393908e-07
2.000000e-13,-1.012706e-06,-1.012706e-06,6.112308e-07
4.000000e-13,-2.035346e-06,-2.035346e-06,7.413835e-07
6.000000e-13,-3.056765e-06,-3.056765e-06,9.486156e-07
8.000000e-13,-4.083141e-06,-4.083141e-06,1.256107e-06
1.000000e-12,-5.117380e-06,-5.117380e-06,1.695828e-06
1.200000e-12,-5.178095e-06,-5.178095e-06,2.312288e-06
1.400000e-12,-5.236560e-06,-5.236560e-06,3.166783e-06
1.600000e-12,-5.317654e-06,-5.317654e-06,4.343039e-06
1.800000e-12,-5.414654e-06,-5.414654e-06,5.955050e-06
2.000000e-12,-5.514369e-06,-5.514369e-06,8.157614e-06
2.200000e-12,-5.588093e-06,-5.588093e-06,1.115936e-05
2.400000e-12,-5.595776e-06,-5.595776e-06,1.523667e-05
2.600000e-12,-5.506814e-06,-5.506814e-06,2.074404e-05
2.800000e-12,-5.322276e-06,-5.322276e-06,2.811041e-05
3.000000e-12,-5.077073e-06,-5.077073e-06,3.780123e-05
3.200000e-12,-4.825025e-06,-4.825025e-06,5.021427e-05
3.400000e-12,-4.619508e-06,-4.619508e-06,6.547569e-05
3.600000e-12,-4.495600e-06,-4.495600e-06,8.313776e-05
3.800000e-12,-4.460205e-06,-4.460205e-06,1.018803e-04
4.000000e-12,-4.496118e-06,-4.496118e-06,1.194644e-04
4.200000e-12,-4.575768e-06,-4.575768e-06,1.331762e-04
4.400000e-12,-4.674315e-06,-4.674315e-06,1.406497e-04
4.600000e-12,-4.776067e-06,-4.776067e-06,1.406453e-04
4.800000e-12,-4.874609e-06,-4.874609e-06,1.334108e-04
5.000000e-12,-4.969876e-06,-4.969876e-06,1.205030e-04
5.200000e-12,-5.064810e-06,-5.064810e-06,1.041965e-04
5.400000e-12,-5.162573e-06,-5.162573e-06,8.678226e-05
5.600000e-12,-5.264014e-06,-5.264014e-06,7.005481e-05
5.800000e-12,-5.364648e-06,-5.364648e-06,5.511730e-05
