time,"I(RINA)","I(LQ|X2)","I(LQ|X3)","I(LQ|X4)","I(LQ|X5)","I(LQ|X6)","I(LQ|X7)","I(LQ|X8)"
0.000000e+00,-1.243166e-08,4.970591e-06,4.978935e-06,4.979137e-06,4.979111e-06,4.977365e-06,4.900969e-06,2.717757e-06
2.000000e-13,-1.007742e-06,5.670153e-06,5.679837e-06,5.680063e-06,5.680040e-06,5.678016e-06,5.590236e-06,3.091746e-06
4.000000e-13,-2.034746e-06,6.940928e-06,6.953072e-06,6.953346e-06,6.953325e-06,6.950798e-06,6.842292e-06,3.770760e-06
6.000000e-13,-3.058640e-06,8.969667e-06,8.985837e-06,8.986195e-06,8.986168e-06,8.982842e-06,8.841205e-06,4.854677e-06
8.000000e-13,-4.087350e-06,1.198475e-05,1.200709e-05,1.200758e-05,1.200754e-05,1.200303e-05,1.181224e-05,6.467065e-06
1.000000e-12,-5.123793e-06,1.628911e-05,1.632052e-05,1.632122e-05,1.632114e-05,1.631496e-05,1.605466e-05,8.776970e-06
1.200000e-12,-5.194013e-06,2.226962e-05,2.231384e-05,2.231483e-05,2.231469e-05,2.230624e-05,2.195177e-05,1.201499e-05
1.400000e-12,-5.250467e-06,3.036943e-05,3.043096e-05,3.043234e-05,3.043211e-05,3.042073e-05,2.994579e-05,1.648554e-05
1.600000e-12,-5.329030e-06,4.098549e-05,4.106862e-05,4.107047e-05,4.107012e-05,4.105529e-05,4.044026e-05,2.257028e-05
1.800000e-12,-5.419857e-06,5.423405e-05,5.434067e-05,5.434304e-05,5.434254e-05,5.432425e-05,5.357326e-05,3.070398e-05
2.000000e-12,-5.508838e-06,6.958333e-05,6.970959e-05,6.971239e-05,6.971174e-05,6.969103e-05,6.885336e-05,4.128137e-05
2.200000e-12,-5.568688e-06,8.556256e-05,8.569672e-05,8.569968e-05,8.569891e-05,8.567812e-05,8.485523e-05,5.443559e-05
2.400000e-12,-5.564351e-06,9.991974e-05,1.000440e-04,1.000467e-04,1.000459e-04,1.000282e-04,9.934937e-05,6.968212e-05
2.600000e-12,-5.472413e-06,1.102832e-04,1.103789e-04,1.103808e-04,1.103802e-04,1.103684e-04,1.099481e-04,8.562329e-05
2.800000e-12,-5.298288e-06,1.149314e-04,1.149843e-04,1.149852e-04,1.149848e-04,1.149809e-04,1.148832e-04,1.000722e-04
3.000000e-12,-5.075112e-06,1.133033e-04,1.133070e-04,1.133067e-04,1.133066e-04,1.133108e-04,1.135337e-04,1.106777e-04
3.200000e-12,-4.849879e-06,1.061116e-04,1.060688e-04,1.060674e-04,1.060676e-04,1.060788e-04,1.065590e-04,1.156874e-04
3.400000e-12,-4.667566e-06,9.505898e-05,9.497901e-05,9.497675e-05,9.497741e-05,9.499314e-05,9.563006e-05,1.144742e-04
3.600000e-12,-4.557559e-06,8.227424e-05,8.216978e-05,8.216700e-05,8.216812e-05,8.218588e-05,8.287358e-05,1.076724e-04
3.800000e-12,-4.526341e-06,6.972745e-05,6.961025e-05,6.960730e-05,6.960899e-05,6.962653e-05,7.027988e-05,9.691643e-05
4.000000e-12,-4.560326e-06,5.886052e-05,5.873897e-05,5.873609e-05,5.873841e-05,5.875426e-05,5.931991e-05,8.429533e-05
4.200000e-12,-4.636250e-06,5.050393e-05,5.038239e-05,5.037968e-05,5.038261e-05,5.039609e-05,5.084991e-05,7.177127e-05
4.400000e-12,-4.731737e-06,4.499379e-05,4.487339e-05,4.487077e-05,4.487418e-05,4.488524e-05,4.522302e-05,6.079964e-05
4.600000e-12,-4.831084e-06,4.235937e-05,4.223935e-05,4.223665e-05,4.224029e-05,4.224924e-05,4.247671e-05,5.223012e-05
4.800000e-12,-4.926111e-06,4.248784e-05,4.236694e-05,4.236401e-05,4.236759e-05,4.237481e-05,4.250016e-05,4.641231e-05
5.000000e-12,-5.014313e-06,4.522549e-05,4.510329e-05,4.510015e-05,4.510343e-05,4.510912e-05,4.513877e-05,4.338017e-05
5.200000e-12,-5.096308e-06,5.040452e-05,5.028272e-05,5.027972e-05,5.028259e-05,5.028653e-05,5.022437e-05,4.302076e-05
5.400000e-12,-5.173371e-06,5.778971e-05,5.767344e-05,5.767127e-05,5.767364e-05,5.767523e-05,5.752537e-05,4.518391e-05
5.600000e-12,-5.244997e-06,6.694884e-05,6.684736e-05,6.684688e-05,6.684853e-05,6.684701e-05,6.662001e-05,4.972020e-05
5.800000e-12,-5.306490e-06,7.710088e-05,7.702670e-05,7.702856e-05,7.702908e-05,7.702404e-05,7.674338e-05,5.644244e-05
6.000000e-12,-5.347632e-06,8.706895e-05,8.703448e-05,8.703873e-05,8.703770e-05,8.702948e-05,8.673323e-05,6.501227e-05
6.200000e-12,-5.354598e-06,9.544812e-05,9.546100e-05,9.546699e-05,9.546422e-05,9.545409e-05,9.518856e-05,7.478977e-05
6.400000e-12,-5.316124e-06,1.009480e-04,1.010074e-04,1.010139e-04,1.010097e-04,1.009995e-04,1.008080e-04,8.474801e-05
6.600000e-12,-5.230794e-06,1.027432e-04,1.028392e-04,1.028448e-04,1.028398e-04,1.028316e-04,1.027439e-04,9.356908e-05
6.800000e-12,-5.110045e-06,1.006821e-04,1.007972e-04,1.008007e-04,1.007960e-04,1.007914e-04,1.008179e-04,9.993163e-05
7.000000e-12,-4.975009e-06,9.529110e-05,9.540462e-05,9.540529e-05,9.540199e-05,9.540183e-05,9.553334e-05,1.028618e-04
7.200000e-12,-4.849762e-06,8.759391e-05,8.768614e-05,8.768399e-05,8.768318e-05,8.768734e-05,8.790048e-05,1.019893e-04
7.400000e-12,-4.754267e-06,7.881868e-05,7.887464e-05,7.887035e-05,7.887262e-05,7.888016e-05,7.914583e-05,9.761810e-05
7.600000e-12,-4.699312e-06,7.010426e-05,7.011510e-05,7.010971e-05,7.011501e-05,7.012461e-05,7.041631e-05,9.060402e-05
7.800000e-12,-4.684971e-06,6.230075e-05,6.226311e-05,6.225746e-05,6.226517e-05,6.227574e-05,6.257481e-05,8.209533e-05
8.000000e-12,-4.702853e-06,5.590159e-05,5.581558e-05,5.580989e-05,5.581909e-05,5.583031e-05,5.612724e-05,7.323735e-05
8.200000e-12,-4.740621e-06,5.108501e-05,5.095193e-05,5.094549e-05,5.095551e-05,5.096811e-05,5.126066e-05,6.494401e-05
8.400000e-12,-4.786399e-06,4.781497e-05,4.763548e-05,4.762666e-05,4.763765e-05,4.765335e-05,4.794318e-05,5.779256e-05
8.600000e-12,-4.831548e-06,4.595323e-05,4.572646e-05,4.571318e-05,4.572637e-05,4.574743e-05,4.603670e-05,5.203607e-05
8.800000e-12,-4.871507e-06,4.534874e-05,4.507252e-05,4.505298e-05,4.507051e-05,4.509894e-05,4.538814e-05,4.769038e-05
9.000000e-12,-4.905167e-06,4.588719e-05,4.555937e-05,4.553277e-05,4.555704e-05,4.559379e-05,4.588108e-05,4.464476e-05
9.200000e-12,-4.933507e-06,4.749827e-05,4.711868e-05,4.708579e-05,4.711844e-05,4.716289e-05,4.744465e-05,4.275704e-05
9.400000e-12,-4.958158e-06,5.012894e-05,4.970176e-05,4.966487e-05,4.970596e-05,4.975586e-05,5.002776e-05,4.191220e-05
9.600000e-12,-4.980346e-06,5.369822e-05,5.323404e-05,5.319652e-05,5.324408e-05,5.329601e-05,5.355361e-05,4.204069e-05
9.800000e-12,-5.000396e-06,5.805180e-05,5.756886e-05,5.753430e-05,5.758464e-05,5.763480e-05,5.787344e-05,4.310480e-05
1.000000e-11,-5.017746e-06,6.293461e-05,6.245878e-05,6.243011e-05,6.247872e-05,6.252373e-05,6.273761e-05,4.506728e-05
1.020000e-11,-5.031332e-06,6.799367e-05,6.755680e-05,6.753584e-05,6.757845e-05,6.761581e-05,6.779701e-05,4.785725e-05
1.040000e-11,-5.040139e-06,7.281119e-05,7.244808e-05,7.243562e-05,7.246911e-05,7.249710e-05,7.263548e-05,5.134652e-05
1.060000e-11,-5.043720e-06,7.695728e-05,7.670152e-05,7.669774e-05,7.672029e-05,7.673764e-05,7.682247e-05,5.534507e-05
1.080000e-11,-5.042465e-06,8.004778e-05,7.992684e-05,7.993170e-05,7.994257e-05,7.994822e-05,7.997107e-05,5.961567e-05
1.100000e-11,-5.037445e-06,8.179562e-05,8.182602e-05,8.183927e-05,8.183840e-05,8.183173e-05,8.178957e-05,6.389764e-05
1.120000e-11,-5.029923e-06,8.204575e-05,8.222982e-05,8.225064e-05,8.223842e-05,8.221972e-05,8.211684e-05,6.792667e-05
1.140000e-11,-5.020773e-06,8.078574e-05,8.111108e-05,8.113768e-05,8.111492e-05,8.108596e-05,8.093387e-05,7.144461e-05
1.160000e-11,-5.010117e-06,7.812906e-05,7.857113e-05,7.860046e-05,7.856854e-05,7.853282e-05,7.834821e-05,7.420454e-05
1.180000e-11,-4.997334e-06,7.427652e-05,7.480361e-05,7.483150e-05,7.479254e-05,7.475502e-05,7.455652e-05,7.598077e-05
1.200000e-11,-4.981402e-06,6.946721e-05,7.004640e-05,7.006822e-05,7.002503e-05,6.999133e-05,6.979623e-05,7.658766e-05
1.220000e-11,-4.961405e-06,6.393077e-05,6.453354e-05,6.454515e-05,6.450088e-05,6.447612e-05,6.429803e-05,7.590246e-05
1.240000e-11,-4.936943e-06,5.784904e-05,5.845508e-05,5.845381e-05,5.841132e-05,5.839902e-05,5.824728e-05,7.388211e-05
1.260000e-11,-4.908305e-06,5.133150e-05,5.193022e-05,5.191530e-05,5.187646e-05,5.187800e-05,5.175863e-05,7.056493e-05
1.280000e-11,-4.876341e-06,4.440832e-05,4.499739e-05,4.496966e-05,4.493505e-05,4.495005e-05,4.486746e-05,6.605243e-05
1.300000e-11,-4.842191e-06,3.704516e-05,3.762661e-05,3.758768e-05,3.755689e-05,3.758407e-05,3.754260e-05,6.047269e-05
1.320000e-11,-4.807148e-06,2.918359e-05,2.975840e-05,2.970978e-05,2.968218e-05,2.972036e-05,2.972474e-05,5.393442e-05
1.340000e-11,-4.772857e-06,2.080506e-05,2.136795e-05,2.131089e-05,2.128643e-05,2.133478e-05,2.138922e-05,4.648876e-05
1.360000e-11,-4.741834e-06,1.200203e-05,1.253884e-05,1.247491e-05,1.245432e-05,1.251179e-05,1.261834e-05,3.812133e-05
1.380000e-11,-4.717874e-06,3.022024e-06,3.511348e-06,3.443182e-06,3.427426e-06,3.491890e-06,3.649211e-06,2.879667e-05
1.400000e-11,-4.705626e-06,-5.750758e-06,-5.332217e-06,-5.400990e-06,-5.411490e-06,-5.343258e-06,-5.139797e-06,1.856025e-05
1.420000e-11,-4.708984e-06,-1.387903e-05,-1.355046e-05,-1.361648e-05,-1.362194e-05,-1.355310e-05,-1.331015e-05,7.659523e-06
1.440000e-11,-4.729103e-06,-2.097721e-05,-2.075058e-05,-2.081228e-05,-2.081280e-05,-2.074488e-05,-2.046973e-05,-3.405903e-06
1.460000e-11,-4.763615e-06,-2.677933e-05,-2.666009e-05,-2.671833e-05,-2.671282e-05,-2.664502e-05,-2.634492e-05,-1.397609e-05
1.480000e-11,-4.807823e-06,-3.114150e-05,-3.113166e-05,-3.118866e-05,-3.117441e-05,-3.110455e-05,-3.078675e-05,-2.342251e-05
1.500000e-11,-4.857019e-06,-3.399418e-05,-3.409476e-05,-3.415204e-05,-3.412549e-05,-3.405204e-05,-3.372396e-05,-3.131022e-05
1.520000e-11,-4.908341e-06,-3.528306e-05,-3.549447e-05,-3.555082e-05,-3.550918e-05,-3.543331e-05,-3.510257e-05,-3.743587e-05
1.540000e-11,-4.961226e-06,-3.493498e-05,-3.525495e-05,-3.530574e-05,-3.524877e-05,-3.517513e-05,-3.484932e-05,-4.174620e-05
