time,"I(RIN1)","I(RIN2)","I(LQ|X11)","I(LOUT|X5)","I(LOUT|X6)","I(LQ|X9)"
0.000000e+00,-3.039541e-09,-3.039553e-09,4.611458e-07,5.676490e-07,-6.574482e-07,1.086742e-06
2.000000e-13,-9.923420e-07,-9.923418e-07,5.248997e-07,6.456026e-07,-7.490806e-07,1.237300e-06
4.000000e-13,-1.999247e-06,-1.999247e-06,6.407280e-07,7.869513e-07,-9.155717e-07,1.511153e-06
6.000000e-13,-3.000945e-06,-3.000945e-06,8.256803e-07,1.012640e-06,-1.181368e-06,1.949156e-06
8.000000e-13,-4.001822e-06,-4.001822e-06,1.101108e-06,1.348613e-06,-1.577038e-06,2.602250e-06
1.000000e-12,-5.002480e-06,-5.002480e-06,1.496800e-06,1.830629e-06,-2.144844e-06,3.540776e-06
1.200000e-12,-5.018775e-06,-5.018775e-06,2.054731e-06,2.507962e-06,-2.943355e-06,4.862591e-06
1.400000e-12,-5.019696e-06,-5.019696e-06,2.833558e-06,3.446212e-06,-4.052014e-06,6.702060e-06
1.600000e-12,-5.029218e-06,-5.029219e-06,3.914696e-06,4.727609e-06,-5.575162e-06,9.240643e-06
1.800000e-12,-5.044933e-06,-5.044935e-06,5.410652e-06,6.443531e-06,-7.642492e-06,1.271765e-05
2.000000e-12,-5.068930e-06,-5.068934e-06,7.476016e-06,8.667945e-06,-1.039791e-05,1.743572e-05
2.200000e-12,-5.104192e-06,-5.104196e-06,1.032116e-05,1.139649e-05,-1.396080e-05,2.374838e-05
2.400000e-12,-5.154278e-06,-5.154283e-06,1.422775e-05,1.445370e-05,-1.833730e-05,3.200820e-05
2.600000e-12,-5.222779e-06,-5.222783e-06,1.956322e-05,1.743393e-05,-2.327463e-05,4.244705e-05
2.800000e-12,-5.311806e-06,-5.311812e-06,2.678715e-05,1.978536e-05,-2.812641e-05,5.496812e-05
3.000000e-12,-5.418869e-06,-5.418882e-06,3.643452e-05,2.102644e-05,-3.189837e-05,6.887620e-05
3.200000e-12,-5.531427e-06,-5.531458e-06,4.904772e-05,2.093166e-05,-3.358282e-05,8.268488e-05
3.400000e-12,-5.620353e-06,-5.620405e-06,6.501500e-05,1.958926e-05,-3.262196e-05,9.425538e-05
3.600000e-12,-5.640832e-06,-5.640885e-06,8.427599e-05,1.734944e-05,-2.919316e-05,1.014046e-04
3.800000e-12,-5.553458e-06,-5.553481e-06,1.059218e-04,1.470080e-05,-2.415521e-05,1.027134e-04
4.000000e-12,-5.354409e-06,-5.354386e-06,1.278879e-04,1.211734e-05,-1.872052e-05,9.805865e-05
4.200000e-12,-5.082283e-06,-5.082217e-06,1.471017e-04,9.941283e-06,-1.403365e-05,8.861466e-05
4.400000e-12,-4.800093e-06,-4.800000e-06,1.602608e-04,8.346801e-06,-1.084961e-05,7.638189e-05
4.600000e-12,-4.570740e-06,-4.570645e-06,1.649128e-04,7.373835e-06,-9.434356e-06,6.350494e-05
4.800000e-12,-4.434599e-06,-4.434529e-06,1.602690e-04,6.989035e-06,-9.671417e-06,5.171264e-05
5.000000e-12,-4.397659e-06,-4.397630e-06,1.473783e-04,7.137327e-06,-1.125617e-05,4.208584e-05
5.200000e-12,-4.437582e-06,-4.437587e-06,1.286332e-04,7.769073e-06,-1.386062e-05,3.513393e-05
5.400000e-12,-4.521307e-06,-4.521323e-06,1.069008e-04,8.842739e-06,-1.721782e-05,3.102040e-05
5.600000e-12,-4.620724e-06,-4.620724e-06,8.471315e-05,1.030762e-05,-2.113463e-05,2.978065e-05
5.800000e-12,-4.719380e-06,-4.719349e-06,6.382218e-05,1.207250e-05,-2.546432e-05,3.145138e-05
6.000000e-12,-4.811485e-06,-4.811423e-06,4.516386e-05,1.397344e-05,-3.006564e-05,3.609884e-05
6.200000e-12,-4.897659e-06,-4.897578e-06,2.908376e-05,1.576608e-05,-3.476342e-05,4.376256e-05
6.400000e-12,-4.980965e-06,-4.980884e-06,1.563060e-05,1.716645e-05,-3.932025e-05,5.433103e-05
6.600000e-12,-5.064674e-06,-5.064609e-06,4.781564e-06,1.793108e-05,-4.343016e-05,6.736131e-05
6.800000e-12,-5.151375e-06,-5.151349e-06,-3.444637e-06,1.793381e-05,-4.674425e-05,8.187759e-05
7.000000e-12,-5.242320e-06,-5.242347e-06,-8.961159e-06,1.720082e-05,-4.892738e-05,9.625513e-05
7.200000e-12,-5.335964e-06,-5.336038e-06,-1.162466e-05,1.589537e-05,-4.972971e-05,1.083617e-04
7.400000e-12,-5.425529e-06,-5.425608e-06,-1.125395e-05,1.426456e-05,-4.904766e-05,1.160424e-04
7.600000e-12,-5.496703e-06,-5.496731e-06,-7.650804e-06,1.257000e-05,-4.695128e-05,1.177840e-04
7.800000e-12,-5.527780e-06,-5.527747e-06,-6.333401e-07,1.102761e-05,-4.366748e-05,1.132262e-04
8.000000e-12,-5.494990e-06,-5.494953e-06,9.904761e-06,9.775371e-06,-3.952623e-05,1.032698e-04
8.200000e-12,-5.384921e-06,-5.384949e-06,2.390624e-05,8.872435e-06,-3.489108e-05,8.974843e-05
8.400000e-12,-5.207579e-06,-5.207693e-06,4.105152e-05,8.319499e-06,-3.009863e-05,7.484149e-05
8.600000e-12,-4.996597e-06,-4.996770e-06,6.067914e-05,8.085368e-06,-2.542379e-05,6.049309e-05
8.800000e-12,-4.795764e-06,-4.795942e-06,8.172023e-05,8.128394e-06,-2.107380e-05,4.804830e-05
9.000000e-12,-4.642239e-06,-4.642351e-06,1.026056e-04,8.407825e-06,-1.720212e-05,3.816976e-05
9.200000e-12,-4.554945e-06,-4.554931e-06,1.212169e-04,8.885608e-06,-1.392862e-05,3.096493e-05
9.400000e-12,-4.532308e-06,-4.532158e-06,1.351323e-04,9.522229e-06,-1.135410e-05,2.619893e-05
9.600000e-12,-4.558540e-06,-4.558310e-06,1.422477e-04,1.027113e-05,-9.563934e-06,2.349062e-05
9.800000e-12,-4.613420e-06,-4.613207e-06,1.414492e-04,1.107576e-05,-8.621279e-06,2.244498e-05
1.000000e-11,-4.680048e-06,-4.679944e-06,1.329355e-04,1.187164e-05,-8.554282e-06,2.271875e-05
1.020000e-11,-4.748022e-06,-4.748075e-06,1.180554e-04,1.259335e-05,-9.341408e-06,2.403527e-05
1.040000e-11,-4.812740e-06,-4.812942e-06,9.880199e-05,1.318404e-05,-1.089745e-05,2.616743e-05
1.060000e-11,-4.872960e-06,-4.873267e-06,7.723624e-05,1.360382e-05,-1.306243e-05,2.890573e-05
1.080000e-11,-4.928575e-06,-4.928935e-06,5.509306e-05,1.383424e-05,-1.559766e-05,3.202691e-05
1.100000e-11,-4.979453e-06,-4.979824e-06,3.368710e-05,1.387793e-05,-1.819697e-05,3.527550e-05
1.120000e-11,-5.025135e-06,-5.025491e-06,1.404344e-05,1.375416e-05,-2.052086e-05,3.836464e-05
1.140000e-11,-5.064823e-06,-5.065160e-06,-2.952532e-06,1.349229e-05,-2.225269e-05,4.099365e-05
1.160000e-11,-5.097367e-06,-5.097694e-06,-1.654792e-05,1.312516e-05,-2.316186e-05,4.287290e-05
1.180000e-11,-5.121338e-06,-5.121672e-06,-2.623633e-05,1.268397e-05,-2.315072e-05,4.374466e-05
1.200000e-11,-5.135448e-06,-5.135798e-06,-3.185517e-05,1.219503e-05,-2.226719e-05,4.339321e-05
1.220000e-11,-5.139229e-06,-5.139576e-06,-3.357864e-05,1.167823e-05,-2.067921e-05,4.164478e-05
1.240000e-11,-5.133469e-06,-5.133762e-06,-3.182822e-05,1.114645e-05,-1.862151e-05,3.836511e-05
1.260000e-11,-5.119945e-06,-5.120123e-06,-2.717914e-05,1.060537e-05,-1.633387e-05,3.346754e-05
