time,"I(RINA)","I(RINB)","I(RINC)","I(LQ|X1)","I(LQ|X2)"
0.000000e+00,-7.969312e-09,-7.969312e-09,-7.969312e-09,1.395510e-05,1.798753e-05
2.000000e-13,-1.004780e-06,-1.004780e-06,-1.004780e-06,1.593179e-05,2.043488e-05
4.000000e-13,-2.021368e-06,-2.021368e-06,-2.021368e-06,1.950954e-05,2.480498e-05
6.000000e-13,-3.035376e-06,-3.035376e-06,-3.035376e-06,2.517933e-05,3.158351e-05
8.000000e-13,-4.052411e-06,-4.052411e-06,-4.052411e-06,3.347740e-05,4.115334e-05
1.000000e-12,-5.074730e-06,-5.074730e-06,-5.074730e-06,4.495643e-05,5.363732e-05
1.200000e-12,-5.120278e-06,-5.120278e-06,-5.120278e-06,5.994316e-05,6.855590e-05
1.400000e-12,-5.160465e-06,-5.160465e-06,-5.160465e-06,7.804735e-05,8.452816e-05
1.600000e-12,-5.221595e-06,-5.221595e-06,-5.221595e-06,9.767905e-05,9.938511e-05
1.800000e-12,-5.302110e-06,-5.302110e-06,-5.302110e-06,1.161304e-04,1.107737e-04
2.000000e-12,-5.400190e-06,-5.400190e-06,-5.400190e-06,1.303696e-04,1.168926e-04
2.200000e-12,-5.504362e-06,-5.504362e-06,-5.504362e-06,1.380377e-04,1.170000e-04
2.400000e-12,-5.587206e-06,-5.587206e-06,-5.587206e-06,1.381459e-04,1.115707e-04
2.600000e-12,-5.607515e-06,-5.607515e-06,-5.607515e-06,1.312914e-04,1.020979e-04
2.800000e-12,-5.529811e-06,-5.529811e-06,-5.529811e-06,1.193788e-04,9.061708e-05
3.000000e-12,-5.349707e-06,-5.349707e-06,-5.349707e-06,1.049662e-04,7.914753e-05
3.200000e-12,-5.100027e-06,-5.100027e-06,-5.100027e-06,9.053486e-05,6.928540e-05
3.400000e-12,-4.836428e-06,-4.836428e-06,-4.836428e-06,7.798775e-05,6.205273e-05
3.600000e-12,-4.616449e-06,-4.616449e-06,-4.616449e-06,6.849545e-05,5.795264e-05
3.800000e-12,-4.479427e-06,-4.479427e-06,-4.479427e-06,6.260258e-05,5.710859e-05
4.000000e-12,-4.434589e-06,-4.434589e-06,-4.434589e-06,6.043630e-05,5.938186e-05
4.200000e-12,-4.464525e-06,-4.464525e-06,-4.464525e-06,6.188771e-05,6.441412e-05
4.400000e-12,-4.539934e-06,-4.539934e-06,-4.539934e-06,6.669603e-05,7.159738e-05
4.600000e-12,-4.634139e-06,-4.634139e-06,-4.634139e-06,7.441472e-05,8.002746e-05
4.800000e-12,-4.730317e-06,-4.730317e-06,-4.730317e-06,8.429425e-05,8.853361e-05
5.000000e-12,-4.821696e-06,-4.821696e-06,-4.821696e-06,9.519300e-05,9.584601e-05
5.200000e-12,-4.908332e-06,-4.908332e-06,-4.908332e-06,1.056520e-04,1.008636e-04
5.400000e-12,-4.993572e-06,-4.993572e-06,-4.993572e-06,1.141652e-04,1.029097e-04
5.600000e-12,-5.081535e-06,-5.081535e-06,-5.081535e-06,1.195318e-04,1.018746e-04
5.800000e-12,-5.175498e-06,-5.175498e-06,-5.175498e-06,1.211348e-04,9.820340e-05
6.000000e-12,-5.276353e-06,-5.276353e-06,-5.276353e-06,1.190473e-04,9.274730e-05
6.200000e-12,-5.380215e-06,-5.380215e-06,-5.380215e-06,1.139485e-04,8.653758e-05
6.400000e-12,-5.474945e-06,-5.474945e-06,-5.474945e-06,1.068985e-04,8.055971e-05
6.600000e-12,-5.537532e-06,-5.537532e-06,-5.537532e-06,9.905973e-05,7.559174e-05
6.800000e-12,-5.537512e-06,-5.537512e-06,-5.537512e-06,9.145865e-05,7.213113e-05
7.000000e-12,-5.451171e-06,-5.451171e-06,-5.451171e-06,8.484732e-05,7.039626e-05
7.200000e-12,-5.279854e-06,-5.279854e-06,-5.279854e-06,7.967479e-05,7.036936e-05
7.400000e-12,-5.055009e-06,-5.055009e-06,-5.055009e-06,7.613649e-05,7.184916e-05
7.600000e-12,-4.825677e-06,-4.825677e-06,-4.825677e-06,7.425481e-05,7.449487e-05
7.800000e-12,-4.639227e-06,-4.639227e-06,-4.639227e-06,7.394806e-05,7.786032e-05
8.000000e-12,-4.524898e-06,-4.524898e-06,-4.524898e-06,7.506229e-05,8.143122e-05
8.200000e-12,-4.486857e-06,-4.486857e-06,-4.486857e-06,7.736496e-05,8.467977e-05
8.400000e-12,-4.509243e-06,-4.509243e-06,-4.509243e-06,8.052313e-05,8.713797e-05
8.600000e-12,-4.568272e-06,-4.568272e-06,-4.568272e-06,8.409887e-05,8.847353e-05
8.800000e-12,-4.643180e-06,-4.643180e-06,-4.643180e-06,8.758417e-05,8.854442e-05
9.000000e-12,-4.721269e-06,-4.721269e-06,-4.721269e-06,9.047390e-05,8.741388e-05
9.200000e-12,-4.797346e-06,-4.797346e-06,-4.797346e-06,9.235404e-05,8.532175e-05
9.400000e-12,-4.870504e-06,-4.870504e-06,-4.870504e-06,9.297424e-05,8.262188e-05
9.600000e-12,-4.941117e-06,-4.941117e-06,-4.941117e-06,9.228139e-05,7.970443e-05
9.800000e-12,-5.009341e-06,-5.009341e-06,-5.009341e-06,9.040655e-05,7.692418e-05
1.000000e-11,-5.074780e-06,-5.074780e-06,-5.074780e-06,8.761405e-05,7.455052e-05
1.020000e-11,-5.136395e-06,-5.136395e-06,-5.136395e-06,8.423283e-05,7.274559e-05
1.040000e-11,-5.192209e-06,-5.192209e-06,-5.192209e-06,8.059131e-05,7.156742e-05
1.060000e-11,-5.239113e-06,-5.239113e-06,-5.239113e-06,7.697089e-05,7.098875e-05
1.080000e-11,-5.273402e-06,-5.273402e-06,-5.273402e-06,7.358269e-05,7.092093e-05
1.100000e-11,-5.291974e-06,-5.291974e-06,-5.291974e-06,7.056280e-05,7.123521e-05
1.120000e-11,-5.293050e-06,-5.293050e-06,-5.293050e-06,6.797725e-05,7.177867e-05
1.140000e-11,-5.275566e-06,-5.275566e-06,-5.275566e-06,6.582906e-05,7.238659e-05
1.160000e-11,-5.238295e-06,-5.238295e-06,-5.238295e-06,6.406435e-05,7.289456e-05
1.180000e-11,-5.180567e-06,-5.180567e-06,-5.180567e-06,6.257937e-05,7.315217e-05
1.200000e-11,-5.104472e-06,-5.104472e-06,-5.104472e-06,6.123232e-05,7.303771e-05
1.220000e-11,-5.016305e-06,-5.016305e-06,-5.016305e-06,5.986248e-05,7.247021e-05
1.240000e-11,-4.925699e-06,-4.925699e-06,-4.925699e-06,5.831518e-05,7.141539e-05
1.260000e-11,-4.843013e-06,-4.843013e-06,-4.843013e-06,5.646771e-05,6.988288e-05
1.280000e-11,-4.776438e-06,-4.776438e-06,-4.776438e-06,5.424992e-05,6.791523e-05
1.300000e-11,-4.729981e-06,-4.729981e-06,-4.729981e-06,5.165476e-05,6.557193e-05
1.320000e-11,-4.703016e-06,-4.703016e-06,-4.703016e-06,4.873782e-05,6.291282e-05
1.340000e-11,-4.691570e-06,-4.691570e-06,-4.691570e-06,4.560789e-05,5.998546e-05
1.360000e-11,-4.690817e-06,-4.690817e-06,-4.690817e-06,4.241186e-05,5.681858e-05
1.380000e-11,-4.697498e-06,-4.697498e-06,-4.697498e-06,3.931702e-05,5.342184e-05
1.400000e-11,-4.710957e-06,-4.710957e-06,-4.710957e-06,3.649177e-05,4.978981e-05
1.420000e-11,-4.732185e-06,-4.732185e-06,-4.732185e-06,3.408446e-05,4.590773e-05
1.440000e-11,-4.761714e-06,-4.761714e-06,-4.761714e-06,3.220009e-05,4.175735e-05
1.460000e-11,-4.798124e-06,-4.798124e-06,-4.798124e-06,3.087595e-05,3.732267e-05
1.480000e-11,-4.838225e-06,-4.838225e-06,-4.838225e-06,3.005890e-05,3.259692e-05
1.500000e-11,-4.878434e-06,-4.878434e-06,-4.878434e-06,2.958914e-05,2.759185e-05
1.520000e-11,-4.916056e-06,-4.916056e-06,-4.916056e-06,2.919660e-05,2.234907e-05
1.540000e-11,-4.949681e-06,-4.949681e-06,-4.949681e-06,2.851626e-05,1.695016e-05
1.560000e-11,-4.978754e-06,-4.978754e-06,-4.978754e-06,2.712758e-05,1.152011e-05
1.580000e-11,-5.002928e-06,-5.002928e-06,-5.002928e-06,2.461832e-05,6.219277e-06
1.600000e-11,-5.021755e-06,-5.021755e-06,-5.021755e-06,2.066635e-05,1.223434e-06
1.620000e-11,-5.034868e-06,-5.034868e-06,-5.034868e-06,1.512491e-05,-3.302267e-06
1.640000e-11,-5.042397e-06,-5.042397e-06,-5.042397e-06,8.090198e-06,-7.226216e-06
1.660000e-11,-5.045225e-06,-5.045225e-06,-5.045225e-06,-7.193795e-08,-1.046280e-05
1.680000e-11,-5.044889e-06,-5.044889e-06,-5.044889e-06,-8.756762e-06,-1.297267e-05
1.700000e-11,-5.043187e-06,-5.043187e-06,-5.043187e-06,-1.720754e-05,-1.475446e-05
1.720000e-11,-5.041707e-06,-5.041707e-06,-5.041707e-06,-2.463320e-05,-1.583304e-05
1.740000e-11,-5.041470e-06,-5.041470e-06,-5.041470e-06,-3.031937e-05,-1.624850e-05
1.760000e-11,-5.042774e-06,-5.042774e-06,-5.042774e-06,-3.370545e-05,-1.604723e-05
1.780000e-11,-5.045261e-06,-5.045261e-06,-5.045261e-06,-3.442543e-05,-1.527504e-05
1.800000e-11,-5.048108e-06,-5.048108e-06,-5.048108e-06,-3.232971e-05,-1.397280e-05
1.820000e-11,-5.050276e-06,-5.050276e-06,-5.050276e-06,-2.750968e-05,-1.217555e-05
1.840000e-11,-5.050701e-06,-5.050701e-06,-5.050701e-06,-2.033081e-05,-9.916913e-06
1.860000e-11,-5.048440e-06,-5.048440e-06,-5.048440e-06,-1.145191e-05,-7.239568e-06
1.880000e-11,-5.042799e-06,-5.042799e-06,-5.042799e-06,-1.786264e-06,-4.209538e-06
1.900000e-11,-5.033483e-06,-5.033483e-06,-5.033483e-06,7.624213e-06,-9.295839e-07
1.920000e-11,-5.020736e-06,-5.020736e-06,-5.020736e-06,1.579549e-05,2.453663e-06
1.940000e-11,-5.005407e-06,-5.005407e-06,-5.005407e-06,2.197353e-05,5.752119e-06
1.960000e-11,-4.988865e-06,-4.988865e-06,-4.988865e-06,2.572498e-05,8.748167e-06
1.980000e-11,-4.972786e-06,-4.972786e-06,-4.972786e-06,2.693374e-05,1.121326e-05
2.000000e-11,-4.958909e-06,-4.958909e-06,-4.958909e-06,2.574133e-05,1.292959e-05
2.020000e-11,-4.948746e-06,-4.948746e-06,-4.948746e-06,2.247847e-05,1.371245e-05
2.040000e-11,-4.943576e-06,-4.943576e-06,-4.943576e-06,1.762835e-05,1.344081e-05
