time,"I(LQ|XBFR1)","I(LQ|XCONST1)","I(LQ|XBFR2)","I(LQ|XCONST2)","I(LQ|XBFR3)","I(LQ|X1)","I(LQ|X2)"
0.000000e+00,9.504992e-06,1.268670e-05,9.504992e-06,1.268670e-05,9.504992e-06,1.362593e-05,1.762123e-05
2.000000e-13,1.086110e-05,1.441826e-05,1.086110e-05,1.441826e-05,1.086110e-05,1.555389e-05,2.002371e-05
4.000000e-13,1.332196e-05,1.754068e-05,1.332196e-05,1.754068e-05,1.332196e-05,1.904164e-05,2.431683e-05
6.000000e-13,1.724040e-05,2.248529e-05,1.724040e-05,2.248529e-05,1.724040e-05,2.456871e-05,3.098381e-05
8.000000e-13,2.302896e-05,2.969075e-05,2.302896e-05,2.969075e-05,2.302896e-05,3.266363e-05,4.041503e-05
1.000000e-12,3.118452e-05,3.955220e-05,3.118452e-05,3.955220e-05,3.118452e-05,4.388435e-05,5.275859e-05
1.200000e-12,4.220876e-05,5.219158e-05,4.220876e-05,5.219158e-05,4.220876e-05,5.859421e-05,6.758259e-05
1.400000e-12,5.635356e-05,6.707678e-05,5.635356e-05,6.707678e-05,5.635356e-05,7.648534e-05,8.356238e-05
1.600000e-12,7.316636e-05,8.272241e-05,7.316636e-05,8.272241e-05,7.316636e-05,9.607286e-05,9.856234e-05
1.800000e-12,9.109046e-05,9.684836e-05,9.109046e-05,9.684836e-05,9.109046e-05,1.147147e-04,1.102191e-04
2.000000e-12,1.076057e-04,1.070515e-04,1.076057e-04,1.070515e-04,1.076057e-04,1.293635e-04,1.166821e-04
2.200000e-12,1.199823e-04,1.115865e-04,1.199823e-04,1.115865e-04,1.199823e-04,1.375715e-04,1.171412e-04
2.400000e-12,1.261714e-04,1.098798e-04,1.261714e-04,1.098798e-04,1.261714e-04,1.382240e-04,1.120031e-04
2.600000e-12,1.254062e-04,1.026429e-04,1.254062e-04,1.026429e-04,1.254062e-04,1.317965e-04,1.027136e-04
2.800000e-12,1.183696e-04,9.158361e-05,1.183696e-04,9.158361e-05,1.183696e-04,1.201136e-04,9.129248e-05
3.000000e-12,1.069072e-04,7.883449e-05,1.069072e-04,7.883449e-05,1.069072e-04,1.057139e-04,7.977280e-05
3.200000e-12,9.340616e-05,6.636436e-05,9.340616e-05,6.636436e-05,9.340616e-05,9.111085e-05,6.978037e-05
3.400000e-12,8.012456e-05,5.561447e-05,8.012456e-05,5.561447e-05,8.012456e-05,7.826737e-05,6.236830e-05
3.600000e-12,6.875710e-05,4.742619e-05,6.875710e-05,4.742619e-05,6.875710e-05,6.841710e-05,5.806385e-05
3.800000e-12,6.032401e-05,4.216714e-05,6.032401e-05,4.216714e-05,6.032401e-05,6.215969e-05,5.700705e-05
