time,"I(LQ|X1)","I(LQ|X2)"
0.000000e+00,3.891160e-06,2.226213e-06
2.000000e-13,4.439792e-06,2.538310e-06
4.000000e-13,5.438914e-06,3.105856e-06
6.000000e-13,7.037168e-06,4.013659e-06
8.000000e-13,9.419197e-06,5.368026e-06
1.000000e-12,1.283549e-05,7.316266e-06
1.200000e-12,1.762101e-05,1.006278e-05
1.400000e-12,2.420081e-05,1.388488e-05
1.600000e-12,3.306529e-05,1.914765e-05
1.800000e-12,4.467239e-05,2.631051e-05
2.000000e-12,5.920799e-05,3.590426e-05
2.200000e-12,7.617152e-05,4.843617e-05
2.400000e-12,9.396953e-05,6.416545e-05
2.600000e-12,1.099804e-04,8.272531e-05
2.800000e-12,1.213378e-04,1.027165e-04
3.000000e-12,1.259926e-04,1.216237e-04
3.200000e-12,1.234124e-04,1.363606e-04
3.400000e-12,1.146675e-04,1.442557e-04
3.600000e-12,1.019838e-04,1.439483e-04
3.800000e-12,8.798528e-05,1.357893e-04
4.000000e-12,7.495478e-05,1.216142e-04
4.200000e-12,6.441044e-05,1.040351e-04
4.400000e-12,5.706952e-05,8.561657e-05
4.600000e-12,5.305649e-05,6.830159e-05
4.800000e-12,5.216497e-05,5.322906e-05
5.000000e-12,5.405697e-05,4.085979e-05
5.200000e-12,5.837008e-05,3.123499e-05
5.400000e-12,6.474532e-05,2.422243e-05
5.600000e-12,7.279244e-05,1.968038e-05
5.800000e-12,8.200760e-05,1.753316e-05
6.000000e-12,9.167833e-05,1.778581e-05
6.200000e-12,1.008426e-04,2.050845e-05
6.400000e-12,1.083679e-04,2.580640e-05
6.600000e-12,1.131572e-04,3.377204e-05
6.800000e-12,1.144156e-04,4.440370e-05
7.000000e-12,1.118744e-04,5.748656e-05
7.200000e-12,1.058926e-04,7.245688e-05
7.400000e-12,9.740630e-05,8.828990e-05
7.600000e-12,8.774602e-05,1.034650e-04
7.800000e-12,7.836845e-05,1.161094e-04
8.000000e-12,7.055438e-05,1.243982e-04
8.200000e-12,6.515333e-05,1.270817e-04
8.400000e-12,6.245673e-05,1.238569e-04
8.600000e-12,6.223156e-05,1.153944e-04
8.800000e-12,6.387958e-05,1.030403e-04
9.000000e-12,6.664590e-05,8.837202e-05
9.200000e-12,6.980113e-05,7.280634e-05
9.400000e-12,7.275181e-05,5.738377e-05
9.600000e-12,7.507269e-05,4.274734e-05
9.800000e-12,7.648185e-05,2.925879e-05
1.000000e-11,7.679240e-05,1.715849e-05
1.020000e-11,7.587286e-05,6.678694e-06
1.040000e-11,7.363308e-05,-1.936377e-06
1.060000e-11,7.003154e-05,-8.482683e-06
1.080000e-11,6.508639e-05,-1.285948e-05
1.100000e-11,5.887620e-05,-1.509428e-05
1.120000e-11,5.153020e-05,-1.532386e-05
1.140000e-11,4.322027e-05,-1.375907e-05
1.160000e-11,3.416732e-05,-1.066613e-05
1.180000e-11,2.466356e-05,-6.377978e-06
1.200000e-11,1.509351e-05,-1.318343e-06
1.220000e-11,5.925896e-06,3.998077e-06
1.240000e-11,-2.339687e-06,9.013986e-06
1.260000e-11,-9.257935e-06,1.321164e-05
1.280000e-11,-1.451751e-05,1.618625e-05
1.300000e-11,-1.798255e-05,1.767767e-05
1.320000e-11,-1.968903e-05,1.756152e-05
1.340000e-11,-1.981369e-05,1.582779e-05
1.360000e-11,-1.864003e-05,1.257690e-05
1.380000e-11,-1.653264e-05,8.041373e-06
1.400000e-11,-1.391255e-05,2.609467e-06
1.420000e-11,-1.121760e-05,-3.188483e-06
1.440000e-11,-8.842852e-06,-8.749966e-06
1.460000e-11,-7.075123e-06,-1.350255e-05
1.480000e-11,-6.044321e-06,-1.699074e-05
1.500000e-11,-5.706759e-06,-1.891546e-05
1.520000e-11,-5.861502e-06,-1.913090e-05
1.540000e-11,-6.192198e-06,-1.762866e-05
1.560000e-11,-6.325972e-06,-1.453689e-05
1.580000e-11,-5.902495e-06,-1.013702e-05
1.600000e-11,-4.645894e-06,-4.871294e-06
1.620000e-11,-2.429151e-06,6.913850e-07
1.640000e-11,6.825856e-07,5.937705e-06
1.660000e-11,4.423012e-06,1.031074e-05
1.680000e-11,8.356511e-06,1.338812e-05
1.700000e-11,1.194613e-05,1.491689e-05
1.720000e-11,1.464262e-05,1.481427e-05
1.740000e-11,1.597564e-05,1.315791e-05
1.760000e-11,1.563273e-05,1.018024e-05
1.780000e-11,1.352036e-05,6.259535e-06
1.800000e-11,9.804369e-06,1.888379e-06
1.820000e-11,4.919886e-06,-2.390102e-06
1.840000e-11,-4.685179e-07,-6.064327e-06
