time,"I(RX1)","I(RX2)","I(RIN1)","I(RIN2)","I(LTEST)","I(LQ|X1)","I(LQ|X2)"
0.000000e+00,3.350529e-10,1.177740e-12,-4.208180e-08,-4.208180e-08,-3.178054e-08,2.488263e-05,2.940957e-05
2.000000e-13,-9.232419e-08,4.292383e-08,-1.089774e-06,-1.089774e-06,8.620119e-08,2.813113e-05,3.284489e-05
4.000000e-13,-1.597660e-07,6.863650e-08,-2.170659e-06,-2.170659e-06,3.495829e-07,3.383084e-05,3.870347e-05
6.000000e-13,-1.977150e-07,8.078974e-08,-3.261852e-06,-3.261852e-06,8.687420e-07,4.241644e-05,4.718899e-05
8.000000e-13,-2.227286e-07,8.797623e-08,-4.368974e-06,-4.368974e-06,1.811750e-06,5.393943e-05,5.797795e-05
1.000000e-12,-2.318412e-07,8.898668e-08,-5.486733e-06,-5.486733e-06,3.369964e-06,6.780213e-05,7.008967e-05
1.200000e-12,-2.137056e-07,8.042744e-08,-5.610706e-06,-5.610706e-06,5.647430e-06,8.255019e-05,8.194381e-05
1.400000e-12,-1.670034e-07,6.383269e-08,-5.671333e-06,-5.671333e-06,8.538843e-06,9.607830e-05,9.173082e-05
1.600000e-12,-1.111043e-07,4.811473e-08,-5.649886e-06,-5.649886e-06,1.170110e-05,1.062195e-04,9.790823e-05
1.800000e-12,-7.843133e-08,4.335214e-08,-5.521814e-06,-5.521814e-06,1.463642e-05,1.113643e-04,9.958551e-05
2.000000e-12,-8.954348e-08,5.231039e-08,-5.301655e-06,-5.301655e-06,1.683230e-05,1.108602e-04,9.671096e-05
2.200000e-12,-1.372812e-07,6.894381e-08,-5.031372e-06,-5.031372e-06,1.790258e-05,1.051393e-04,9.005695e-05
2.400000e-12,-1.935356e-07,8.317685e-08,-4.764763e-06,-4.764763e-06,1.769458e-05,9.556323e-05,8.099803e-05
2.600000e-12,-2.295336e-07,8.786106e-08,-4.553064e-06,-4.553064e-06,1.632420e-05,8.400989e-05,7.113480e-05
2.800000e-12,-2.347944e-07,8.348208e-08,-4.430154e-06,-4.430154e-06,1.411531e-05,7.236153e-05,6.191756e-05
3.000000e-12,-2.212372e-07,7.655194e-08,-4.402225e-06,-4.402225e-06,1.147511e-05,6.211817e-05,5.441817e-05
3.200000e-12,-2.104072e-07,7.376248e-08,-4.450746e-06,-4.450746e-06,8.773220e-06,5.425167e-05,4.928725e-05
3.400000e-12,-2.169663e-07,7.755010e-08,-4.546263e-06,-4.546263e-06,6.275429e-06,4.926270e-05,4.683262e-05
3.600000e-12,-2.408406e-07,8.551157e-08,-4.662179e-06,-4.662179e-06,4.140531e-06,4.732782e-05,4.712534e-05
3.800000e-12,-2.697089e-07,9.263076e-08,-4.781639e-06,-4.781639e-06,2.459060e-06,4.843321e-05,5.006274e-05
4.000000e-12,-2.870136e-07,9.438383e-08,-4.897786e-06,-4.897786e-06,1.305125e-06,5.243303e-05,5.535831e-05
4.200000e-12,-2.804690e-07,8.904011e-08,-5.010750e-06,-5.010750e-06,7.742918e-07,5.900973e-05,6.247386e-05
4.400000e-12,-2.478235e-07,7.777597e-08,-5.123985e-06,-5.123985e-06,9.805019e-07,6.755964e-05,7.056191e-05
4.600000e-12,-1.973000e-07,6.254135e-08,-5.240721e-06,-5.240721e-06,1.998308e-06,7.709680e-05,7.851137e-05
4.800000e-12,-1.414732e-07,4.486274e-08,-5.359964e-06,-5.359964e-06,3.783035e-06,8.630603e-05,8.513405e-05
5.000000e-12,-8.987806e-08,2.857347e-08,-5.471544e-06,-5.471544e-06,6.136474e-06,9.378947e-05,8.942525e-05
5.200000e-12,-4.886101e-08,2.143515e-08,-5.552358e-06,-5.552358e-06,8.745233e-06,9.840192e-05,9.078863e-05
5.400000e-12,-2.595933e-08,2.993293e-08,-5.570353e-06,-5.570353e-06,1.125723e-05,9.952558e-05,8.915336e-05
5.600000e-12,-2.857492e-08,5.265466e-08,-5.500597e-06,-5.500597e-06,1.335489e-05,9.719472e-05,8.496275e-05
5.800000e-12,-5.723937e-08,7.932842e-08,-5.342534e-06,-5.342534e-06,1.480750e-05,9.204925e-05,7.904527e-05
6.000000e-12,-1.024929e-07,9.618635e-08,-5.122615e-06,-5.122615e-06,1.549648e-05,8.514175e-05,7.240796e-05
6.200000e-12,-1.483914e-07,9.490713e-08,-4.883927e-06,-4.883927e-06,1.541001e-05,7.766619e-05,6.602112e-05
6.400000e-12,-1.809491e-07,7.880927e-08,-4.672838e-06,-4.672838e-06,1.461555e-05,7.070435e-05,6.066216e-05
6.600000e-12,-1.971059e-07,6.024790e-08,-4.526190e-06,-4.526190e-06,1.322936e-05,6.506538e-05,5.684925e-05
6.800000e-12,-2.060068e-07,5.177013e-08,-4.460628e-06,-4.460628e-06,1.139930e-05,6.123703e-05,5.485031e-05
7.000000e-12,-2.212458e-07,5.895245e-08,-4.469672e-06,-4.469672e-06,9.302036e-06,5.941846e-05,5.472933e-05
7.200000e-12,-2.517285e-07,7.893888e-08,-4.531304e-06,-4.531304e-06,7.144739e-06,5.958751e-05,5.639197e-05
7.400000e-12,-2.965121e-07,1.033733e-07,-4.620209e-06,-4.620209e-06,5.160016e-06,6.156244e-05,5.960697e-05
7.600000e-12,-3.445002e-07,1.228239e-07,-4.716951e-06,-4.716951e-06,3.588289e-06,6.503585e-05,6.400138e-05
7.800000e-12,-3.791827e-07,1.303676e-07,-4.811180e-06,-4.811180e-06,2.643738e-06,6.957946e-05,6.905199e-05
8.000000e-12,-3.866457e-07,1.230683e-07,-4.900304e-06,-4.900304e-06,2.461947e-06,7.464233e-05,7.410978e-05
8.200000e-12,-3.619269e-07,1.017831e-07,-4.986338e-06,-4.986338e-06,3.042290e-06,7.957780e-05,7.848041e-05
8.400000e-12,-3.098475e-07,7.094656e-08,-5.072922e-06,-5.072922e-06,4.218531e-06,8.371976e-05,8.154637e-05
8.600000e-12,-2.414073e-07,3.863843e-08,-5.163101e-06,-5.163101e-06,5.685678e-06,8.649385e-05,8.288820e-05
8.800000e-12,-1.691335e-07,1.505004e-08,-5.257426e-06,-5.257426e-06,7.076441e-06,8.752335e-05,8.236337e-05
9.000000e-12,-1.032506e-07,8.464601e-09,-5.351810e-06,-5.351810e-06,8.053477e-06,8.669310e-05,8.012213e-05
9.200000e-12,-5.004679e-08,2.074012e-08,-5.435364e-06,-5.435364e-06,8.385360e-06,8.415433e-05,7.655967e-05
9.400000e-12,-1.412112e-08,4.524589e-08,-5.489864e-06,-5.489864e-06,7.989383e-06,8.027376e-05,7.222035e-05
9.600000e-12,-2.551915e-09,6.926046e-08,-5.493395e-06,-5.493395e-06,6.934628e-06,7.554335e-05,6.768163e-05
9.800000e-12,-2.343503e-08,8.052146e-08,-5.429293e-06,-5.429293e-06,5.406545e-06,7.047731e-05,6.345141e-05
1.000000e-11,-7.586859e-08,7.424153e-08,-5.296558e-06,-5.296558e-06,3.646468e-06,6.552543e-05,5.990423e-05
1.020000e-11,-1.426663e-07,5.577957e-08,-5.113770e-06,-5.113770e-06,1.888743e-06,6.102417e-05,5.726370e-05
1.040000e-11,-1.975469e-07,3.735695e-08,-4.913453e-06,-4.913453e-06,3.157488e-07,5.719057e-05,5.562140e-05
1.060000e-11,-2.227681e-07,3.136608e-08,-4.731480e-06,-4.731480e-06,-9.600782e-07,5.414864e-05,5.497283e-05
1.080000e-11,-2.224180e-07,4.422212e-08,-4.596404e-06,-4.596404e-06,-1.889645e-06,5.196919e-05,5.525114e-05
1.100000e-11,-2.196325e-07,7.356684e-08,-4.521725e-06,-4.521725e-06,-2.465709e-06,5.070440e-05,5.634674e-05
1.120000e-11,-2.393041e-07,1.097045e-07,-4.503900e-06,-4.503900e-06,-2.698267e-06,5.040439e-05,5.811148e-05
