time,"I(LIN|XBFR1)","I(LQ|XBFR1)","I(LIN|XBFR2)","I(LQ|XBFR2)","I(LIN|XBFR3)","I(LQ|XBFR3)","I(LIN|XBFR4)","I(LQ|XBFR4)"
0.000000e+00,-2.547739e-09,1.067716e-06,1.275422e-07,1.222607e-06,2.291205e-07,1.104256e-06,2.795047e-07,7.390571e-07
2.000000e-13,-9.888034e-07,1.038543e-06,8.710865e-08,1.375770e-06,2.558941e-07,1.252322e-06,3.173445e-07,8.384635e-07
4.000000e-13,-1.995202e-06,1.010075e-06,2.276758e-08,1.648855e-06,3.031909e-07,1.519430e-06,3.852925e-07,1.018346e-06
6.000000e-13,-2.995360e-06,9.280812e-07,-9.045226e-08,2.070058e-06,3.743331e-07,1.942325e-06,4.924092e-07,1.304402e-06
8.000000e-13,-3.994023e-06,7.244708e-07,-2.828154e-07,2.668354e-06,4.714889e-07,2.565423e-06,6.496709e-07,1.728296e-06
1.000000e-12,-4.991560e-06,3.280390e-07,-5.875797e-07,3.479539e-06,5.964048e-07,3.448681e-06,8.718000e-07,2.333524e-06
1.200000e-12,-5.005775e-06,-1.625131e-07,-9.837363e-07,4.559491e-06,7.537255e-07,4.674650e-06,1.178964e-06,3.180669e-06
1.400000e-12,-4.999927e-06,-8.811745e-07,-1.533013e-06,5.969723e-06,9.448109e-07,6.354930e-06,1.598170e-06,4.353527e-06
1.600000e-12,-5.000871e-06,-1.817609e-06,-2.253847e-06,7.799836e-06,1.173688e-06,8.640021e-06,2.165554e-06,5.967175e-06
1.800000e-12,-5.004689e-06,-2.943109e-06,-3.165608e-06,1.016870e-05,1.445487e-06,1.172975e-05,2.928569e-06,8.178272e-06
2.000000e-12,-5.012174e-06,-4.210985e-06,-4.290495e-06,1.323183e-05,1.766901e-06,1.588379e-05,3.947912e-06,1.119749e-05
2.200000e-12,-5.024815e-06,-5.543850e-06,-5.650532e-06,1.718749e-05,2.146843e-06,2.142735e-05,5.297643e-06,1.530307e-05
2.400000e-12,-5.044641e-06,-6.811823e-06,-7.259797e-06,2.227690e-05,2.597325e-06,2.874160e-05,7.060277e-06,2.085246e-05
2.600000e-12,-5.074320e-06,-7.796927e-06,-9.108009e-06,2.877032e-05,3.135038e-06,3.821806e-05,9.310708e-06,2.828529e-05
2.800000e-12,-5.117172e-06,-8.137245e-06,-1.112947e-05,3.692586e-05,3.784419e-06,5.014400e-05,1.207947e-05,3.810307e-05
3.000000e-12,-5.176985e-06,-7.245587e-06,-1.315072e-05,4.690193e-05,4.582031e-06,6.448352e-05,1.528712e-05,5.079781e-05
3.200000e-12,-5.257377e-06,-4.213214e-06,-1.481858e-05,5.860946e-05,5.577174e-06,8.057068e-05,1.866126e-05,6.668522e-05
3.400000e-12,-5.360127e-06,2.238297e-06,-1.554194e-05,7.153132e-05,6.816019e-06,9.688367e-05,2.169987e-05,8.560363e-05
3.600000e-12,-5.481265e-06,1.360134e-05,-1.453370e-05,8.462691e-05,8.303193e-06,1.112115e-04,2.378156e-05,1.065263e-04
3.800000e-12,-5.603551e-06,3.101776e-05,-1.105462e-05,9.647564e-05,9.966942e-06,1.213234e-04,2.442794e-05,1.273273e-04
4.000000e-12,-5.688447e-06,5.428026e-05,-4.854731e-06,1.056548e-04,1.166221e-05,1.257740e-04,2.354540e-05,1.450432e-04
4.200000e-12,-5.682762e-06,8.093105e-05,3.421527e-06,1.111513e-04,1.320783e-05,1.243696e-04,2.147396e-05,1.566908e-04
4.400000e-12,-5.551295e-06,1.064412e-04,1.224576e-05,1.126227e-04,1.443498e-05,1.181339e-04,1.884189e-05,1.602483e-04
4.600000e-12,-5.306114e-06,1.256867e-04,1.971803e-05,1.104376e-04,1.523011e-05,1.088916e-04,1.633328e-05,1.553071e-04
4.800000e-12,-5.001325e-06,1.347643e-04,2.424298e-05,1.055131e-04,1.555875e-05,9.868762e-05,1.448086e-05,1.431248e-04
5.000000e-12,-4.708597e-06,1.322320e-04,2.503111e-05,9.902721e-05,1.546338e-05,8.927938e-05,1.356154e-05,1.261097e-04
5.200000e-12,-4.491466e-06,1.193886e-04,2.226361e-05,9.212422e-05,1.503829e-05,8.186160e-05,1.361027e-05,1.070223e-04
5.400000e-12,-4.383302e-06,9.954593e-05,1.688542e-05,8.569709e-05,1.439230e-05,7.703401e-05,1.450455e-05,8.827561e-05
5.600000e-12,-4.379275e-06,7.668735e-05,1.015798e-05,8.028686e-05,1.361484e-05,7.491564e-05,1.605317e-05,7.157243e-05
5.800000e-12,-4.448463e-06,5.424256e-05,3.228334e-06,7.609422e-05,1.275905e-05,7.529637e-05,1.805056e-05,5.788961e-05
6.000000e-12,-4.554628e-06,3.448574e-05,-3.100052e-06,7.306926e-05,1.184604e-05,7.776187e-05,2.029394e-05,4.766780e-05
6.200000e-12,-4.670853e-06,1.856362e-05,-8.382327e-06,7.103102e-05,1.088374e-05,8.177292e-05,2.257868e-05,4.104598e-05
6.400000e-12,-4.783412e-06,6.855088e-06,-1.242850e-05,6.977436e-05,9.889523e-06,8.670545e-05,2.468749e-05,3.804170e-05
6.600000e-12,-4.888600e-06,-6.361562e-07,-1.518066e-05,6.913971e-05,8.906962e-06,9.186982e-05,2.638382e-05,3.864797e-05
6.800000e-12,-4.987892e-06,-4.006641e-06,-1.662387e-05,6.904065e-05,8.010447e-06,9.653732e-05,2.741790e-05,4.285612e-05
7.000000e-12,-5.084424e-06,-3.313412e-06,-1.673956e-05,6.945734e-05,7.295853e-06,1.000027e-04,2.755352e-05,5.061718e-05
7.200000e-12,-5.181024e-06,1.463850e-06,-1.549281e-05,7.041117e-05,6.860493e-06,1.016960e-04,2.661992e-05,6.174375e-05
