time,"I(LOUT1)","I(LOUT2)","I(RIN)"
0.000000e+00,0.000000e+00,0.000000e+00,-0.000000e+00
2.500000e-13,-3.381223e-08,-3.381223e-08,-1.234010e-06
5.000000e-13,-8.781245e-08,-8.781245e-08,-2.485004e-06
7.500000e-13,-1.666827e-07,-1.666827e-07,-3.731269e-06
1.000000e-12,-2.681854e-07,-2.681854e-07,-4.978247e-06
1.250000e-12,-3.495945e-07,-3.495945e-07,-4.993062e-06
1.500000e-12,-4.121400e-07,-4.121400e-07,-4.992716e-06
1.750000e-12,-4.394282e-07,-4.394282e-07,-4.998704e-06
2.000000e-12,-4.264590e-07,-4.264590e-07,-5.004694e-06
2.250000e-12,-3.812614e-07,-3.812614e-07,-5.008651e-06
2.500000e-12,-3.212888e-07,-3.212888e-07,-5.009514e-06
2.750000e-12,-2.670777e-07,-2.670777e-07,-5.007290e-06
3.000000e-12,-2.354820e-07,-2.354820e-07,-5.002960e-06
3.250000e-12,-2.346957e-07,-2.346957e-07,-4.998081e-06
3.500000e-12,-2.624706e-07,-2.624706e-07,-4.994238e-06
3.750000e-12,-3.077933e-07,-3.077933e-07,-4.992542e-06
4.000000e-12,-3.551605e-07,-3.551605e-07,-4.993327e-06
4.250000e-12,-3.898494e-07,-3.898494e-07,-4.996119e-06
4.500000e-12,-4.024311e-07,-4.024311e-07,-4.999865e-06
4.750000e-12,-3.912062e-07,-3.912062e-07,-5.003315e-06
5.000000e-12,-3.620193e-07,-3.620193e-07,-5.005425e-06
5.250000e-12,-3.257658e-07,-3.257658e-07,-5.005662e-06
5.500000e-12,-2.945748e-07,-2.945748e-07,-5.004115e-06
5.750000e-12,-2.779702e-07,-2.779702e-07,-5.001416e-06
6.000000e-12,-2.801929e-07,-2.801929e-07,-4.998487e-06
6.250000e-12,-2.993911e-07,-2.993911e-07,-4.996239e-06
6.500000e-12,-3.287401e-07,-3.287401e-07,-4.995290e-06
6.750000e-12,-3.589619e-07,-3.589619e-07,-4.995809e-06
7.000000e-12,-3.813454e-07,-3.813454e-07,-4.997507e-06
7.250000e-12,-3.903082e-07,-3.903082e-07,-4.999771e-06
7.500000e-12,-3.847760e-07,-3.847760e-07,-5.001874e-06
8.000000e-12,-3.466026e-07,-3.466026e-07,-5.003437e-06
8.250000e-12,-3.275646e-07,-3.275646e-07,-5.002595e-06
8.500000e-12,-3.169065e-07,-3.169065e-07,-5.001012e-06
8.750000e-12,-3.176549e-07,-3.176549e-07,-4.999206e-06
9.000000e-12,-3.293246e-07,-3.293246e-07,-4.997711e-06
9.250000e-12,-3.483774e-07,-3.483774e-07,-4.996923e-06
9.500000e-12,-3.695036e-07,-3.695036e-07,-4.996999e-06
9.750000e-12,-3.872802e-07,-3.872802e-07,-4.997843e-06
1.000000e-11,-3.976997e-07,-3.976997e-07,-4.999149e-06
1.025000e-11,-3.991576e-07,-3.991576e-07,-5.000514e-06
1.050000e-11,-3.926819e-07,-3.926819e-07,-5.001554e-06
1.075000e-11,-3.814187e-07,-3.814187e-07,-5.002006e-06
1.100000e-11,-3.695906e-07,-3.695906e-07,-5.001794e-06
1.125000e-11,-3.612662e-07,-3.612662e-07,-5.001022e-06
1.150000e-11,-3.592899e-07,-3.592899e-07,-4.999937e-06
1.175000e-11,-3.646405e-07,-3.646405e-07,-4.998844e-06
1.200000e-11,-3.763426e-07,-3.763426e-07,-4.998023e-06
1.225000e-11,-3.918955e-07,-3.918955e-07,-4.997657e-06
1.250000e-11,-4.080525e-07,-4.080525e-07,-4.997797e-06
1.275000e-11,-4.217129e-07,-4.217129e-07,-4.998360e-06
1.300000e-11,-4.306902e-07,-4.306902e-07,-4.999167e-06
1.325000e-11,-4.341752e-07,-4.341752e-07,-4.999991e-06
1.350000e-11,-4.328149e-07,-4.328149e-07,-5.000625e-06
1.375000e-11,-4.284293e-07,-4.284293e-07,-5.000922e-06
1.400000e-11,-4.234754e-07,-4.234754e-07,-5.000832e-06
1.425000e-11,-4.204132e-07,-4.204132e-07,-5.000397e-06
1.450000e-11,-4.211358e-07,-4.211358e-07,-4.999737e-06
1.475000e-11,-4.265882e-07,-4.265882e-07,-4.999010e-06
1.500000e-11,-4.366416e-07,-4.366416e-07,-4.998375e-06
1.525000e-11,-4.502228e-07,-4.502228e-07,-4.997956e-06
1.550000e-11,-4.656398e-07,-4.656398e-07,-4.997816e-06
1.575000e-11,-4.810096e-07,-4.810096e-07,-4.997953e-06
1.600000e-11,-4.946823e-07,-4.946823e-07,-4.998304e-06
1.625000e-11,-5.055714e-07,-5.055714e-07,-4.998769e-06
1.650000e-11,-5.133318e-07,-5.133318e-07,-4.999231e-06
1.675000e-11,-5.183676e-07,-5.183676e-07,-4.999584e-06
1.700000e-11,-5.216883e-07,-5.216883e-07,-4.999754e-06
1.725000e-11,-5.246638e-07,-5.246638e-07,-4.999708e-06
1.750000e-11,-5.287363e-07,-5.287363e-07,-4.999455e-06
1.775000e-11,-5.351538e-07,-5.351538e-07,-4.999040e-06
1.800000e-11,-5.447701e-07,-5.447701e-07,-4.998534e-06
1.825000e-11,-5.579428e-07,-5.579428e-07,-4.998012e-06
1.850000e-11,-5.745325e-07,-5.745325e-07,-4.997544e-06
1.875000e-11,-5.939907e-07,-5.939907e-07,-4.997181e-06
1.900000e-11,-6.155090e-07,-6.155090e-07,-4.996949e-06
1.925000e-11,-6.381945e-07,-6.381945e-07,-4.996847e-06
1.950000e-11,-6.612388e-07,-6.612388e-07,-4.996853e-06
1.975000e-11,-6.840538e-07,-6.840538e-07,-4.996926e-06
2.000000e-11,-7.063577e-07,-7.063577e-07,-4.997017e-06
2.025000e-11,-7.281541e-07,-7.281541e-07,-4.996959e-06
2.050000e-11,-7.478802e-07,-7.478802e-07,-4.997378e-06
2.075000e-11,-7.625171e-07,-7.625171e-07,-4.998306e-06
2.100000e-11,-7.687923e-07,-7.687923e-07,-4.999699e-06
2.125000e-11,-7.649374e-07,-7.649374e-07,-5.001237e-06
2.150000e-11,-7.516542e-07,-7.516542e-07,-5.002508e-06
2.175000e-11,-7.318615e-07,-7.318615e-07,-5.003218e-06
2.200000e-11,-7.095442e-07,-7.095442e-07,-5.003297e-06
2.225000e-11,-6.884700e-07,-6.884700e-07,-5.002863e-06
2.250000e-11,-6.714034e-07,-6.714034e-07,-5.002110e-06
2.275000e-11,-6.599800e-07,-6.599800e-07,-5.001207e-06
2.300000e-11,-6.549911e-07,-6.549911e-07,-5.000252e-06
2.325000e-11,-6.566916e-07,-6.566916e-07,-4.999299e-06
2.350000e-11,-6.648701e-07,-6.648701e-07,-4.998408e-06
2.375000e-11,-6.786798e-07,-6.786798e-07,-4.997680e-06
2.400000e-11,-6.964298e-07,-6.964298e-07,-4.997246e-06
2.425000e-11,-7.155946e-07,-7.155946e-07,-4.997223e-06
2.450000e-11,-7.331860e-07,-7.331860e-07,-4.997649e-06
2.475000e-11,-7.464066e-07,-7.464066e-07,-4.998453e-06
2.500000e-11,-7.533111e-07,-7.533111e-07,-4.999471e-06
2.525000e-11,-7.531859e-07,-7.531859e-07,-5.000503e-06
2.550000e-11,-7.465299e-07,-7.465299e-07,-5.001382e-06
2.575000e-11,-7.347384e-07,-7.347384e-07,-5.002004e-06
2.600000e-11,-7.197078e-07,-7.197078e-07,-5.002326e-06
2.625000e-11,-7.035262e-07,-7.035262e-07,-5.002342e-06
2.650000e-11,-6.882806e-07,-6.882806e-07,-5.002067e-06
2.675000e-11,-6.759109e-07,-6.759109e-07,-5.001531e-06
2.700000e-11,-6.680306e-07,-6.680306e-07,-5.000791e-06
2.725000e-11,-6.657004e-07,-6.657004e-07,-4.999942e-06
2.750000e-11,-6.692137e-07,-6.692137e-07,-4.999105e-06
2.775000e-11,-6.779867e-07,-6.779867e-07,-4.998410e-06
2.800000e-11,-6.906211e-07,-6.906211e-07,-4.997966e-06
2.825000e-11,-7.051484e-07,-7.051484e-07,-4.997838e-06
2.850000e-11,-7.193912e-07,-7.193912e-07,-4.998028e-06
2.875000e-11,-7.313375e-07,-7.313375e-07,-4.998488e-06
2.900000e-11,-7.394339e-07,-7.394339e-07,-4.999134e-06
2.925000e-11,-7.427517e-07,-7.427517e-07,-4.999867e-06
2.950000e-11,-7.410378e-07,-7.410378e-07,-5.000588e-06
2.975000e-11,-7.346914e-07,-7.346914e-07,-5.001208e-06
3.000000e-11,-7.246926e-07,-7.246926e-07,-5.001651e-06
3.025000e-11,-7.124854e-07,-7.124854e-07,-5.001860e-06
3.050000e-11,-6.998022e-07,-6.998022e-07,-5.001806e-06
3.075000e-11,-6.884299e-07,-6.884299e-07,-5.001500e-06
3.100000e-11,-6.799471e-07,-6.799471e-07,-5.000986e-06
3.125000e-11,-6.754829e-07,-6.754829e-07,-5.000346e-06
3.150000e-11,-6.755508e-07,-6.755508e-07,-4.999677e-06
3.175000e-11,-6.799902e-07,-6.799902e-07,-4.999077e-06
3.200000e-11,-6.880224e-07,-6.880224e-07,-4.998628e-06
3.225000e-11,-6.983979e-07,-6.983979e-07,-4.998387e-06
3.250000e-11,-7.095986e-07,-7.095986e-07,-4.998377e-06
