time,"I(RIN1)","I(LQ|XBFR1)","I(LQ|XBFR2)","I(LQ|XBFR3)","I(LQ|XBFR4)","I(RX1)","I(RX2)"
0.000000e+00,-4.517593e-10,2.158748e-07,2.518728e-07,2.298156e-07,1.547840e-07,2.848955e-13,6.224557e-14
2.000000e-13,-9.858813e-07,5.094524e-08,2.710911e-07,2.588195e-07,1.747866e-07,1.383975e-11,1.128388e-12
4.000000e-13,-1.987732e-06,-2.100558e-07,3.014362e-07,3.099633e-07,2.106237e-07,1.890497e-11,1.988574e-12
6.000000e-13,-2.983088e-06,-6.533823e-07,3.350154e-07,3.883690e-07,2.669565e-07,3.021046e-11,3.741818e-12
8.000000e-13,-3.975722e-06,-1.385505e-06,3.561994e-07,4.991371e-07,3.493303e-07,4.760351e-11,6.773782e-12
1.000000e-12,-4.965377e-06,-2.528890e-06,3.395725e-07,6.477652e-07,4.650288e-07,7.330934e-11,1.171865e-11
1.200000e-12,-4.966773e-06,-4.034103e-06,2.581558e-07,8.405991e-07,6.237333e-07,1.042377e-10,1.889347e-11
1.400000e-12,-4.947373e-06,-6.147401e-06,5.540310e-08,1.082926e-06,8.380472e-07,1.844260e-10,3.106372e-11
1.600000e-12,-4.929088e-06,-8.985307e-06,-3.384187e-07,1.378912e-06,1.124206e-06,3.379885e-10,4.978531e-11
1.800000e-12,-4.906749e-06,-1.269195e-05,-1.020433e-06,1.729415e-06,1.502742e-06,6.255811e-10,7.756453e-11
2.000000e-12,-4.878882e-06,-1.745343e-05,-2.123755e-06,2.129154e-06,1.999073e-06,1.147030e-09,1.159613e-10
2.200000e-12,-4.844159e-06,-2.349916e-05,-3.827544e-06,2.562429e-06,2.643759e-06,2.093928e-09,1.627013e-10
2.400000e-12,-4.801531e-06,-3.109008e-05,-6.368342e-06,2.996950e-06,3.472158e-06,3.845731e-09,2.029184e-10
2.600000e-12,-4.750916e-06,-4.048120e-05,-1.005108e-05,3.375449e-06,4.523161e-06,7.052901e-09,1.845247e-10
2.800000e-12,-4.694338e-06,-5.184125e-05,-1.525644e-05,3.605060e-06,5.836793e-06,1.252814e-08,-3.744855e-11
3.000000e-12,-4.637471e-06,-6.511247e-05,-2.243847e-05,3.544848e-06,7.450661e-06,2.065355e-08,-7.987462e-10
3.200000e-12,-4.591053e-06,-7.981261e-05,-3.210109e-05,2.992272e-06,9.395220e-06,3.021036e-08,-2.750819e-09
3.400000e-12,-4.570545e-06,-9.484124e-05,-4.473044e-05,1.670110e-06,1.168741e-05,3.747285e-08,-6.929171e-09
3.600000e-12,-4.591695e-06,-1.084504e-04,-6.064219e-05,-7.826009e-07,1.432143e-05,3.749443e-08,-1.453682e-08
3.800000e-12,-4.662222e-06,-1.185675e-04,-7.969092e-05,-4.808315e-06,1.725537e-05,2.809819e-08,-2.601005e-08
4.000000e-12,-4.775368e-06,-1.234668e-04,-1.008434e-04,-1.090771e-05,2.039298e-05,1.287170e-08,-3.913658e-08
4.200000e-12,-4.911054e-06,-1.224807e-04,-1.218293e-04,-1.959168e-05,2.356186e-05,-9.415018e-10,-4.779214e-08
4.400000e-12,-5.043305e-06,-1.163267e-04,-1.393117e-04,-3.131484e-05,2.649169e-05,-8.318840e-09,-4.493468e-08
4.600000e-12,-5.148893e-06,-1.068525e-04,-1.497889e-04,-4.638409e-05,2.879952e-05,-1.105907e-08,-2.915788e-08
4.800000e-12,-5.213590e-06,-9.637103e-05,-1.508286e-04,-6.479938e-05,2.999245e-05,-1.721633e-08,-7.147666e-09
5.000000e-12,-5.234328e-06,-8.694281e-05,-1.420013e-04,-8.597756e-05,2.949706e-05,-3.465654e-08,1.115034e-08
5.200000e-12,-5.217342e-06,-7.989953e-05,-1.251326e-04,-1.083926e-04,2.671555e-05,-6.169066e-08,1.945422e-08
5.400000e-12,-5.174093e-06,-7.572754e-05,-1.038160e-04,-1.293675e-04,2.109215e-05,-8.299772e-08,1.803914e-08
