time,"I(RIN1)","I(LQ|XBFR2)","I(LQ|XBFR3)","I(LQ|XBFR4)","I(LQ|XBFR5)","I(LQ|XBFR6)","I(LQ|XBFR7)","I(LQ|XBFR8)"
0.000000e+00,-1.821702e-08,7.742533e-06,8.186414e-06,8.282887e-06,8.130929e-06,7.394580e-06,5.113461e-06,3.958548e-07
2.000000e-13,-1.029961e-06,8.837887e-06,9.344963e-06,9.454988e-06,9.281074e-06,8.439705e-06,5.836091e-06,4.522000e-07
4.000000e-13,-2.065726e-06,1.082454e-05,1.144570e-05,1.158016e-05,1.136660e-05,1.033590e-05,7.149127e-06,5.545883e-07
6.000000e-13,-3.102977e-06,1.398640e-05,1.478768e-05,1.496059e-05,1.468455e-05,1.335584e-05,9.245983e-06,7.182466e-07
8.000000e-13,-4.148790e-06,1.865638e-05,1.971906e-05,1.994734e-05,1.958107e-05,1.782178e-05,1.236327e-05,9.623448e-07
1.000000e-12,-5.206612e-06,2.524284e-05,2.666017e-05,2.696267e-05,2.647510e-05,2.413473e-05,1.681511e-05,1.313494e-06
1.200000e-12,-5.294840e-06,3.418836e-05,3.604912e-05,3.644268e-05,3.580573e-05,3.274283e-05,2.300384e-05,1.808790e-06
1.400000e-12,-5.380601e-06,4.581617e-05,4.816378e-05,4.865392e-05,4.785784e-05,4.400854e-05,3.139246e-05,2.499085e-06
1.600000e-12,-5.479599e-06,6.002098e-05,6.278377e-05,6.335013e-05,6.242740e-05,5.792061e-05,4.239391e-05,3.452471e-06
1.800000e-12,-5.566849e-06,7.587912e-05,7.881110e-05,7.939704e-05,7.843962e-05,7.369551e-05,5.611289e-05,4.757247e-06
2.000000e-12,-5.607136e-06,9.150931e-05,9.421350e-05,9.473429e-05,9.388038e-05,8.956805e-05,7.194850e-05,6.523296e-06
2.200000e-12,-5.564928e-06,1.044861e-04,1.065318e-04,1.069009e-04,1.062922e-04,1.031258e-04,8.830683e-05,8.881800e-06
2.400000e-12,-5.427384e-06,1.126157e-04,1.136760e-04,1.138328e-04,1.135693e-04,1.120746e-04,1.028115e-04,1.198449e-05
2.600000e-12,-5.214703e-06,1.146252e-04,1.145694e-04,1.144969e-04,1.146086e-04,1.149716e-04,1.130201e-04,1.600222e-05
2.800000e-12,-4.970901e-06,1.105087e-04,1.094293e-04,1.091564e-04,1.095982e-04,1.116281e-04,1.172159e-04,2.112090e-05
3.000000e-12,-4.747225e-06,1.014684e-04,9.963852e-05,9.922955e-05,9.989874e-05,1.031065e-04,1.149117e-04,2.753285e-05
