time,"I(RIN1)","I(LQ|XBFR2)","I(LQ|XBFR3)","I(LQ|XBFR4)","I(LQ|XBFR5)","I(LQ|XBFR6)","I(LQ|XBFR7)","I(LQ|XBFR8)"
0.000000e+00,1.676570e-09,8.768676e-07,1.002718e-06,1.054050e-06,1.021498e-06,9.020318e-07,7.012659e-07,4.344658e-07
2.000000e-13,-9.805364e-07,1.007558e-06,1.139358e-06,1.195771e-06,1.159336e-06,1.022752e-06,7.957612e-07,4.929710e-07
4.000000e-13,-1.978314e-06,1.249554e-06,1.387540e-06,1.453076e-06,1.408865e-06,1.241857e-06,9.666867e-07,5.988680e-07
6.000000e-13,-2.968561e-06,1.650661e-06,1.784592e-06,1.863794e-06,1.805881e-06,1.591387e-06,1.238386e-06,7.673028e-07
8.000000e-13,-3.954599e-06,2.275395e-06,2.378158e-06,2.474725e-06,2.394854e-06,2.110772e-06,1.641135e-06,1.017089e-06
1.000000e-12,-4.935535e-06,3.216363e-06,3.235634e-06,3.350670e-06,3.237332e-06,2.854357e-06,2.216845e-06,1.374231e-06
1.200000e-12,-4.925260e-06,4.594012e-06,4.452564e-06,4.582521e-06,4.419465e-06,3.898073e-06,3.024199e-06,1.875117e-06
1.400000e-12,-4.890182e-06,6.593982e-06,6.164996e-06,6.296996e-06,6.060958e-06,5.347317e-06,4.144849e-06,2.570386e-06
1.600000e-12,-4.850946e-06,9.461885e-06,8.563065e-06,8.669288e-06,8.326777e-06,7.347373e-06,5.691721e-06,3.530178e-06
1.800000e-12,-4.801077e-06,1.352978e-05,1.190984e-05,1.193904e-05,1.144192e-05,1.009683e-05,7.820039e-06,4.851266e-06
2.000000e-12,-4.738343e-06,1.923215e-05,1.656126e-05,1.642761e-05,1.570761e-05,1.386320e-05,1.074107e-05,6.666366e-06
2.200000e-12,-4.662635e-06,2.710284e-05,2.297934e-05,2.254989e-05,2.151351e-05,1.899736e-05,1.473748e-05,9.155724e-06
2.400000e-12,-4.578792e-06,3.771728e-05,3.171739e-05,3.080386e-05,2.933195e-05,2.593765e-05,2.017665e-05,1.256062e-05
2.600000e-12,-4.500720e-06,5.151564e-05,4.333208e-05,4.170177e-05,3.966415e-05,3.518292e-05,2.751286e-05,1.719735e-05
2.800000e-12,-4.453242e-06,6.844323e-05,5.815258e-05,5.558575e-05,5.288790e-05,4.719462e-05,3.725797e-05,2.346794e-05
3.000000e-12,-4.465592e-06,8.747451e-05,7.586951e-05,7.228540e-05,6.895728e-05,6.217243e-05,4.988223e-05,3.185889e-05
3.200000e-12,-4.555691e-06,1.063810e-04,9.509678e-05,9.070988e-05,8.700120e-05,7.968037e-05,6.558879e-05,4.290861e-05
3.400000e-12,-4.716934e-06,1.221724e-04,1.133287e-04,1.087102e-04,1.050966e-04,9.826716e-05,8.393020e-05,5.710709e-05
3.600000e-12,-4.919100e-06,1.320819e-04,1.275714e-04,1.235325e-04,1.205870e-04,1.154677e-04,1.033920e-04,7.467800e-05
3.800000e-12,-5.120490e-06,1.344919e-04,1.353242e-04,1.326870e-04,1.309056e-04,1.284561e-04,1.213353e-04,9.522123e-05
4.000000e-12,-5.282373e-06,1.294017e-04,1.353726e-04,1.347370e-04,1.344122e-04,1.350199e-04,1.346542e-04,1.173160e-04
4.200000e-12,-5.380395e-06,1.183411e-04,1.281131e-04,1.296950e-04,1.308614e-04,1.342769e-04,1.409016e-04,1.383847e-04
4.400000e-12,-5.409561e-06,1.037948e-04,1.153492e-04,1.189441e-04,1.213999e-04,1.268758e-04,1.391922e-04,1.551446e-04
