time,"I(LOUT)","I(LJOIN)","I(LQB|X2)","I(LQA|X2)","I(LIN|X2)","I(LINA|X2)","I(LINB|X2)"
0.000000e+00,4.328720e-12,8.052196e-12,1.033277e-11,1.028777e-11,8.052196e-12,5.022582e-12,3.029615e-12
2.500000e-13,-2.148113e-08,-8.509939e-08,-2.127071e-08,-4.741584e-08,-8.509939e-08,-1.288860e-07,4.378664e-08
5.000000e-13,-5.151198e-08,-2.423671e-07,-4.867578e-08,-1.229597e-07,-2.423671e-07,-2.930744e-07,5.070737e-08
7.500000e-13,-9.576935e-08,-5.338342e-07,-9.062715e-08,-2.489586e-07,-5.338342e-07,-4.954943e-07,-3.833991e-08
1.000000e-12,-1.695860e-07,-1.038304e-06,-1.721076e-07,-4.712075e-07,-1.038304e-06,-7.627188e-07,-2.755853e-07
1.250000e-12,-2.933150e-07,-1.769801e-06,-3.289147e-07,-8.485242e-07,-1.769801e-06,-1.087715e-06,-6.820868e-07
1.500000e-12,-5.036806e-07,-2.865330e-06,-6.336039e-07,-1.480876e-06,-2.865330e-06,-1.523379e-06,-1.341952e-06
1.750000e-12,-8.511363e-07,-4.424474e-06,-1.189533e-06,-2.502587e-06,-4.424474e-06,-2.103462e-06,-2.321012e-06
2.000000e-12,-1.407656e-06,-6.575930e-06,-2.148692e-06,-4.101375e-06,-6.575930e-06,-2.877213e-06,-3.698717e-06
2.250000e-12,-2.271978e-06,-9.477012e-06,-3.724535e-06,-6.530497e-06,-9.477012e-06,-3.911233e-06,-5.565779e-06
2.500000e-12,-3.572412e-06,-1.328400e-05,-6.200497e-06,-1.011390e-05,-1.328400e-05,-5.278114e-06,-8.005887e-06
2.750000e-12,-5.463041e-06,-1.806856e-05,-9.924983e-06,-1.523387e-05,-1.806856e-05,-7.019682e-06,-1.104888e-05
3.000000e-12,-8.108168e-06,-2.366046e-05,-1.528073e-05,-2.228873e-05,-2.366046e-05,-9.074385e-06,-1.458607e-05
3.250000e-12,-1.165231e-05,-2.946615e-05,-2.262202e-05,-3.161419e-05,-2.946615e-05,-1.119312e-05,-1.827302e-05
3.500000e-12,-1.617810e-05,-3.444091e-05,-3.218560e-05,-4.337368e-05,-3.444091e-05,-1.293361e-05,-2.150729e-05
3.750000e-12,-2.165529e-05,-3.738821e-05,-4.398387e-05,-5.742478e-05,-3.738821e-05,-1.382201e-05,-2.356620e-05
4.000000e-12,-2.788039e-05,-3.747524e-05,-5.767561e-05,-7.316308e-05,-3.747524e-05,-1.362070e-05,-2.385454e-05
4.250000e-12,-3.441830e-05,-3.462905e-05,-7.242786e-05,-8.938257e-05,-3.462905e-05,-1.251465e-05,-2.211439e-05
4.500000e-12,-4.059025e-05,-2.958606e-05,-8.685274e-05,-1.042758e-04,-2.958606e-05,-1.107929e-05,-1.850677e-05
4.750000e-12,-4.556169e-05,-2.360803e-05,-9.914286e-05,-1.157051e-04,-2.360803e-05,-1.004204e-05,-1.356599e-05
5.000000e-12,-4.853227e-05,-1.805144e-05,-1.074443e-04,-1.217209e-04,-1.805144e-05,-9.985077e-06,-8.066364e-06
5.250000e-12,-4.895082e-05,-1.400273e-05,-1.103362e-04,-1.211013e-04,-1.400273e-05,-1.116015e-05,-2.842578e-06
5.500000e-12,-4.665160e-05,-1.209389e-05,-1.071943e-04,-1.136437e-04,-1.209389e-05,-1.348746e-05,1.393574e-06
5.750000e-12,-4.185692e-05,-1.249136e-05,-9.827926e-05,-1.001019e-04,-1.249136e-05,-1.668018e-05,4.188821e-06
6.000000e-12,-3.507456e-05,-1.498293e-05,-8.456307e-05,-8.188322e-05,-1.498293e-05,-2.037421e-05,5.391276e-06
6.250000e-12,-2.697036e-05,-1.908328e-05,-6.744125e-05,-6.073227e-05,-1.908328e-05,-2.417767e-05,5.094389e-06
6.500000e-12,-1.828221e-05,-2.411796e-05,-4.849768e-05,-3.855092e-05,-2.411796e-05,-2.764621e-05,3.528250e-06
6.750000e-12,-9.777565e-06,-2.929520e-05,-2.937574e-05,-1.732073e-05,-2.929520e-05,-3.026597e-05,9.707706e-07
7.000000e-12,-2.211081e-06,-3.380044e-05,-1.169468e-05,1.012456e-06,-3.380044e-05,-3.151847e-05,-2.281963e-06
7.250000e-12,3.744116e-06,-3.692635e-05,3.063490e-06,1.474454e-05,-3.692635e-05,-3.100963e-05,-5.916720e-06
7.500000e-12,7.575276e-06,-3.820357e-05,1.370329e-05,2.263305e-05,-3.820357e-05,-2.857794e-05,-9.625637e-06
8.000000e-12,7.966760e-06,-3.490752e-05,2.007859e-05,1.908103e-05,-3.490752e-05,-1.863189e-05,-1.627563e-05
8.250000e-12,4.760939e-06,-3.089501e-05,1.590837e-05,8.584149e-06,-3.089501e-05,-1.206976e-05,-1.882525e-05
8.500000e-12,-6.545031e-08,-2.599319e-05,7.879212e-06,-5.771975e-06,-2.599319e-05,-5.422081e-06,-2.057111e-05
8.750000e-12,-5.706877e-06,-2.080777e-05,-2.559149e-06,-2.167751e-05,-2.080777e-05,4.546149e-07,-2.126239e-05
9.000000e-12,-1.124263e-05,-1.591107e-05,-1.364458e-05,-3.658024e-05,-1.591107e-05,4.806015e-06,-2.071708e-05
9.250000e-12,-1.579517e-05,-1.177908e-05,-2.357625e-05,-4.814911e-05,-1.177908e-05,7.137816e-06,-1.891690e-05
9.500000e-12,-1.865408e-05,-8.756511e-06,-3.077324e-05,-5.459980e-05,-8.756511e-06,7.262275e-06,-1.601879e-05
9.750000e-12,-1.935284e-05,-7.039822e-06,-3.407773e-05,-5.486050e-05,-7.039822e-06,5.257661e-06,-1.229748e-05
1.000000e-11,-1.772367e-05,-6.664301e-06,-3.290838e-05,-4.868355e-05,-6.664301e-06,1.426980e-06,-8.091281e-06
1.025000e-11,-1.395491e-05,-7.488607e-06,-2.738596e-05,-3.679124e-05,-7.488607e-06,-3.689495e-06,-3.799112e-06
1.050000e-11,-8.631750e-06,-9.187857e-06,-1.840858e-05,-2.099108e-05,-9.187857e-06,-9.285498e-06,9.764088e-08
1.075000e-11,-2.683807e-06,-1.128423e-05,-7.571955e-06,-4.013372e-06,-1.128423e-05,-1.436245e-05,3.078223e-06
1.100000e-11,2.806188e-06,-1.323152e-05,3.140170e-06,1.106651e-05,-1.323152e-05,-1.795755e-05,4.726031e-06
1.125000e-11,6.856181e-06,-1.452698e-05,1.179773e-05,2.156837e-05,-1.452698e-05,-1.939777e-05,4.870793e-06
1.150000e-11,8.784478e-06,-1.480664e-05,1.692072e-05,2.574896e-05,-1.480664e-05,-1.842757e-05,3.620927e-06
1.175000e-11,8.321438e-06,-1.390537e-05,1.774575e-05,2.306754e-05,-1.390537e-05,-1.521359e-05,1.308222e-06
1.200000e-11,5.667240e-06,-1.188630e-05,1.437914e-05,1.431045e-05,-1.188630e-05,-1.032243e-05,-1.563875e-06
1.225000e-11,1.497242e-06,-9.039162e-06,7.829108e-06,1.587564e-06,-9.039162e-06,-4.687614e-06,-4.351549e-06
1.250000e-11,-3.156969e-06,-5.826602e-06,-1.797705e-07,-1.203273e-05,-5.826602e-06,5.440318e-07,-6.370634e-06
