time,"I(LQ|X1)","I(LOUT)","I(LJOIN)","I(LQB|X2)","I(LQA|X2)","I(LIN|X2)","I(LINA|X2)","I(LINB|X2)"
0.000000e+00,1.844587e-17,-2.907650e-10,6.557354e-18,9.854925e-10,9.928609e-10,0.000000e+00,2.670166e-11,-2.670166e-11
2.500000e-13,-2.801816e-07,9.517170e-09,-9.945111e-08,2.844730e-08,-4.529464e-08,0.000000e+00,-9.541364e-08,9.541364e-08
5.000000e-13,-7.988502e-07,1.687203e-08,-2.835378e-07,7.950076e-08,-9.116211e-08,0.000000e+00,-1.928944e-07,1.928944e-07
7.500000e-13,-1.760820e-06,2.013297e-08,-6.251208e-07,1.572900e-07,-1.350729e-07,0.000000e+00,-2.662905e-07,2.662905e-07
1.000000e-12,-3.425650e-06,2.219269e-08,-1.216403e-06,2.602684e-07,-1.936961e-07,0.000000e+00,-3.052454e-07,3.052454e-07
1.250000e-12,-5.833270e-06,2.684377e-08,-2.071562e-06,3.841924e-07,-2.873279e-07,0.000000e+00,-2.976099e-07,2.976099e-07
1.500000e-12,-9.427891e-06,3.655860e-08,-3.348415e-06,5.292789e-07,-4.321536e-07,0.000000e+00,-2.288899e-07,2.288899e-07
1.750000e-12,-1.451752e-05,5.140362e-08,-5.156395e-06,7.044235e-07,-6.366984e-07,0.000000e+00,-8.299557e-08,8.299557e-08
2.000000e-12,-2.149135e-05,6.958917e-08,-7.633777e-06,9.256924e-07,-9.038552e-07,0.000000e+00,1.572791e-07,-1.572791e-07
2.250000e-12,-3.081850e-05,8.917933e-08,-1.094722e-05,1.210454e-06,-1.236590e-06,0.000000e+00,5.095504e-07,-5.095504e-07
2.500000e-12,-4.297187e-05,1.097518e-07,-1.526473e-05,1.570956e-06,-1.642929e-06,0.000000e+00,9.905783e-07,-9.905783e-07
2.750000e-12,-5.822961e-05,1.329482e-07,-2.068512e-05,2.011054e-06,-2.136687e-06,0.000000e+00,1.614559e-06,-1.614559e-06
3.000000e-12,-7.631724e-05,1.616898e-07,-2.711085e-05,2.527681e-06,-2.733834e-06,0.000000e+00,2.391889e-06,-2.391889e-06
3.250000e-12,-9.597568e-05,1.987335e-07,-3.409464e-05,3.115608e-06,-3.447490e-06,0.000000e+00,3.329341e-06,-3.329341e-06
3.500000e-12,-1.147700e-04,2.456007e-07,-4.077143e-05,3.771673e-06,-4.284756e-06,0.000000e+00,4.430859e-06,-4.430859e-06
3.750000e-12,-1.295469e-04,3.025252e-07,-4.602098e-05,4.494598e-06,-5.246119e-06,0.000000e+00,5.696375e-06,-5.696375e-06
4.000000e-12,-1.375295e-04,3.692880e-07,-4.885676e-05,5.279272e-06,-6.325659e-06,0.000000e+00,7.116536e-06,-7.116536e-06
4.250000e-12,-1.374111e-04,4.462246e-07,-4.881454e-05,6.108168e-06,-7.509888e-06,0.000000e+00,8.664164e-06,-8.664164e-06
4.500000e-12,-1.297739e-04,5.346875e-07,-4.610115e-05,6.944935e-06,-8.775102e-06,0.000000e+00,1.028677e-05,-1.028677e-05
4.750000e-12,-1.166821e-04,6.367615e-07,-4.144990e-05,7.734544e-06,-1.008577e-05,0.000000e+00,1.190574e-05,-1.190574e-05
5.000000e-12,-1.008068e-04,7.546049e-07,-3.580976e-05,8.410307e-06,-1.139656e-05,0.000000e+00,1.342445e-05,-1.342445e-05
5.250000e-12,-8.459083e-05,8.899702e-07,-3.004857e-05,8.903011e-06,-1.265736e-05,0.000000e+00,1.474034e-05,-1.474034e-05
5.500000e-12,-6.977379e-05,1.044192e-06,-2.478440e-05,9.146119e-06,-1.381773e-05,0.000000e+00,1.575294e-05,-1.575294e-05
5.750000e-12,-5.731089e-05,1.218525e-06,-2.035657e-05,9.075122e-06,-1.482851e-05,0.000000e+00,1.636436e-05,-1.636436e-05
6.000000e-12,-4.753942e-05,1.414518e-06,-1.688491e-05,8.625083e-06,-1.564194e-05,0.000000e+00,1.647722e-05,-1.647722e-05
6.250000e-12,-4.042078e-05,1.634172e-06,-1.435571e-05,7.732764e-06,-1.621467e-05,0.000000e+00,1.599914e-05,-1.599914e-05
6.500000e-12,-3.574616e-05,1.879886e-06,-1.269479e-05,6.346429e-06,-1.651614e-05,0.000000e+00,1.485871e-05,-1.485871e-05
6.750000e-12,-3.326637e-05,2.154271e-06,-1.181362e-05,4.440315e-06,-1.654025e-05,0.000000e+00,1.302818e-05,-1.302818e-05
7.000000e-12,-3.275164e-05,2.459788e-06,-1.163057e-05,2.027404e-06,-1.631437e-05,0.000000e+00,1.054222e-05,-1.054222e-05
7.250000e-12,-3.400327e-05,2.797950e-06,-1.207505e-05,-8.334185e-07,-1.590053e-05,0.000000e+00,7.505038e-06,-7.505038e-06
7.500000e-12,-3.683817e-05,3.167865e-06,-1.308201e-05,-4.034773e-06,-1.538837e-05,0.000000e+00,4.086520e-06,-4.086520e-06
8.000000e-12,-4.644317e-05,3.975970e-06,-1.649398e-05,-1.078768e-05,-1.449176e-05,0.000000e+00,-2.949622e-06,2.949622e-06
8.250000e-12,-5.269528e-05,4.385063e-06,-1.871496e-05,-1.389997e-05,-1.431035e-05,0.000000e+00,-6.011081e-06,6.011081e-06
8.500000e-12,-5.946854e-05,4.767976e-06,-2.112108e-05,-1.650789e-05,-1.440853e-05,0.000000e+00,-8.394531e-06,8.394531e-06
8.750000e-12,-6.634671e-05,5.096740e-06,-2.356448e-05,-1.837805e-05,-1.481389e-05,0.000000e+00,-9.871895e-06,9.871895e-06
9.000000e-12,-7.284846e-05,5.340001e-06,-2.587415e-05,-1.931852e-05,-1.549545e-05,0.000000e+00,-1.030083e-05,1.030083e-05
9.250000e-12,-7.844270e-05,5.463605e-06,-2.786142e-05,-1.919711e-05,-1.635118e-05,0.000000e+00,-9.651442e-06,9.651442e-06
9.500000e-12,-8.259057e-05,5.431976e-06,-2.933484e-05,-1.795466e-05,-1.720506e-05,0.000000e+00,-8.020404e-06,8.020404e-06
9.750000e-12,-8.481497e-05,5.211857e-06,-3.012492e-05,-1.561790e-05,-1.781968e-05,0.000000e+00,-5.631589e-06,5.631589e-06
1.000000e-11,-8.477764e-05,4.778799e-06,-3.011149e-05,-1.231184e-05,-1.792699e-05,0.000000e+00,-2.820845e-06,2.820845e-06
1.025000e-11,-8.233136e-05,4.124775e-06,-2.924223e-05,-8.263748e-06,-1.727363e-05,0.000000e+00,-1.217343e-09,1.217343e-09
1.050000e-11,-7.752373e-05,3.264132e-06,-2.753406e-05,-3.789017e-06,-1.567175e-05,0.000000e+00,2.392359e-06,-2.392359e-06
1.075000e-11,-7.055392e-05,2.236061e-06,-2.505775e-05,7.438566e-07,-1.304597e-05,0.000000e+00,3.973264e-06,-3.973264e-06
1.100000e-11,-6.170828e-05,1.103917e-06,-2.191501e-05,4.960181e-06,-9.470611e-06,0.000000e+00,4.475668e-06,-4.475668e-06
1.125000e-11,-5.131160e-05,-4.748839e-08,-1.822125e-05,8.523928e-06,-5.192132e-06,0.000000e+00,3.812771e-06,-3.812771e-06
1.150000e-11,-3.972099e-05,-1.117037e-06,-1.410331e-05,1.117188e-05,-6.263966e-07,0.000000e+00,2.104447e-06,-2.104447e-06
1.175000e-11,-2.736260e-05,-1.997003e-06,-9.712609e-06,1.273702e-05,3.682881e-06,0.000000e+00,-3.371959e-07,3.371959e-07
1.200000e-11,-1.477981e-05,-2.588097e-06,-5.242179e-06,1.316373e-05,7.147281e-06,0.000000e+00,-3.064593e-06,3.064593e-06
1.225000e-11,-2.645342e-06,-2.816838e-06,-9.310166e-07,1.251292e-05,9.240644e-06,0.000000e+00,-5.580393e-06,5.580393e-06
1.250000e-11,8.290165e-06,-2.650198e-06,2.954193e-06,1.095277e-05,9.601483e-06,0.000000e+00,-7.432085e-06,7.432085e-06
1.275000e-11,1.729382e-05,-2.104412e-06,6.153078e-06,8.734246e-06,8.111263e-06,0.000000e+00,-8.299567e-06,8.299567e-06
1.300000e-11,2.374305e-05,-1.247704e-06,8.444453e-06,6.157644e-06,4.941615e-06,0.000000e+00,-8.064327e-06,8.064327e-06
1.325000e-11,2.718466e-05,-1.966558e-07,9.667315e-06,3.538317e-06,5.614986e-07,0.000000e+00,-6.845525e-06,6.845525e-06
1.350000e-11,2.736829e-05,8.962668e-07,9.732721e-06,1.175183e-06,-4.315057e-06,0.000000e+00,-4.983429e-06,4.983429e-06
1.375000e-11,2.428048e-05,1.865637e-06,8.635896e-06,-6.777819e-07,-8.850864e-06,0.000000e+00,-2.961499e-06,2.961499e-06
1.400000e-11,1.819221e-05,2.562247e-06,6.473117e-06,-1.835121e-06,-1.225211e-05,0.000000e+00,-1.286593e-06,1.286593e-06
1.425000e-11,9.701426e-06,2.880152e-06,3.456811e-06,-2.194759e-06,-1.392886e-05,0.000000e+00,-3.666966e-07,3.666966e-07
1.450000e-11,-2.726379e-07,2.775579e-06,-8.644805e-08,-1.744150e-06,-1.361107e-05,0.000000e+00,-4.185824e-07,4.185824e-07
1.475000e-11,-1.057951e-05,2.276487e-06,-3.747939e-06,-5.621871e-07,-1.140830e-05,0.000000e+00,-1.419133e-06,1.419133e-06
1.500000e-11,-2.000251e-05,1.482084e-06,-7.095423e-06,1.181106e-06,-7.806846e-06,0.000000e+00,-3.107375e-06,3.107375e-06
1.525000e-11,-2.743995e-05,5.488620e-07,-9.737511e-06,3.232853e-06,-3.587482e-06,0.000000e+00,-5.046521e-06,5.046521e-06
1.550000e-11,-3.204192e-05,-3.387009e-07,-1.137226e-05,5.281944e-06,3.409459e-07,0.000000e+00,-6.742666e-06,6.742666e-06
1.575000e-11,-3.328796e-05,-1.006875e-06,-1.181477e-05,7.001264e-06,3.152817e-06,0.000000e+00,-7.786058e-06,7.786058e-06
1.600000e-11,-3.103364e-05,-1.329452e-06,-1.101371e-05,8.100751e-06,4.294909e-06,0.000000e+00,-7.964281e-06,7.964281e-06
1.625000e-11,-2.555466e-05,-1.253644e-06,-9.067042e-06,8.382511e-06,3.603827e-06,0.000000e+00,-7.313089e-06,7.313089e-06
1.650000e-11,-1.757899e-05,-8.111374e-07,-6.233374e-06,7.789037e-06,1.334216e-06,0.000000e+00,-6.097896e-06,6.097896e-06
1.675000e-11,-8.253292e-06,-1.120301e-07,-2.920080e-06,6.432083e-06,-1.905862e-06,0.000000e+00,-4.733808e-06,4.733808e-06
1.700000e-11,1.008634e-06,6.794439e-07,3.705631e-07,4.588027e-06,-5.306772e-06,0.000000e+00,-3.661446e-06,3.661446e-06
1.725000e-11,8.779859e-06,1.383245e-06,3.131609e-06,2.652354e-06,-8.063130e-06,0.000000e+00,-3.213214e-06,3.213214e-06
1.750000e-11,1.388773e-05,1.845770e-06,4.946446e-06,1.058726e-06,-9.573273e-06,0.000000e+00,-3.516131e-06,3.516131e-06
1.775000e-11,1.560982e-05,1.975007e-06,5.558422e-06,1.792463e-07,-9.576537e-06,0.000000e+00,-4.463649e-06,4.463649e-06
1.800000e-11,1.377944e-05,1.760920e-06,4.908319e-06,2.293776e-07,-8.199721e-06,0.000000e+00,-5.759934e-06,5.759934e-06
1.825000e-11,8.822353e-06,1.276539e-06,3.147407e-06,1.203685e-06,-5.907106e-06,0.000000e+00,-7.018307e-06,7.018307e-06
1.850000e-11,1.720499e-06,6.584141e-07,6.245376e-07,2.864915e-06,-3.365184e-06,0.000000e+00,-7.884773e-06,7.884773e-06
1.875000e-11,-6.140232e-06,7.034767e-08,-2.167926e-06,4.796208e-06,-1.256091e-06,0.000000e+00,-8.149499e-06,8.149499e-06
1.900000e-11,-1.324707e-05,-3.397001e-07,-4.692555e-06,6.506914e-06,-9.470133e-08,0.000000e+00,-7.808304e-06,7.808304e-06
1.925000e-11,-1.828128e-05,-4.773037e-07,-6.480851e-06,7.564253e-06,-1.033805e-07,0.000000e+00,-7.052974e-06,7.052974e-06
1.950000e-11,-2.037063e-05,-3.238320e-07,-7.222948e-06,7.713241e-06,-1.175441e-06,0.000000e+00,-6.197039e-06,6.197039e-06
1.975000e-11,-1.922512e-05,6.206290e-08,-6.815814e-06,6.949461e-06,-2.930178e-06,0.000000e+00,-5.565569e-06,5.565569e-06
2.000000e-11,-1.517515e-05,5.636161e-07,-5.376826e-06,5.521853e-06,-4.838503e-06,0.000000e+00,-5.386700e-06,5.386700e-06
2.025000e-11,-9.126076e-06,1.030330e-06,-3.227706e-06,3.834782e-06,-6.333737e-06,0.000000e+00,-5.625372e-06,5.625372e-06
2.050000e-11,-2.401272e-06,1.350833e-06,-8.386063e-07,2.382609e-06,-7.103955e-06,0.000000e+00,-6.246873e-06,6.246873e-06
2.075000e-11,3.579537e-06,1.453428e-06,1.286186e-06,1.563183e-06,-7.035611e-06,0.000000e+00,-7.022741e-06,7.022741e-06
2.100000e-11,7.637187e-06,1.327772e-06,2.727739e-06,1.577940e-06,-6.241560e-06,0.000000e+00,-7.679346e-06,7.679346e-06
2.125000e-11,9.062927e-06,1.024844e-06,3.234250e-06,2.384368e-06,-5.011732e-06,0.000000e+00,-8.008733e-06,8.008733e-06
2.150000e-11,7.715007e-06,6.396056e-07,2.755365e-06,3.715657e-06,-3.719138e-06,0.000000e+00,-7.930909e-06,7.930909e-06
2.175000e-11,4.013596e-06,2.823640e-07,1.440367e-06,5.166377e-06,-2.712321e-06,0.000000e+00,-7.507906e-06,7.507906e-06
2.200000e-11,-1.155755e-06,4.704602e-08,-3.961297e-07,6.318776e-06,-2.223758e-06,0.000000e+00,-6.909877e-06,6.909877e-06
2.225000e-11,-6.641086e-06,-1.346555e-08,-2.344874e-06,6.866051e-06,-2.320842e-06,0.000000e+00,-6.348576e-06,6.348576e-06
2.250000e-11,-1.129320e-05,1.021537e-07,-3.997600e-06,6.692587e-06,-2.909506e-06,0.000000e+00,-6.004351e-06,6.004351e-06
2.275000e-11,-1.421736e-05,3.483293e-07,-5.036451e-06,5.892560e-06,-3.780619e-06,0.000000e+00,-5.970951e-06,5.970951e-06
2.300000e-11,-1.493215e-05,6.488960e-07,-5.290396e-06,4.729493e-06,-4.678843e-06,0.000000e+00,-6.232882e-06,6.232882e-06
2.325000e-11,-1.342235e-05,9.196614e-07,-4.754023e-06,3.552318e-06,-5.373089e-06,0.000000e+00,-6.679349e-06,6.679349e-06
2.350000e-11,-1.011086e-05,1.091187e-06,-3.577572e-06,2.692295e-06,-5.711377e-06,0.000000e+00,-7.148180e-06,7.148180e-06
2.375000e-11,-5.763896e-06,1.125910e-06,-2.033244e-06,2.370446e-06,-5.648652e-06,0.000000e+00,-7.483491e-06,7.483491e-06
2.400000e-11,-1.328564e-06,1.025465e-06,-4.575146e-07,2.641882e-06,-5.244371e-06,0.000000e+00,-7.586646e-06,7.586646e-06
