time,"I(LOUT1)","I(LOUT2)","I(LQB|X2)","I(LQA|X2)","I(LIN|X2)"
0.000000e+00,3.954571e-21,3.954902e-21,1.226882e-20,1.222411e-20,-1.427294e-37
2.500000e-13,-1.654128e-08,-2.748336e-08,-1.152472e-07,-8.101340e-08,-1.226938e-06
5.000000e-13,-6.236033e-08,-9.376965e-08,-3.537739e-07,-2.554237e-07,-2.480779e-06
7.500000e-13,-1.676201e-07,-2.350501e-07,-8.245191e-07,-6.131480e-07,-3.725759e-06
1.000000e-12,-3.705645e-07,-4.969555e-07,-1.669479e-06,-1.272842e-06,-4.967414e-06
1.250000e-12,-6.859545e-07,-9.011814e-07,-2.956093e-06,-2.280272e-06,-4.978136e-06
1.500000e-12,-1.186020e-06,-1.526302e-06,-4.928042e-06,-3.858636e-06,-4.956724e-06
1.750000e-12,-1.937085e-06,-2.443915e-06,-7.807314e-06,-6.212835e-06,-4.936898e-06
2.000000e-12,-3.031855e-06,-3.750290e-06,-1.189248e-05,-9.629354e-06,-4.910503e-06
2.250000e-12,-4.597478e-06,-5.572544e-06,-1.757788e-05,-1.450123e-05,-4.874906e-06
2.500000e-12,-6.796666e-06,-8.065500e-06,-2.534390e-05,-2.133151e-05,-4.828125e-06
2.750000e-12,-9.815510e-06,-1.139187e-05,-3.569537e-05,-3.069553e-05,-4.769652e-06
3.000000e-12,-1.382524e-05,-1.567357e-05,-4.901061e-05,-4.312266e-05,-4.702613e-06
3.250000e-12,-1.889828e-05,-2.090034e-05,-6.525775e-05,-5.883673e-05,-4.637138e-06
3.500000e-12,-2.486041e-05,-2.679408e-05,-8.357395e-05,-7.729914e-05,-4.594134e-06
3.750000e-12,-3.112254e-05,-3.269635e-05,-1.019165e-04,-9.668874e-05,-4.603518e-06
4.000000e-12,-3.667358e-05,-3.764153e-05,-1.172898e-04,-1.138801e-04,-4.687783e-06
4.250000e-12,-4.039118e-05,-4.068192e-05,-1.267539e-04,-1.254038e-04,-4.840153e-06
4.500000e-12,-4.150787e-05,-4.127069e-05,-1.286127e-04,-1.288879e-04,-5.023113e-06
4.750000e-12,-3.991282e-05,-3.945612e-05,-1.230160e-04,-1.239897e-04,-5.188581e-06
5.000000e-12,-3.613135e-05,-3.580338e-05,-1.117171e-04,-1.123330e-04,-5.300908e-06
5.250000e-12,-3.104460e-05,-3.112829e-05,-9.724659e-05,-9.664163e-05,-5.349087e-06
5.500000e-12,-2.553999e-05,-2.620520e-05,-8.200678e-05,-7.965852e-05,-5.344304e-06
5.750000e-12,-2.026938e-05,-2.158017e-05,-6.769156e-05,-6.339869e-05,-5.308257e-06
6.000000e-12,-1.557949e-05,-1.752630e-05,-5.514819e-05,-4.893395e-05,-5.261389e-06
6.250000e-12,-1.157279e-05,-1.410102e-05,-4.455491e-05,-3.658116e-05,-5.216665e-06
6.500000e-12,-8.215445e-06,-1.123931e-05,-3.570999e-05,-2.623568e-05,-5.179246e-06
6.750000e-12,-5.426035e-06,-8.832419e-06,-2.827608e-05,-1.764580e-05,-5.149412e-06
7.000000e-12,-3.121629e-06,-6.773191e-06,-2.192064e-05,-1.055511e-05,-5.125698e-06
7.250000e-12,-1.231249e-06,-4.973419e-06,-1.636999e-05,-4.744152e-06,-5.106609e-06
7.500000e-12,3.034983e-07,-3.368042e-06,-1.142232e-05,-3.242264e-08,-5.090916e-06
8.000000e-12,2.478604e-06,-6.074386e-07,-2.923389e-06,6.626395e-06,-5.064770e-06
8.250000e-12,3.176655e-06,5.462503e-07,6.230132e-07,8.751731e-06,-5.051854e-06
8.500000e-12,3.641284e-06,1.507926e-06,3.573712e-06,1.015548e-05,-5.037940e-06
8.750000e-12,3.889696e-06,2.229509e-06,5.779603e-06,1.089088e-05,-5.022831e-06
9.000000e-12,3.938995e-06,2.662032e-06,7.088814e-06,1.101084e-05,-5.006687e-06
9.250000e-12,3.804219e-06,2.765445e-06,7.377112e-06,1.056183e-05,-4.989848e-06
9.500000e-12,3.496563e-06,2.517454e-06,6.575315e-06,9.578459e-06,-4.972870e-06
9.750000e-12,3.024798e-06,1.922290e-06,4.696511e-06,8.087789e-06,-4.956681e-06
1.000000e-11,2.400236e-06,1.018222e-06,1.859395e-06,6.124767e-06,-4.942649e-06
1.025000e-11,1.642994e-06,-1.196088e-07,-1.702929e-06,3.751578e-06,-4.932381e-06
1.050000e-11,7.869044e-07,-1.383779e-06,-5.657194e-06,1.072825e-06,-4.927361e-06
1.075000e-11,-1.180256e-07,-2.646071e-06,-9.605617e-06,-1.756885e-06,-4.928637e-06
1.100000e-11,-1.005427e-06,-3.772658e-06,-1.313303e-05,-4.532386e-06,-4.936678e-06
1.125000e-11,-1.794945e-06,-4.639893e-06,-1.585587e-05,-7.005291e-06,-4.951324e-06
1.150000e-11,-2.398564e-06,-5.149215e-06,-1.746839e-05,-8.903556e-06,-4.971686e-06
1.175000e-11,-2.731962e-06,-5.240460e-06,-1.778397e-05,-9.966536e-06,-4.996031e-06
1.200000e-11,-2.729712e-06,-4.902163e-06,-1.676704e-05,-9.991994e-06,-5.021793e-06
