time,"I(LQ|XBFR1)","I(LQ|XBFR2)","I(LQ|XBFR3)","I(LQ|XBFR4)","I(LOUT|XBFR1)","I(RX1)","I(RX2)","I(RIN)","I(LYOUT)"
0.000000e+00,2.158748e-07,2.518728e-07,2.298156e-07,1.547840e-07,-2.654435e-08,-2.821754e-13,-6.049409e-14,-4.517593e-10,5.409535e-08
2.000000e-13,5.136223e-08,2.707422e-07,2.591676e-07,1.743580e-07,3.246634e-08,-1.262061e-11,-1.033958e-12,-9.858780e-07,6.081735e-08
4.000000e-13,-2.092182e-07,3.007812e-07,3.106173e-07,2.097781e-07,1.263951e-07,-1.794904e-11,-1.905733e-12,-1.987727e-06,7.305156e-08
6.000000e-13,-6.522993e-07,3.342907e-07,3.890947e-07,2.659061e-07,2.836660e-07,-2.951563e-11,-3.776480e-12,-2.983080e-06,9.252387e-08
8.000000e-13,-1.384439e-06,3.557534e-07,4.995913e-07,3.483953e-07,5.383528e-07,-4.693555e-11,-7.147174e-12,-3.975710e-06,1.212106e-07
1.000000e-12,-2.528187e-06,3.398559e-07,6.475078e-07,4.646339e-07,9.286395e-07,-6.797127e-11,-1.262991e-11,-4.965360e-06,1.616924e-07
1.200000e-12,-4.034196e-06,2.597177e-07,8.391002e-07,6.244170e-07,1.434777e-06,-7.206740e-11,-2.011753e-11,-4.966749e-06,2.173922e-07
1.400000e-12,-6.148814e-06,5.888251e-08,1.079579e-06,8.404691e-07,2.132509e-06,-5.797944e-11,-3.098695e-11,-4.947340e-06,2.927572e-07
1.600000e-12,-8.988656e-06,-3.323044e-07,1.373054e-06,1.129155e-06,3.052202e-06,2.398113e-11,-4.495684e-11,-4.929046e-06,3.935069e-07
1.800000e-12,-1.269794e-05,-1.010900e-06,1.720347e-06,1.511151e-06,4.229775e-06,2.309734e-10,-6.293390e-11,-4.906696e-06,5.268676e-07
2.000000e-12,-1.746285e-05,-2.109970e-06,2.116170e-06,2.012032e-06,5.710262e-06,6.597529e-10,-8.753337e-11,-4.878817e-06,7.017776e-07
2.200000e-12,-2.351286e-05,-3.808633e-06,2.544856e-06,2.662538e-06,7.546741e-06,1.501148e-09,-1.259683e-10,-4.844081e-06,9.289805e-07
2.400000e-12,-3.110888e-05,-6.343417e-06,2.974193e-06,3.498231e-06,9.794552e-06,3.136998e-09,-1.987329e-10,-4.801441e-06,1.220904e-06
2.600000e-12,-4.050578e-05,-1.001926e-05,3.347059e-06,4.558227e-06,1.249683e-05,6.226251e-09,-3.638130e-10,-4.750820e-06,1.591219e-06
2.800000e-12,-5.187185e-05,-1.521687e-05,3.570820e-06,5.882803e-06,1.565596e-05,1.160062e-08,-7.715025e-10,-4.694248e-06,2.054002e-06
3.000000e-12,-6.514854e-05,-2.239039e-05,3.504870e-06,7.509846e-06,1.918607e-05,1.967691e-08,-1.760900e-09,-4.637409e-06,2.622494e-06
3.200000e-12,-7.985233e-05,-3.204395e-05,2.947113e-06,9.470139e-06,2.284892e-05,2.929077e-08,-3.982452e-09,-4.591051e-06,3.307455e-06
3.400000e-12,-9.488126e-05,-4.466417e-05,1.620882e-06,1.178100e-05,2.619710e-05,3.678758e-08,-8.461893e-09,-4.570636e-06,4.114936e-06
3.600000e-12,-1.084861e-04,-6.056785e-05,-8.341424e-07,1.443708e-05,2.858408e-05,3.728698e-08,-1.637564e-08,-4.591895e-06,5.043073e-06
3.800000e-12,-1.185938e-04,-7.961182e-05,-4.859720e-06,1.739695e-05,2.931146e-05,2.862582e-08,-2.810373e-08,-4.662513e-06,6.077385e-06
4.000000e-12,-1.234796e-04,-1.007663e-04,-1.095582e-05,2.056483e-05,2.791250e-05,1.430374e-08,-4.133414e-08,-4.775694e-06,7.184395e-06
4.200000e-12,-1.224775e-04,-1.217646e-04,-1.963258e-05,2.376873e-05,2.443958e-05,1.377448e-09,-4.980260e-08,-4.911338e-06,8.303988e-06
4.400000e-12,-1.163078e-04,-1.392712e-04,-3.134379e-05,2.673857e-05,1.955444e-05,-5.335994e-09,-4.633821e-08,-5.043479e-06,9.341772e-06
4.600000e-12,-1.068214e-04,-1.497821e-04,-4.639566e-05,2.909152e-05,1.432635e-05,-7.756006e-09,-2.951153e-08,-5.148916e-06,1.016394e-05
4.800000e-12,-9.633394e-05,-1.508592e-04,-6.478843e-05,3.033479e-05,9.851274e-06,-1.393531e-08,-6.150416e-09,-5.213461e-06,1.059829e-05
5.000000e-12,-8.690752e-05,-1.420658e-04,-8.594178e-05,2.989516e-05,6.898293e-06,-3.167609e-08,1.352226e-08,-5.234075e-06,1.044448e-05
5.200000e-12,-7.987369e-05,-1.252203e-04,-1.083367e-04,2.717532e-05,5.732495e-06,-5.926738e-08,2.290579e-08,-5.217014e-06,9.493775e-06
5.400000e-12,-7.571716e-05,-1.039111e-04,-1.293068e-04,2.162065e-05,6.150628e-06,-8.143620e-08,2.202733e-08,-5.173743e-06,7.552337e-06
5.600000e-12,-7.424704e-05,-8.247883e-05,-1.453834e-04,1.276510e-05,7.659379e-06,-7.950757e-08,1.531803e-08,-5.116774e-06,4.457279e-06
5.800000e-12,-7.488315e-05,-6.486808e-05,-1.533077e-04,2.430510e-07,9.679296e-06,-4.864991e-08,7.916561e-09,-5.056745e-06,8.082344e-08
6.000000e-12,-7.691313e-05,-5.377819e-05,-1.512053e-04,-1.619258e-05,1.169196e-05,-2.408724e-09,4.172792e-09,-5.001118e-06,-5.663392e-06
6.200000e-12,-7.966357e-05,-5.032652e-05,-1.392783e-04,-3.656741e-05,1.331288e-05,3.880358e-08,8.407723e-09,-4.954200e-06,-1.278432e-05
6.400000e-12,-8.259156e-05,-5.416727e-05,-1.197478e-04,-6.044098e-05,1.431253e-05,6.176442e-08,2.456844e-08,-4.917982e-06,-2.112804e-05
6.600000e-12,-8.532165e-05,-6.386346e-05,-9.620989e-05,-8.655992e-05,1.461322e-05,6.541021e-08,5.093177e-08,-4.893230e-06,-3.025649e-05
6.800000e-12,-8.764841e-05,-7.729900e-05,-7.279521e-05,-1.125731e-04,1.427678e-05,5.625092e-08,7.317314e-08,-4.880384e-06,-3.934800e-05
7.000000e-12,-8.951519e-05,-9.201205e-05,-5.343426e-05,-1.351243e-04,1.348470e-05,4.149655e-08,6.985503e-08,-4.879899e-06,-4.722953e-05
7.200000e-12,-9.097010e-05,-1.054707e-04,-4.127149e-05,-1.506468e-04,1.250119e-05,2.538036e-08,3.332906e-08,-4.891986e-06,-5.265459e-05
7.400000e-12,-9.209732e-05,-1.153902e-04,-3.820857e-05,-1.566108e-04,1.161025e-05,8.833534e-09,-1.937125e-08,-4.915946e-06,-5.473901e-05
7.600000e-12,-9.293882e-05,-1.201265e-04,-4.463407e-05,-1.524478e-04,1.103562e-05,-9.348215e-09,-6.086475e-08,-4.949586e-06,-5.328420e-05
7.800000e-12,-9.344102e-05,-1.190431e-04,-5.937575e-05,-1.396362e-04,1.087492e-05,-3.032642e-08,-7.526523e-08,-4.989143e-06,-4.880681e-05
8.000000e-12,-9.345619e-05,-1.126973e-04,-7.984868e-05,-1.210089e-04,1.107877e-05,-5.176055e-08,-6.638842e-08,-5.029801e-06,-4.229693e-05
8.200000e-12,-9.279817e-05,-1.027385e-04,-1.023865e-04,-9.975645e-05,1.148274e-05,-6.567494e-08,-4.897862e-08,-5.066611e-06,-3.486958e-05
8.400000e-12,-9.132246e-05,-9.150313e-05,-1.228300e-04,-7.862945e-05,1.187348e-05,-6.272690e-08,-3.506407e-08,-5.095462e-06,-2.748608e-05
8.600000e-12,-8.899286e-05,-8.140305e-05,-1.373931e-04,-5.958071e-05,1.205890e-05,-4.116977e-08,-2.748281e-08,-5.113782e-06,-2.082890e-05
8.800000e-12,-8.591155e-05,-7.431454e-05,-1.435589e-04,-4.377765e-05,1.191934e-05,-1.001415e-08,-2.245096e-08,-5.120789e-06,-1.530604e-05
9.000000e-12,-8.231167e-05,-7.118322e-05,-1.406124e-04,-3.177812e-05,1.143128e-05,1.798596e-08,-1.571660e-08,-5.117273e-06,-1.111249e-05
9.200000e-12,-7.852474e-05,-7.194866e-05,-1.295858e-04,-2.370507e-05,1.066626e-05,3.594676e-08,-6.622875e-09,-5.105100e-06,-8.291196e-06
9.400000e-12,-7.493594e-05,-7.575339e-05,-1.126839e-04,-1.936295e-05,9.772087e-06,4.588400e-08,2.003551e-09,-5.086646e-06,-6.773821e-06
9.600000e-12,-7.193391e-05,-8.130364e-05,-9.249941e-05,-1.831163e-05,8.941990e-06,5.373859e-08,6.786479e-09,-5.064396e-06,-6.406543e-06
9.800000e-12,-6.985708e-05,-8.722861e-05,-7.137371e-05,-1.992805e-05,8.376460e-06,6.236713e-08,6.791546e-09,-5.040765e-06,-6.971608e-06
1.000000e-11,-6.893994e-05,-9.233577e-05,-5.110587e-05,-2.346989e-05,8.243318e-06,6.857675e-08,4.452191e-09,-5.018091e-06,-8.209583e-06
1.020000e-11,-6.926715e-05,-9.573742e-05,-3.297689e-05,-2.814060e-05,8.643416e-06,6.572870e-08,4.041401e-09,-4.998665e-06,-9.842086e-06
1.040000e-11,-7.074687e-05,-9.688131e-05,-1.790861e-05,-3.315233e-05,9.589572e-06,4.945550e-08,8.897313e-09,-4.984676e-06,-1.159378e-05
1.060000e-11,-7.311257e-05,-9.553209e-05,-6.581044e-06,-3.778641e-05,1.100350e-05,2.225014e-08,1.921816e-08,-4.978000e-06,-1.321349e-05
1.080000e-11,-7.595566e-05,-9.173221e-05,5.512570e-07,-4.145009e-05,1.273043e-05,-6.606168e-09,3.171667e-08,-4.979880e-06,-1.449407e-05
