time,"I(ROUT)"
0.000000e+00,-5.079931e-21
2.000000e-13,-5.850818e-08
4.000000e-13,-1.256215e-07
6.000000e-13,-1.883804e-07
8.000000e-13,-2.260797e-07
1.000000e-12,-2.067263e-07
1.200000e-12,-9.354784e-08
1.400000e-12,1.474655e-07
1.600000e-12,5.421410e-07
1.800000e-12,1.106885e-06
2.000000e-12,1.851719e-06
2.200000e-12,2.785642e-06
2.400000e-12,3.921242e-06
2.600000e-12,5.275739e-06
2.800000e-12,6.867330e-06
3.000000e-12,8.708219e-06
3.200000e-12,1.079753e-05
3.400000e-12,1.311689e-05
3.600000e-12,1.562900e-05
3.800000e-12,1.827730e-05
4.000000e-12,2.098452e-05
4.200000e-12,2.365007e-05
4.400000e-12,2.614865e-05
4.600000e-12,2.833446e-05
4.800000e-12,3.005388e-05
5.000000e-12,3.116554e-05
5.200000e-12,3.156151e-05
5.400000e-12,3.118195e-05
5.600000e-12,3.001832e-05
5.800000e-12,2.810634e-05
6.000000e-12,2.551406e-05
6.200000e-12,2.233178e-05
6.400000e-12,1.866806e-05
6.600000e-12,1.465228e-05
6.800000e-12,1.043920e-05
7.000000e-12,6.209831e-06
7.200000e-12,2.164739e-06
7.400000e-12,-1.489400e-06
7.600000e-12,-4.555959e-06
7.800000e-12,-6.863403e-06
8.000000e-12,-8.278036e-06
8.200000e-12,-8.715684e-06
8.400000e-12,-8.153685e-06
8.600000e-12,-6.642522e-06
8.800000e-12,-4.313748e-06
9.000000e-12,-1.379468e-06
9.200000e-12,1.880319e-06
9.400000e-12,5.142886e-06
9.600000e-12,8.076659e-06
9.800000e-12,1.037741e-05
1.000000e-11,1.180064e-05
1.020000e-11,1.218678e-05
1.040000e-11,1.147870e-05
1.060000e-11,9.732625e-06
1.080000e-11,7.121840e-06
1.100000e-11,3.929556e-06
1.120000e-11,5.250465e-07
1.140000e-11,-2.680161e-06
1.160000e-11,-5.291102e-06
1.180000e-11,-6.990198e-06
1.200000e-11,-7.585796e-06
1.220000e-11,-7.040290e-06
1.240000e-11,-5.476845e-06
1.260000e-11,-3.165852e-06
1.280000e-11,-4.901140e-07
1.300000e-11,2.111624e-06
1.320000e-11,4.215896e-06
1.340000e-11,5.485072e-06
1.360000e-11,5.721052e-06
1.380000e-11,4.893755e-06
1.400000e-11,3.144614e-06
1.420000e-11,7.673786e-07
1.440000e-11,-1.834790e-06
1.460000e-11,-4.216791e-06
1.480000e-11,-5.975369e-06
1.500000e-11,-6.829377e-06
1.520000e-11,-6.674533e-06
1.540000e-11,-5.600113e-06
1.560000e-11,-3.867367e-06
1.580000e-11,-1.856420e-06
1.600000e-11,8.871448e-09
1.620000e-11,1.345269e-06
1.640000e-11,1.886609e-06
1.660000e-11,1.535296e-06
1.680000e-11,3.781523e-07
1.700000e-11,-1.335118e-06
1.720000e-11,-3.245743e-06
1.740000e-11,-4.962257e-06
1.760000e-11,-6.145185e-06
1.780000e-11,-6.581447e-06
1.800000e-11,-6.229947e-06
1.820000e-11,-5.226482e-06
1.840000e-11,-3.847303e-06
1.860000e-11,-2.441437e-06
1.880000e-11,-1.348798e-06
1.900000e-11,-8.232356e-07
1.920000e-11,-9.775234e-07
1.940000e-11,-1.762104e-06
1.960000e-11,-2.981972e-06
1.980000e-11,-4.347542e-06
2.000000e-11,-5.547100e-06
2.020000e-11,-6.264272e-06
2.040000e-11,-6.402908e-06
2.060000e-11,-5.968511e-06
2.080000e-11,-5.101104e-06
2.100000e-11,-4.036675e-06
2.120000e-11,-3.043131e-06
2.140000e-11,-2.354246e-06
2.160000e-11,-2.116321e-06
2.180000e-11,-2.358656e-06
2.200000e-11,-2.993814e-06
2.220000e-11,-3.846177e-06
2.240000e-11,-4.699766e-06
2.260000e-11,-5.352012e-06
2.280000e-11,-5.660356e-06
2.300000e-11,-5.571906e-06
2.320000e-11,-5.130723e-06
2.340000e-11,-4.462089e-06
2.360000e-11,-3.738270e-06
2.380000e-11,-3.134803e-06
2.400000e-11,-2.788505e-06
2.420000e-11,-2.767214e-06
2.440000e-11,-3.057579e-06
2.460000e-11,-3.572593e-06
2.480000e-11,-4.176202e-06
2.500000e-11,-4.718582e-06
2.520000e-11,-5.073137e-06
2.540000e-11,-5.165900e-06
2.560000e-11,-4.990312e-06
2.580000e-11,-4.604609e-06
2.600000e-11,-4.113738e-06
2.620000e-11,-3.641298e-06
2.640000e-11,-3.298911e-06
2.660000e-11,-3.160413e-06
2.680000e-11,-3.246623e-06
2.700000e-11,-3.523625e-06
2.720000e-11,-3.914123e-06
2.740000e-11,-4.318380e-06
2.760000e-11,-4.639225e-06
2.780000e-11,-4.805018e-06
2.800000e-11,-4.785251e-06
2.820000e-11,-4.595475e-06
2.840000e-11,-4.290934e-06
2.860000e-11,-3.951061e-06
2.880000e-11,-3.659076e-06
2.900000e-11,-3.481900e-06
2.920000e-11,-3.455137e-06
2.940000e-11,-3.576403e-06
2.980000e-11,-4.088327e-06
3.000000e-11,-4.347303e-06
3.020000e-11,-4.524344e-06
3.040000e-11,-4.581982e-06
3.060000e-11,-4.513530e-06
3.080000e-11,-4.342836e-06
3.100000e-11,-4.116738e-06
3.120000e-11,-3.892492e-06
3.140000e-11,-3.723492e-06
3.160000e-11,-3.646785e-06
3.180000e-11,-3.675221e-06
3.200000e-11,-3.795828e-06
3.220000e-11,-3.974419e-06
3.240000e-11,-4.164972e-06
3.260000e-11,-4.321296e-06
3.280000e-11,-4.408069e-06
3.300000e-11,-4.408645e-06
3.320000e-11,-4.327950e-06
3.340000e-11,-4.190038e-06
3.360000e-11,-4.031215e-06
3.380000e-11,-3.890642e-06
3.400000e-11,-3.800813e-06
3.420000e-11,-3.780191e-06
3.440000e-11,-3.829631e-06
3.460000e-11,-3.933206e-06
3.480000e-11,-4.062994e-06
3.500000e-11,-4.186456e-06
3.520000e-11,-4.274478e-06
3.540000e-11,-4.308127e-06
3.560000e-11,-4.282579e-06
3.580000e-11,-4.207429e-06
3.600000e-11,-4.103550e-06
3.620000e-11,-3.997435e-06
3.640000e-11,-3.914547e-06
3.660000e-11,-3.873300e-06
3.680000e-11,-3.881089e-06
3.700000e-11,-3.933171e-06
3.720000e-11,-4.014510e-06
3.740000e-11,-4.103968e-06
3.760000e-11,-4.179704e-06
3.780000e-11,-4.224440e-06
3.800000e-11,-4.229314e-06
3.820000e-11,-4.195509e-06
3.840000e-11,-4.133376e-06
3.860000e-11,-4.059423e-06
3.880000e-11,-3.992005e-06
3.900000e-11,-3.946835e-06
3.920000e-11,-3.933386e-06
3.940000e-11,-3.953003e-06
3.960000e-11,-3.999054e-06
3.980000e-11,-4.058988e-06
4.000000e-11,-4.117677e-06
4.020000e-11,-4.161179e-06
4.040000e-11,-4.180003e-06
4.060000e-11,-4.171106e-06
4.080000e-11,-4.138246e-06
4.100000e-11,-4.090683e-06
4.120000e-11,-4.040638e-06
4.140000e-11,-4.000206e-06
4.160000e-11,-3.978474e-06
4.180000e-11,-3.979529e-06
4.200000e-11,-4.001779e-06
4.220000e-11,-4.038664e-06
4.240000e-11,-4.080517e-06
4.260000e-11,-4.117050e-06
4.280000e-11,-4.139854e-06
4.300000e-11,-4.144290e-06
4.320000e-11,-4.130381e-06
4.340000e-11,-4.102530e-06
4.360000e-11,-4.068207e-06
4.380000e-11,-4.035991e-06
4.400000e-11,-4.013448e-06
4.420000e-11,-4.005392e-06
4.440000e-11,-4.012892e-06
4.460000e-11,-4.033243e-06
4.480000e-11,-4.060828e-06
4.500000e-11,-4.088636e-06
4.520000e-11,-4.110013e-06
4.540000e-11,-4.120233e-06
4.560000e-11,-4.117513e-06
4.580000e-11,-4.103265e-06
4.600000e-11,-4.081569e-06
4.620000e-11,-4.058046e-06
4.640000e-11,-4.038418e-06
4.660000e-11,-4.027143e-06
4.680000e-11,-4.026422e-06
4.700000e-11,-4.035805e-06
4.720000e-11,-4.052456e-06
4.740000e-11,-4.071974e-06
4.760000e-11,-4.089527e-06
4.780000e-11,-4.101041e-06
4.800000e-11,-4.104121e-06
4.820000e-11,-4.098529e-06
4.840000e-11,-4.086111e-06
4.860000e-11,-4.070234e-06
4.880000e-11,-4.054893e-06
4.900000e-11,-4.043719e-06
4.920000e-11,-4.039135e-06
4.940000e-11,-4.041847e-06
4.960000e-11,-4.050778e-06
4.980000e-11,-4.063430e-06
5.000000e-11,-4.076562e-06
5.020000e-11,-4.087011e-06
5.040000e-11,-4.092440e-06
5.060000e-11,-4.091847e-06
5.080000e-11,-4.085730e-06
5.100000e-11,-4.075873e-06
5.120000e-11,-4.064852e-06
5.140000e-11,-4.055365e-06
5.160000e-11,-4.049588e-06
5.180000e-11,-4.048682e-06
5.200000e-11,-4.052576e-06
5.220000e-11,-4.060058e-06
5.240000e-11,-4.069130e-06
5.260000e-11,-4.077532e-06
5.280000e-11,-4.083298e-06
5.300000e-11,-4.085206e-06
5.320000e-11,-4.083027e-06
5.340000e-11,-4.077523e-06
5.360000e-11,-4.070203e-06
5.380000e-11,-4.062923e-06
5.400000e-11,-4.057418e-06
5.420000e-11,-4.054898e-06
5.440000e-11,-4.055789e-06
5.460000e-11,-4.059678e-06
5.480000e-11,-4.065459e-06
5.500000e-11,-4.071641e-06
5.520000e-11,-4.076723e-06
5.540000e-11,-4.079558e-06
5.560000e-11,-4.079601e-06
5.580000e-11,-4.077005e-06
5.600000e-11,-4.072546e-06
5.620000e-11,-4.067399e-06
5.640000e-11,-4.062833e-06
5.660000e-11,-4.059903e-06
5.680000e-11,-4.059214e-06
5.700000e-11,-4.060797e-06
5.720000e-11,-4.064142e-06
5.740000e-11,-4.068345e-06
5.760000e-11,-4.072352e-06
5.780000e-11,-4.075219e-06
5.800000e-11,-4.076327e-06
5.820000e-11,-4.075517e-06
5.840000e-11,-4.073093e-06
5.860000e-11,-4.069730e-06
5.880000e-11,-4.066287e-06
5.900000e-11,-4.063590e-06
5.920000e-11,-4.062239e-06
5.940000e-11,-4.062477e-06
5.960000e-11,-4.064155e-06
5.980000e-11,-4.066786e-06
6.000000e-11,-4.069686e-06
6.020000e-11,-4.072148e-06
6.040000e-11,-4.073608e-06
6.060000e-11,-4.073778e-06
6.080000e-11,-4.072692e-06
6.100000e-11,-4.070685e-06
6.120000e-11,-4.068288e-06
6.140000e-11,-4.066099e-06
6.160000e-11,-4.064626e-06
6.180000e-11,-4.064181e-06
6.200000e-11,-4.064807e-06
6.220000e-11,-4.066294e-06
6.240000e-11,-4.068235e-06
6.260000e-11,-4.070139e-06
6.280000e-11,-4.071556e-06
6.300000e-11,-4.072174e-06
6.320000e-11,-4.071893e-06
6.340000e-11,-4.070834e-06
6.360000e-11,-4.069295e-06
6.380000e-11,-4.067671e-06
6.400000e-11,-4.066356e-06
6.420000e-11,-4.065646e-06
6.440000e-11,-4.065673e-06
6.460000e-11,-4.066389e-06
6.480000e-11,-4.067582e-06
6.500000e-11,-4.068939e-06
6.520000e-11,-4.070126e-06
6.540000e-11,-4.070869e-06
6.560000e-11,-4.071019e-06
6.580000e-11,-4.070573e-06
6.600000e-11,-4.069673e-06
6.620000e-11,-4.068561e-06
6.640000e-11,-4.067515e-06
6.660000e-11,-4.066781e-06
6.680000e-11,-4.066515e-06
6.700000e-11,-4.066754e-06
6.720000e-11,-4.067411e-06
6.740000e-11,-4.068304e-06
6.760000e-11,-4.069206e-06
6.780000e-11,-4.069901e-06
6.800000e-11,-4.070236e-06
6.820000e-11,-4.070152e-06
6.840000e-11,-4.069693e-06
6.860000e-11,-4.068991e-06
6.880000e-11,-4.068228e-06
6.900000e-11,-4.067590e-06
6.920000e-11,-4.067222e-06
6.940000e-11,-4.067195e-06
6.960000e-11,-4.067497e-06
6.980000e-11,-4.068035e-06
7.000000e-11,-4.068668e-06
7.020000e-11,-4.069238e-06
7.040000e-11,-4.069613e-06
