time,"I(LQ|XBFR1)"
0.000000e+00,4.082186e-08
2.000000e-13,3.959377e-08
4.000000e-13,3.714715e-08
6.000000e-13,3.241437e-08
8.000000e-13,2.409220e-08
1.000000e-12,1.259445e-08
1.200000e-12,1.100296e-09
1.400000e-12,-3.229070e-09
1.600000e-12,1.237764e-08
1.800000e-12,6.849203e-08
2.000000e-12,1.964350e-07
2.200000e-12,4.421880e-07
2.400000e-12,8.714209e-07
2.600000e-12,1.575703e-06
2.800000e-12,2.679902e-06
3.000000e-12,4.350852e-06
3.200000e-12,6.807363e-06
3.400000e-12,1.033090e-05
3.600000e-12,1.527375e-05
3.800000e-12,2.205655e-05
4.000000e-12,3.114093e-05
4.200000e-12,4.295714e-05
4.400000e-12,5.776494e-05
4.600000e-12,7.543263e-05
4.800000e-12,9.515611e-05
5.000000e-12,1.152374e-04
5.200000e-12,1.331556e-04
5.400000e-12,1.461049e-04
5.600000e-12,1.518433e-04
5.800000e-12,1.494232e-04
6.000000e-12,1.394360e-04
6.200000e-12,1.236935e-04
6.400000e-12,1.045569e-04
6.600000e-12,8.425529e-05
6.800000e-12,6.446003e-05
7.000000e-12,4.618557e-05
7.200000e-12,2.992395e-05
7.400000e-12,1.586174e-05
7.600000e-12,4.058862e-06
7.800000e-12,-5.459741e-06
8.000000e-12,-1.268425e-05
8.200000e-12,-1.762994e-05
8.400000e-12,-2.034529e-05
8.600000e-12,-2.091090e-05
8.800000e-12,-1.943799e-05
9.000000e-12,-1.607723e-05
9.200000e-12,-1.103948e-05
9.400000e-12,-4.618088e-06
9.600000e-12,2.803172e-06
9.800000e-12,1.076571e-05
1.000000e-11,1.876923e-05
1.020000e-11,2.630708e-05
1.040000e-11,3.289271e-05
1.060000e-11,3.807889e-05
1.080000e-11,4.147938e-05
1.100000e-11,4.279960e-05
1.120000e-11,4.187237e-05
1.140000e-11,3.868676e-05
1.160000e-11,3.339986e-05
1.180000e-11,2.633007e-05
1.200000e-11,1.793824e-05
1.220000e-11,8.802087e-06
1.240000e-11,-4.195998e-07
1.260000e-11,-9.041251e-06
1.280000e-11,-1.642332e-05
1.300000e-11,-2.204746e-05
1.320000e-11,-2.557115e-05
1.340000e-11,-2.684910e-05
1.360000e-11,-2.592634e-05
1.380000e-11,-2.301912e-05
1.400000e-11,-1.849611e-05
1.420000e-11,-1.285852e-05
1.440000e-11,-6.704981e-06
1.460000e-11,-6.699292e-07
1.480000e-11,4.657182e-06
1.500000e-11,8.808115e-06
1.520000e-11,1.148427e-05
1.540000e-11,1.257064e-05
1.560000e-11,1.212478e-05
1.580000e-11,1.035388e-05
1.600000e-11,7.584475e-06
1.620000e-11,4.221214e-06
1.640000e-11,6.928293e-07
1.660000e-11,-2.607054e-06
1.680000e-11,-5.368934e-06
1.700000e-11,-7.393995e-06
1.720000e-11,-8.596570e-06
1.740000e-11,-8.989813e-06
1.760000e-11,-8.663291e-06
1.780000e-11,-7.757598e-06
1.800000e-11,-6.438436e-06
1.820000e-11,-4.873061e-06
1.840000e-11,-3.213178e-06
1.860000e-11,-1.587329e-06
1.880000e-11,-1.023892e-07
1.900000e-11,1.149525e-06
1.920000e-11,2.083979e-06
1.940000e-11,2.621962e-06
1.960000e-11,2.695612e-06
1.980000e-11,2.262003e-06
2.000000e-11,1.321595e-06
2.020000e-11,-5.831512e-08
2.040000e-11,-1.748918e-06
2.060000e-11,-3.557539e-06
2.080000e-11,-5.251624e-06
2.100000e-11,-6.589839e-06
