time,"I(RINA)","I(RINB)","I(RINC)","I(LQ|XCOUT)","I(LQ|XSUM)"
0.000000e+00,-1.281525e-08,-1.281525e-08,-1.261755e-08,4.096980e-06,5.684227e-06
2.000000e-13,-1.016583e-06,-1.016583e-06,-1.016085e-06,4.667901e-06,6.482570e-06
4.000000e-13,-2.042201e-06,-2.042201e-06,-2.041318e-06,5.704671e-06,7.931761e-06
6.000000e-13,-3.067159e-06,-3.067159e-06,-3.065789e-06,7.359773e-06,1.024337e-05
8.000000e-13,-4.097882e-06,-4.097882e-06,-4.095885e-06,9.821687e-06,1.367514e-05
1.000000e-12,-5.137560e-06,-5.137560e-06,-5.134750e-06,1.334650e-05,1.856717e-05
1.200000e-12,-5.205226e-06,-5.205226e-06,-5.201392e-06,1.827603e-05,2.534686e-05
1.400000e-12,-5.271813e-06,-5.271813e-06,-5.266790e-06,2.503558e-05,3.447888e-05
1.600000e-12,-5.361347e-06,-5.361347e-06,-5.355196e-06,3.408357e-05,4.630678e-05
1.800000e-12,-5.464033e-06,-5.464033e-06,-5.457401e-06,4.576005e-05,6.073670e-05
2.000000e-12,-5.560971e-06,-5.560971e-06,-5.555495e-06,5.998495e-05,7.684569e-05
2.200000e-12,-5.617292e-06,-5.617292e-06,-5.615510e-06,7.587884e-05,9.274403e-05
2.400000e-12,-5.593074e-06,-5.593074e-06,-5.597201e-06,9.161659e-05,1.059884e-04
2.600000e-12,-5.468041e-06,-5.468041e-06,-5.478412e-06,1.048121e-04,1.143609e-04
2.800000e-12,-5.256955e-06,-5.256955e-06,-5.271716e-06,1.132746e-04,1.165644e-04
3.000000e-12,-5.003085e-06,-5.003085e-06,-5.019048e-06,1.156994e-04,1.125760e-04
3.200000e-12,-4.761112e-06,-4.761112e-06,-4.774883e-06,1.120264e-04,1.035913e-04
3.400000e-12,-4.579288e-06,-4.579288e-06,-4.588337e-06,1.033954e-04,9.159756e-05
3.600000e-12,-4.484294e-06,-4.484294e-06,-4.487719e-06,9.173785e-05,7.875862e-05
3.800000e-12,-4.475320e-06,-4.475320e-06,-4.473833e-06,7.917951e-05,6.689223e-05
4.000000e-12,-4.531268e-06,-4.531268e-06,-4.526460e-06,6.752465e-05,5.722051e-05
4.200000e-12,-4.624699e-06,-4.624699e-06,-4.618176e-06,5.800083e-05,5.038694e-05
4.400000e-12,-4.733026e-06,-4.733026e-06,-4.725898e-06,5.126419e-05,4.661806e-05
4.600000e-12,-4.842937e-06,-4.842937e-06,-4.835725e-06,4.755033e-05,4.590430e-05
4.800000e-12,-4.949518e-06,-4.949518e-06,-4.942297e-06,4.684882e-05,4.812492e-05
5.000000e-12,-5.053099e-06,-5.053099e-06,-5.045718e-06,4.902646e-05,5.308804e-05
5.200000e-12,-5.155743e-06,-5.155743e-06,-5.148057e-06,5.387008e-05,6.048113e-05
5.400000e-12,-5.257784e-06,-5.257784e-06,-5.249913e-06,6.104468e-05,6.974948e-05
5.600000e-12,-5.354140e-06,-5.354140e-06,-5.346775e-06,6.998533e-05,7.997096e-05
5.800000e-12,-5.431149e-06,-5.431149e-06,-5.425753e-06,7.978833e-05,8.985383e-05
6.000000e-12,-5.466998e-06,-5.466998e-06,-5.465585e-06,8.921775e-05,9.794568e-05
6.200000e-12,-5.439658e-06,-5.439658e-06,-5.443875e-06,9.690411e-05,1.029885e-04
6.400000e-12,-5.340080e-06,-5.340080e-06,-5.350132e-06,1.016737e-04,1.042510e-04
6.600000e-12,-5.180492e-06,-5.180492e-06,-5.194796e-06,1.028539e-04,1.017017e-04
6.800000e-12,-4.991327e-06,-4.991327e-06,-5.007073e-06,1.004299e-04,9.597699e-05
7.000000e-12,-4.810555e-06,-4.810555e-06,-4.824660e-06,9.500938e-05,8.817221e-05
7.200000e-12,-4.671428e-06,-4.671428e-06,-4.681500e-06,8.762677e-05,7.954305e-05
7.400000e-12,-4.592794e-06,-4.592794e-06,-4.597783e-06,7.946460e-05,7.122532e-05
7.600000e-12,-4.575589e-06,-4.575589e-06,-4.575845e-06,7.159411e-05,6.405878e-05
7.800000e-12,-4.606870e-06,-4.606870e-06,-4.603642e-06,6.481028e-05,5.853767e-05
8.000000e-12,-4.668119e-06,-4.668119e-06,-4.662849e-06,5.958279e-05,5.485786e-05
8.200000e-12,-4.742697e-06,-4.742697e-06,-4.736510e-06,5.609682e-05,5.301072e-05
8.400000e-12,-4.819618e-06,-4.819618e-06,-4.813123e-06,5.433869e-05,5.288070e-05
8.600000e-12,-4.893774e-06,-4.893774e-06,-4.887113e-06,5.418672e-05,5.431735e-05
8.800000e-12,-4.964236e-06,-4.964236e-06,-4.957243e-06,5.547986e-05,5.716598e-05
9.000000e-12,-5.032115e-06,-5.032115e-06,-5.024497e-06,5.804903e-05,6.125246e-05
9.200000e-12,-5.098738e-06,-5.098738e-06,-5.090241e-06,6.170844e-05,6.633294e-05
9.400000e-12,-5.164257e-06,-5.164257e-06,-5.154826e-06,6.621757e-05,7.203630e-05
9.600000e-12,-5.226587e-06,-5.226587e-06,-5.216542e-06,7.123850e-05,7.783875e-05
9.800000e-12,-5.280732e-06,-5.280732e-06,-5.270928e-06,7.631971e-05,8.310195e-05
1.000000e-11,-5.318774e-06,-5.318774e-06,-5.310692e-06,8.092858e-05,8.717542e-05
1.020000e-11,-5.330949e-06,-5.330949e-06,-5.326580e-06,8.453160e-05,8.952916e-05
1.040000e-11,-5.308218e-06,-5.308218e-06,-5.309613e-06,8.669606e-05,8.986699e-05
1.060000e-11,-5.246226e-06,-5.246226e-06,-5.254699e-06,8.717625e-05,8.818120e-05
1.080000e-11,-5.148968e-06,-5.148968e-06,-5.164337e-06,8.595468e-05,8.473277e-05
1.100000e-11,-5.029430e-06,-5.029430e-06,-5.049827e-06,8.322656e-05,7.996700e-05
1.120000e-11,-4.906203e-06,-4.906203e-06,-4.928605e-06,7.933547e-05,7.439495e-05
1.140000e-11,-4.797818e-06,-4.797818e-06,-4.818998e-06,7.468276e-05,6.847987e-05
1.160000e-11,-4.717478e-06,-4.717478e-06,-4.734937e-06,6.963981e-05,6.256075e-05
1.180000e-11,-4.670097e-06,-4.670097e-06,-4.682664e-06,6.448677e-05,5.682620e-05
