time,"I(LQ|XCOUT)","I(LQ|XSUM)"
0.000000e+00,1.097613e-05,1.313500e-05
2.000000e-13,1.251529e-05,1.498027e-05
4.000000e-13,1.529706e-05,1.830700e-05
6.000000e-13,1.969877e-05,2.354791e-05
8.000000e-13,2.613300e-05,3.114506e-05
1.000000e-12,3.503853e-05,4.149854e-05
1.200000e-12,4.673254e-05,5.473334e-05
1.400000e-12,6.109104e-05,7.030960e-05
1.600000e-12,7.716054e-05,8.672627e-05
1.800000e-12,9.304674e-05,1.017024e-04
2.000000e-12,1.063504e-04,1.128516e-04
2.200000e-12,1.149282e-04,1.184316e-04
2.400000e-12,1.175423e-04,1.178256e-04
2.600000e-12,1.141746e-04,1.116583e-04
2.800000e-12,1.059708e-04,1.015568e-04
3.000000e-12,9.485028e-05,8.963642e-05
3.200000e-12,8.293417e-05,7.792973e-05
3.400000e-12,7.204223e-05,6.799335e-05
3.600000e-12,6.343413e-05,6.078630e-05
3.800000e-12,5.780138e-05,5.675198e-05
4.000000e-12,5.539929e-05,5.597409e-05
4.200000e-12,5.619502e-05,5.830134e-05
4.400000e-12,5.995283e-05,6.339043e-05
4.600000e-12,6.623185e-05,7.067047e-05
4.800000e-12,7.432472e-05,7.928433e-05
5.000000e-12,8.321697e-05,8.809908e-05
5.200000e-12,9.166235e-05,9.585321e-05
5.400000e-12,9.840169e-05,1.014127e-04
5.600000e-12,1.024464e-04,1.040288e-04
5.800000e-12,1.033059e-04,1.034959e-04
6.000000e-12,1.010768e-04,1.001612e-04
6.200000e-12,9.637849e-05,9.480061e-05
6.400000e-12,9.016645e-05,8.840767e-05
6.600000e-12,8.349461e-05,8.196994e-05
6.800000e-12,7.730467e-05,7.629868e-05
7.000000e-12,7.229698e-05,7.194525e-05
7.200000e-12,6.889305e-05,6.919719e-05
7.400000e-12,6.726399e-05,6.812278e-05
7.600000e-12,6.738622e-05,6.862846e-05
7.800000e-12,6.909195e-05,7.050445e-05
8.000000e-12,7.209804e-05,7.344988e-05
8.200000e-12,7.601592e-05,7.708498e-05
8.400000e-12,8.036161e-05,8.096773e-05
8.600000e-12,8.458849e-05,8.463020e-05
8.800000e-12,8.815276e-05,8.763633e-05
9.000000e-12,9.059949e-05,8.964750e-05
9.200000e-12,9.164212e-05,9.047478e-05
9.400000e-12,9.120865e-05,9.010113e-05
9.600000e-12,8.944077e-05,8.866765e-05
9.800000e-12,8.664825e-05,8.642977e-05
1.000000e-11,8.323414e-05,8.369721e-05
