time,"I(RINA)","I(RINB)","I(LQ|XCOUT)","I(LQ|XSUM)"
0.000000e+00,-4.019559e-09,-4.019559e-09,3.983215e-07,9.266012e-07
2.000000e-13,-9.947005e-07,-9.947005e-07,4.535443e-07,1.055903e-06
4.000000e-13,-2.003426e-06,-2.003426e-06,5.536568e-07,1.290998e-06
6.000000e-13,-3.007327e-06,-3.007327e-06,7.132351e-07,1.666667e-06
8.000000e-13,-4.010993e-06,-4.010993e-06,9.506282e-07,2.226532e-06
1.000000e-12,-5.015289e-06,-5.015289e-06,1.291410e-06,3.031025e-06
1.200000e-12,-5.036528e-06,-5.036528e-06,1.771587e-06,4.164511e-06
1.400000e-12,-5.044042e-06,-5.044042e-06,2.441483e-06,5.743555e-06
1.600000e-12,-5.062574e-06,-5.062574e-06,3.371008e-06,7.927436e-06
1.800000e-12,-5.090551e-06,-5.090551e-06,4.656908e-06,1.093090e-05
2.000000e-12,-5.131026e-06,-5.131026e-06,6.432430e-06,1.503704e-05
2.200000e-12,-5.187758e-06,-5.187758e-06,8.879635e-06,2.060431e-05
2.400000e-12,-5.264064e-06,-5.264064e-06,1.224406e-05,2.805579e-05
2.600000e-12,-5.360519e-06,-5.360519e-06,1.685018e-05,3.783191e-05
2.800000e-12,-5.470516e-06,-5.470516e-06,2.311348e-05,5.028298e-05
3.000000e-12,-5.573873e-06,-5.573873e-06,3.153884e-05,6.548129e-05
3.200000e-12,-5.633104e-06,-5.633104e-06,4.268447e-05,8.295813e-05
3.400000e-12,-5.603972e-06,-5.603972e-06,5.705361e-05,1.014386e-04
3.600000e-12,-5.463172e-06,-5.463172e-06,7.486565e-05,1.187589e-04
3.800000e-12,-5.227993e-06,-5.227993e-06,9.568776e-05,1.321891e-04
4.000000e-12,-4.949241e-06,-4.949241e-06,1.180322e-04,1.391660e-04
4.200000e-12,-4.690023e-06,-4.690023e-06,1.392308e-04,1.381069e-04
4.400000e-12,-4.503090e-06,-4.503090e-06,1.559212e-04,1.288790e-04
4.600000e-12,-4.412871e-06,-4.412871e-06,1.650651e-04,1.127033e-04
4.800000e-12,-4.411434e-06,-4.411434e-06,1.649729e-04,9.157647e-05
5.000000e-12,-4.470408e-06,-4.470408e-06,1.558256e-04,6.752899e-05
5.200000e-12,-4.558304e-06,-4.558304e-06,1.394880e-04,4.207172e-05
5.400000e-12,-4.652168e-06,-4.652168e-06,1.187611e-04,1.603079e-05
5.600000e-12,-4.740641e-06,-4.740641e-06,9.647984e-05,-1.022643e-05
5.800000e-12,-4.821390e-06,-4.821390e-06,7.486016e-05,-3.633509e-05
6.000000e-12,-4.896876e-06,-4.896876e-06,5.527484e-05,-6.149613e-05
6.200000e-12,-4.970984e-06,-4.970984e-06,3.838195e-05,-8.425765e-05
6.400000e-12,-5.047264e-06,-5.047264e-06,2.441019e-05,-1.026037e-04
6.600000e-12,-5.128388e-06,-5.128388e-06,1.342423e-05,-1.144133e-04
6.800000e-12,-5.215843e-06,-5.215843e-06,5.482170e-06,-1.181693e-04
