time,"I(RINA)","I(RINB)","I(RINC)","I(LQ|X1)","I(LQ|X2)"
0.000000e+00,-1.104262e-08,-1.104262e-08,-1.104262e-08,5.702129e-06,6.066497e-06
2.000000e-13,-1.004694e-06,-1.004694e-06,-1.004694e-06,6.507413e-06,6.919664e-06
4.000000e-13,-2.029354e-06,-2.029354e-06,-2.029354e-06,7.971499e-06,8.468587e-06
6.000000e-13,-3.050738e-06,-3.050738e-06,-3.050738e-06,1.030942e-05,1.093895e-05
8.000000e-13,-4.076688e-06,-4.076688e-06,-4.076688e-06,1.378307e-05,1.460354e-05
1.000000e-12,-5.110195e-06,-5.110195e-06,-5.110195e-06,1.873573e-05,1.981628e-05
1.200000e-12,-5.177169e-06,-5.177169e-06,-5.177169e-06,2.559460e-05,2.700813e-05
1.400000e-12,-5.231273e-06,-5.231273e-06,-5.231273e-06,3.482113e-05,3.661980e-05
1.600000e-12,-5.309076e-06,-5.309076e-06,-5.309076e-06,4.676100e-05,4.892038e-05
1.800000e-12,-5.402731e-06,-5.402731e-06,-5.402731e-06,6.134388e-05,6.367752e-05
2.000000e-12,-5.500690e-06,-5.500690e-06,-5.500690e-06,7.769390e-05,7.979367e-05
2.200000e-12,-5.577163e-06,-5.577163e-06,-5.577163e-06,9.395735e-05,9.525387e-05
2.400000e-12,-5.594187e-06,-5.594187e-06,-5.594187e-06,1.076761e-04,1.076229e-04
2.600000e-12,-5.520279e-06,-5.520279e-06,-5.520279e-06,1.165650e-04,1.148310e-04
2.800000e-12,-5.352712e-06,-5.352712e-06,-5.352712e-06,1.192366e-04,1.158142e-04
3.000000e-12,-5.121461e-06,-5.121461e-06,-5.121461e-06,1.155836e-04,1.107897e-04
3.200000e-12,-4.875957e-06,-4.875957e-06,-4.875957e-06,1.067456e-04,1.011250e-04
3.400000e-12,-4.667528e-06,-4.667528e-06,-4.667528e-06,9.469651e-05,8.886350e-05
3.600000e-12,-4.533116e-06,-4.533116e-06,-4.533116e-06,8.162939e-05,7.611655e-05
3.800000e-12,-4.484614e-06,-4.484614e-06,-4.484614e-06,6.941542e-05,6.458749e-05
4.000000e-12,-4.509768e-06,-4.509768e-06,-4.509768e-06,5.932734e-05,5.537524e-05
4.200000e-12,-4.583370e-06,-4.583370e-06,-4.583370e-06,5.203515e-05,4.902284e-05
4.400000e-12,-4.680048e-06,-4.680048e-06,-4.680048e-06,4.775893e-05,4.568590e-05
4.600000e-12,-4.781822e-06,-4.781822e-06,-4.781822e-06,4.645364e-05,4.530652e-05
