time,"I(RINA)","I(RINB)","I(RINC)","I(LQ|X1)","I(LQ|X2)"
0.000000e+00,-1.104198e-08,-1.104198e-08,-1.104198e-08,5.700490e-06,6.064902e-06
2.000000e-13,-1.004692e-06,-1.004692e-06,-1.004692e-06,6.500530e-06,6.917648e-06
4.000000e-13,-2.029351e-06,-2.029351e-06,-2.029351e-06,7.952359e-06,8.465596e-06
6.000000e-13,-3.050733e-06,-3.050733e-06,-3.050733e-06,1.026825e-05,1.093404e-05
8.000000e-13,-4.076682e-06,-4.076682e-06,-4.076682e-06,1.370652e-05,1.459514e-05
1.000000e-12,-5.110186e-06,-5.110186e-06,-5.110186e-06,1.860736e-05,1.980196e-05
1.200000e-12,-5.177158e-06,-5.177158e-06,-5.177158e-06,2.539760e-05,2.698439e-05
1.400000e-12,-5.231258e-06,-5.231258e-06,-5.231258e-06,3.454399e-05,3.658232e-05
1.600000e-12,-5.309060e-06,-5.309060e-06,-5.309060e-06,4.640691e-05,4.886509e-05
1.800000e-12,-5.402718e-06,-5.402718e-06,-5.402718e-06,6.094187e-05,6.360302e-05
2.000000e-12,-5.500685e-06,-5.500685e-06,-5.500685e-06,7.730231e-05,7.970420e-05
2.200000e-12,-5.577169e-06,-5.577169e-06,-5.577169e-06,9.364822e-05,9.516029e-05
2.400000e-12,-5.594207e-06,-5.594207e-06,-5.594207e-06,1.075040e-04,1.075400e-04
2.600000e-12,-5.520310e-06,-5.520310e-06,-5.520310e-06,1.165393e-04,1.147733e-04
2.800000e-12,-5.352749e-06,-5.352749e-06,-5.352749e-06,1.193109e-04,1.157910e-04
3.000000e-12,-5.121495e-06,-5.121495e-06,-5.121495e-06,1.156656e-04,1.108023e-04
3.200000e-12,-4.875981e-06,-4.875981e-06,-4.875981e-06,1.067224e-04,1.011660e-04
3.400000e-12,-4.667538e-06,-4.667538e-06,-4.667538e-06,9.446385e-05,8.891890e-05
3.600000e-12,-4.533111e-06,-4.533111e-06,-4.533111e-06,8.111040e-05,7.616835e-05
3.800000e-12,-4.484595e-06,-4.484595e-06,-4.484595e-06,6.856414e-05,6.461634e-05
4.000000e-12,-4.509738e-06,-4.509738e-06,-4.509738e-06,5.812279e-05,5.536104e-05
4.200000e-12,-4.583332e-06,-4.583332e-06,-4.583332e-06,5.047560e-05,4.894408e-05
4.400000e-12,-4.680004e-06,-4.680004e-06,-4.680004e-06,4.586306e-05,4.551881e-05
4.600000e-12,-4.781774e-06,-4.781774e-06,-4.781774e-06,4.427078e-05,4.502544e-05
4.800000e-12,-4.879534e-06,-4.879534e-06,-4.879534e-06,4.557770e-05,4.731062e-05
5.000000e-12,-4.971016e-06,-4.971016e-06,-4.971016e-06,4.962843e-05,5.217110e-05
5.200000e-12,-5.057860e-06,-5.057860e-06,-5.057860e-06,5.622065e-05,5.931681e-05
5.400000e-12,-5.142981e-06,-5.142981e-06,-5.142981e-06,6.500420e-05,6.826108e-05
5.600000e-12,-5.228195e-06,-5.228195e-06,-5.228195e-06,7.531775e-05,7.818996e-05
5.800000e-12,-5.311566e-06,-5.311566e-06,-5.311566e-06,8.606834e-05,8.792829e-05
6.000000e-12,-5.384414e-06,-5.384414e-06,-5.384414e-06,9.580575e-05,9.610452e-05
6.200000e-12,-5.429809e-06,-5.429809e-06,-5.429809e-06,1.030320e-04,1.014759e-04
6.400000e-12,-5.426401e-06,-5.426401e-06,-5.426401e-06,1.066043e-04,1.032581e-04
6.600000e-12,-5.359181e-06,-5.359181e-06,-5.359181e-06,1.060408e-04,1.013173e-04
6.800000e-12,-5.230432e-06,-5.230432e-06,-5.230432e-06,1.016201e-04,9.616992e-05
7.000000e-12,-5.061629e-06,-5.061629e-06,-5.061629e-06,9.426015e-05,8.880824e-05
7.200000e-12,-4.885794e-06,-4.885794e-06,-4.885794e-06,8.523709e-05,8.042497e-05
7.400000e-12,-4.736198e-06,-4.736198e-06,-4.736198e-06,7.585341e-05,7.213573e-05
7.600000e-12,-4.636186e-06,-4.636186e-06,-4.636186e-06,6.717344e-05,6.478784e-05
7.800000e-12,-4.593335e-06,-4.593335e-06,-4.593335e-06,5.989483e-05,5.889003e-05
8.000000e-12,-4.600113e-06,-4.600113e-06,-4.600113e-06,5.435249e-05,5.464429e-05
8.200000e-12,-4.640058e-06,-4.640058e-06,-4.640058e-06,5.060694e-05,5.203566e-05
8.400000e-12,-4.695419e-06,-4.695419e-06,-4.695419e-06,4.856209e-05,5.093575e-05
8.600000e-12,-4.752580e-06,-4.752580e-06,-4.752580e-06,4.807076e-05,5.118829e-05
8.800000e-12,-4.804072e-06,-4.804072e-06,-4.804072e-06,4.900330e-05,5.265736e-05
9.000000e-12,-4.847894e-06,-4.847894e-06,-4.847894e-06,5.126894e-05,5.523249e-05
9.200000e-12,-4.885476e-06,-4.885476e-06,-4.885476e-06,5.479132e-05,5.879677e-05
9.400000e-12,-4.919483e-06,-4.919483e-06,-4.919483e-06,5.945069e-05,6.317574e-05
9.600000e-12,-4.952233e-06,-4.952233e-06,-4.952233e-06,6.501573e-05,6.809213e-05
9.800000e-12,-4.984956e-06,-4.984956e-06,-4.984956e-06,7.109593e-05,7.315150e-05
1.000000e-11,-5.017694e-06,-5.017694e-06,-5.017694e-06,7.714357e-05,7.787303e-05
1.020000e-11,-5.049480e-06,-5.049480e-06,-5.049480e-06,8.251705e-05,8.176021e-05
1.040000e-11,-5.078648e-06,-5.078648e-06,-5.078648e-06,8.659074e-05,8.438849e-05
1.060000e-11,-5.103283e-06,-5.103283e-06,-5.103283e-06,8.887644e-05,8.548128e-05
1.080000e-11,-5.121858e-06,-5.121858e-06,-5.121858e-06,8.911705e-05,8.495135e-05
1.100000e-11,-5.133863e-06,-5.133863e-06,-5.133863e-06,8.732282e-05,8.289716e-05
1.120000e-11,-5.139974e-06,-5.139974e-06,-5.139974e-06,8.374024e-05,7.955781e-05
1.140000e-11,-5.141507e-06,-5.141507e-06,-5.141507e-06,7.876715e-05,7.524302e-05
1.160000e-11,-5.139397e-06,-5.139397e-06,-5.139397e-06,7.284494e-05,7.026045e-05
1.180000e-11,-5.133331e-06,-5.133331e-06,-5.133331e-06,6.636295e-05,6.486003e-05
1.200000e-11,-5.121605e-06,-5.121605e-06,-5.121605e-06,5.959875e-05,5.920466e-05
1.220000e-11,-5.101838e-06,-5.101838e-06,-5.101838e-06,5.270100e-05,5.336613e-05
1.240000e-11,-5.072175e-06,-5.072175e-06,-5.072175e-06,4.570695e-05,4.733822e-05
1.260000e-11,-5.032337e-06,-5.032337e-06,-5.032337e-06,3.858106e-05,4.105918e-05
1.280000e-11,-4.983957e-06,-4.983957e-06,-4.983957e-06,3.126289e-05,3.443973e-05
1.300000e-11,-4.930028e-06,-4.930028e-06,-4.930028e-06,2.371631e-05,2.739754e-05
1.320000e-11,-4.873743e-06,-4.873743e-06,-4.873743e-06,1.597325e-05,1.989928e-05
1.340000e-11,-4.817314e-06,-4.817314e-06,-4.817314e-06,8.161949e-06,1.200543e-05
1.360000e-11,-4.761405e-06,-4.761405e-06,-4.761405e-06,5.068469e-07,3.900877e-06
