time,"I(LQ|XSSA1)"
0.000000e+00,8.474284e-06
2.000000e-13,9.681671e-06
4.000000e-13,1.187503e-05
6.000000e-13,1.537527e-05
8.000000e-13,2.056882e-05
1.000000e-12,2.794939e-05
1.200000e-12,3.808630e-05
1.400000e-12,5.144732e-05
1.600000e-12,6.797733e-05
1.800000e-12,8.653315e-05
2.000000e-12,1.046988e-04
2.200000e-12,1.193915e-04
2.400000e-12,1.279141e-04
2.600000e-12,1.288417e-04
2.800000e-12,1.224175e-04
3.000000e-12,1.103678e-04
3.200000e-12,9.524362e-05
3.400000e-12,7.962043e-05
3.600000e-12,6.552588e-05
3.800000e-12,5.425109e-05
4.000000e-12,4.646231e-05
4.200000e-12,4.243679e-05
4.400000e-12,4.227818e-05
4.600000e-12,4.603059e-05
4.800000e-12,5.364604e-05
5.000000e-12,6.478200e-05
5.200000e-12,7.849035e-05
5.400000e-12,9.302916e-05
5.600000e-12,1.060699e-04
5.800000e-12,1.152980e-04
6.000000e-12,1.190999e-04
6.200000e-12,1.170143e-04
6.400000e-12,1.097898e-04
6.600000e-12,9.906478e-05
6.800000e-12,8.683676e-05
7.000000e-12,7.495397e-05
7.200000e-12,6.480488e-05
7.400000e-12,5.723992e-05
7.600000e-12,5.265376e-05
7.800000e-12,5.112684e-05
8.000000e-12,5.254851e-05
8.200000e-12,5.667889e-05
8.400000e-12,6.313595e-05
8.600000e-12,7.132613e-05
8.800000e-12,8.037776e-05
9.000000e-12,8.916187e-05
9.200000e-12,9.645107e-05
9.400000e-12,1.011801e-04
9.600000e-12,1.027017e-04
9.800000e-12,1.009309e-04
1.000000e-11,9.632884e-05
1.020000e-11,8.974102e-05
1.040000e-11,8.216128e-05
1.060000e-11,7.450705e-05
1.080000e-11,6.747177e-05
1.100000e-11,6.147584e-05
1.120000e-11,5.669704e-05
1.140000e-11,5.314126e-05
1.160000e-11,5.071582e-05
1.180000e-11,4.928225e-05
1.200000e-11,4.868242e-05
1.220000e-11,4.874462e-05
1.240000e-11,4.928187e-05
1.260000e-11,5.009360e-05
1.280000e-11,5.097650e-05
1.300000e-11,5.174292e-05
1.320000e-11,5.223985e-05
1.340000e-11,5.236032e-05
1.360000e-11,5.204278e-05
1.380000e-11,5.126004e-05
1.400000e-11,5.000339e-05
1.420000e-11,4.826894e-05
1.440000e-11,4.605066e-05
1.460000e-11,4.334066e-05
1.480000e-11,4.013408e-05
1.500000e-11,3.643523e-05
1.520000e-11,3.226278e-05
1.540000e-11,2.765437e-05
1.560000e-11,2.267183e-05
1.580000e-11,1.740653e-05
1.600000e-11,1.198139e-05
1.620000e-11,6.544228e-06
1.640000e-11,1.251476e-06
1.660000e-11,-3.750172e-06
1.680000e-11,-8.332119e-06
1.700000e-11,-1.237765e-05
1.720000e-11,-1.576923e-05
1.740000e-11,-1.838209e-05
1.760000e-11,-2.009075e-05
1.780000e-11,-2.078566e-05
1.800000e-11,-2.039278e-05
1.820000e-11,-1.888971e-05
1.840000e-11,-1.631635e-05
1.860000e-11,-1.278099e-05
1.880000e-11,-8.463769e-06
1.900000e-11,-3.617043e-06
1.920000e-11,1.439917e-06
1.940000e-11,6.336011e-06
1.960000e-11,1.067593e-05
1.980000e-11,1.407882e-05
2.000000e-11,1.622132e-05
2.020000e-11,1.687768e-05
2.040000e-11,1.595684e-05
2.060000e-11,1.352901e-05
2.080000e-11,9.829846e-06
2.100000e-11,5.238453e-06
2.120000e-11,2.322979e-07
2.140000e-11,-4.671267e-06
2.160000e-11,-8.975505e-06
2.180000e-11,-1.225814e-05
2.200000e-11,-1.421350e-05
2.220000e-11,-1.468051e-05
2.240000e-11,-1.365645e-05
2.260000e-11,-1.129709e-05
2.280000e-11,-7.901892e-06
2.300000e-11,-3.880243e-06
2.320000e-11,3.025565e-07
2.340000e-11,4.190751e-06
2.360000e-11,7.397788e-06
2.380000e-11,9.645621e-06
2.400000e-11,1.078077e-05
2.420000e-11,1.077426e-05
2.440000e-11,9.714062e-06
2.460000e-11,7.792525e-06
2.480000e-11,5.284393e-06
2.500000e-11,2.509810e-06
2.520000e-11,-2.148129e-07
2.540000e-11,-2.623909e-06
2.560000e-11,-4.531509e-06
2.580000e-11,-5.836005e-06
2.600000e-11,-6.508897e-06
2.620000e-11,-6.580072e-06
2.640000e-11,-6.126271e-06
2.660000e-11,-5.260517e-06
2.680000e-11,-4.116613e-06
2.700000e-11,-2.826900e-06
2.720000e-11,-1.499791e-06
2.740000e-11,-2.078625e-07
2.760000e-11,1.007556e-06
2.780000e-11,2.120059e-06
2.800000e-11,3.101583e-06
2.820000e-11,3.914568e-06
2.840000e-11,4.513716e-06
2.860000e-11,4.851981e-06
2.880000e-11,4.885428e-06
2.900000e-11,4.576466e-06
2.920000e-11,3.899502e-06
2.940000e-11,2.852547e-06
2.980000e-11,-1.530598e-07
3.000000e-11,-1.887344e-06
3.020000e-11,-3.557757e-06
3.040000e-11,-4.979632e-06
3.060000e-11,-5.980970e-06
3.080000e-11,-6.423909e-06
3.100000e-11,-6.222111e-06
3.120000e-11,-5.355165e-06
3.140000e-11,-3.879137e-06
3.160000e-11,-1.929072e-06
3.180000e-11,2.913031e-07
3.200000e-11,2.533677e-06
3.220000e-11,4.538488e-06
3.240000e-11,6.069780e-06
3.260000e-11,6.944877e-06
3.280000e-11,7.055800e-06
3.300000e-11,6.382151e-06
3.320000e-11,4.995452e-06
3.340000e-11,3.053534e-06
3.360000e-11,7.832015e-07
3.380000e-11,-1.548343e-06
3.400000e-11,-3.669039e-06
3.420000e-11,-5.337562e-06
3.440000e-11,-6.372580e-06
3.460000e-11,-6.672113e-06
3.480000e-11,-6.222396e-06
3.500000e-11,-5.096893e-06
3.520000e-11,-3.445872e-06
3.540000e-11,-1.476845e-06
3.560000e-11,5.726016e-07
3.580000e-11,2.465843e-06
3.600000e-11,3.996828e-06
3.620000e-11,5.013373e-06
3.640000e-11,5.431383e-06
3.660000e-11,5.239628e-06
3.680000e-11,4.496065e-06
3.700000e-11,3.316938e-06
3.720000e-11,1.859892e-06
3.740000e-11,3.028428e-07
3.760000e-11,-1.178608e-06
3.780000e-11,-2.431781e-06
3.800000e-11,-3.342531e-06
3.820000e-11,-3.844204e-06
3.840000e-11,-3.919913e-06
3.860000e-11,-3.599074e-06
3.880000e-11,-2.949462e-06
3.900000e-11,-2.066043e-06
3.920000e-11,-1.057909e-06
3.940000e-11,-3.497540e-08
3.960000e-11,9.037780e-07
