time,"I(RIN1)","I(RIN2)","I(LQ|X1)","I(LQ|X2)","I(RX1)","I(RX2)"
0.000000e+00,-6.095336e-09,-6.095336e-09,9.694606e-06,1.267271e-05,-2.737334e-10,-1.747831e-12
2.000000e-13,-1.000071e-06,-1.000071e-06,1.107705e-05,1.444992e-05,-9.405809e-08,4.310825e-08
4.000000e-13,-2.012984e-06,-2.012984e-06,1.358678e-05,1.765536e-05,-1.636763e-07,6.936083e-08
6.000000e-13,-3.022335e-06,-3.022335e-06,1.758778e-05,2.270867e-05,-2.042187e-07,8.244459e-08
8.000000e-13,-4.033288e-06,-4.033288e-06,2.351132e-05,3.004251e-05,-2.323102e-07,9.108811e-08
1.000000e-12,-5.047509e-06,-5.047509e-06,3.189150e-05,4.005900e-05,-2.472048e-07,9.452444e-08
1.200000e-12,-5.082249e-06,-5.082249e-06,4.330171e-05,5.291712e-05,-2.407545e-07,9.003167e-08
1.400000e-12,-5.108259e-06,-5.108259e-06,5.810976e-05,6.816424e-05,-2.098528e-07,7.878700e-08
1.600000e-12,-5.151598e-06,-5.151598e-06,7.598408e-05,8.442070e-05,-1.624201e-07,6.710189e-08
1.800000e-12,-5.211831e-06,-5.211831e-06,9.538032e-05,9.949188e-05,-1.199541e-07,6.267160e-08
2.000000e-12,-5.291587e-06,-5.291587e-06,1.135900e-04,1.109914e-04,-1.085203e-07,6.617116e-08
2.200000e-12,-5.389896e-06,-5.389896e-06,1.275411e-04,1.170980e-04,-1.357267e-07,6.859664e-08
2.400000e-12,-5.496511e-06,-5.496511e-06,1.348323e-04,1.170734e-04,-1.793089e-07,6.175578e-08
2.600000e-12,-5.585589e-06,-5.585589e-06,1.344665e-04,1.114180e-04,-2.035252e-07,4.870730e-08
2.800000e-12,-5.616240e-06,-5.616240e-06,1.270792e-04,1.016647e-04,-1.891189e-07,4.114788e-08
3.000000e-12,-5.550170e-06,-5.550170e-06,1.146399e-04,8.988832e-05,-1.513596e-07,4.768612e-08
3.200000e-12,-5.378307e-06,-5.378307e-06,9.976304e-05,7.813378e-05,-1.264053e-07,6.506933e-08
3.400000e-12,-5.130233e-06,-5.130233e-06,8.495377e-05,6.800231e-05,-1.381265e-07,8.113773e-08
3.600000e-12,-4.861184e-06,-4.861184e-06,7.211063e-05,6.050398e-05,-1.805673e-07,8.616718e-08
3.800000e-12,-4.630729e-06,-4.630729e-06,6.239150e-05,5.612325e-05,-2.284905e-07,8.015091e-08
4.000000e-12,-4.481718e-06,-4.481718e-06,5.634198e-05,5.497204e-05,-2.591058e-07,7.050795e-08
4.200000e-12,-4.426713e-06,-4.426713e-06,5.411738e-05,5.692275e-05,-2.645067e-07,6.541976e-08
4.400000e-12,-4.449974e-06,-4.449974e-06,5.566719e-05,6.166481e-05,-2.497243e-07,6.897379e-08
4.600000e-12,-4.522010e-06,-4.522010e-06,6.081083e-05,6.867789e-05,-2.243197e-07,8.011694e-08
4.800000e-12,-4.614936e-06,-4.614936e-06,6.917652e-05,7.716469e-05,-1.961636e-07,9.461370e-08
5.000000e-12,-4.710623e-06,-4.710623e-06,8.002951e-05,8.603409e-05,-1.709529e-07,1.078362e-07
5.200000e-12,-4.801356e-06,-4.801356e-06,9.211938e-05,9.402043e-05,-1.551117e-07,1.158076e-07
5.400000e-12,-4.886638e-06,-4.886638e-06,1.037384e-04,9.993382e-05,-1.555322e-07,1.142404e-07
5.600000e-12,-4.969512e-06,-4.969512e-06,1.130604e-04,1.029375e-04,-1.732135e-07,9.907880e-08
5.800000e-12,-5.053958e-06,-5.053958e-06,1.186144e-04,1.027360e-04,-1.979066e-07,7.076240e-08
6.000000e-12,-5.143398e-06,-5.143398e-06,1.196678e-04,9.961383e-05,-2.124383e-07,3.795311e-08
6.200000e-12,-5.239553e-06,-5.239553e-06,1.163740e-04,9.432527e-05,-2.043053e-07,1.486608e-08
6.400000e-12,-5.340721e-06,-5.340721e-06,1.096570e-04,8.788309e-05,-1.738653e-07,1.255262e-08
6.600000e-12,-5.438943e-06,-5.438943e-06,1.009015e-04,8.132101e-05,-1.322025e-07,3.065440e-08
6.800000e-12,-5.516856e-06,-5.516856e-06,9.157814e-05,7.550463e-05,-9.307880e-08,5.676790e-08
7.000000e-12,-5.547534e-06,-5.547534e-06,8.293811e-05,7.103229e-05,-7.017937e-08,7.463194e-08
7.200000e-12,-5.502645e-06,-5.502645e-06,7.585257e-05,6.822320e-05,-7.890685e-08,7.466333e-08
7.400000e-12,-5.369918e-06,-5.369918e-06,7.079538e-05,6.716084e-05,-1.274069e-07,5.910832e-08
7.600000e-12,-5.166609e-06,-5.166609e-06,6.791885e-05,6.775296e-05,-2.009058e-07,3.947200e-08
7.800000e-12,-4.934933e-06,-4.934933e-06,6.716012e-05,6.977945e-05,-2.645593e-07,2.927139e-08
8.000000e-12,-4.724645e-06,-4.724645e-06,6.832880e-05,7.291684e-05,-2.881592e-07,3.683422e-08
8.200000e-12,-4.574474e-06,-4.574474e-06,7.114911e-05,7.674827e-05,-2.697159e-07,6.162581e-08
8.400000e-12,-4.500341e-06,-4.500341e-06,7.525708e-05,8.078048e-05,-2.360935e-07,9.524710e-08
8.600000e-12,-4.494965e-06,-4.494965e-06,8.018002e-05,8.448747e-05,-2.208651e-07,1.259403e-07
8.800000e-12,-4.537286e-06,-4.537286e-06,8.533861e-05,8.738261e-05,-2.392646e-07,1.440264e-07
9.000000e-12,-4.604503e-06,-4.604503e-06,9.009932e-05,8.910052e-05,-2.787827e-07,1.457004e-07
9.200000e-12,-4.680042e-06,-4.680042e-06,9.387266e-05,8.946115e-05,-3.089577e-07,1.337581e-07
9.400000e-12,-4.755451e-06,-4.755451e-06,9.622325e-05,8.849437e-05,-3.015537e-07,1.153959e-07
9.600000e-12,-4.828124e-06,-4.828124e-06,9.694972e-05,8.641814e-05,-2.483604e-07,9.847221e-08
9.800000e-12,-4.897941e-06,-4.897941e-06,9.610649e-05,8.357888e-05,-1.667526e-07,8.799327e-08
1.000000e-11,-4.965017e-06,-4.965017e-06,9.396271e-05,8.037335e-05,-9.045758e-08,8.422254e-08
1.020000e-11,-5.028988e-06,-5.028988e-06,9.091642e-05,7.717473e-05,-5.129469e-08,8.313353e-08
1.040000e-11,-5.089009e-06,-5.089009e-06,8.739467e-05,7.428075e-05,-6.240984e-08,7.902784e-08
1.060000e-11,-5.143670e-06,-5.143670e-06,8.376962e-05,7.189079e-05,-1.120400e-07,6.804377e-08
1.080000e-11,-5.190716e-06,-5.190716e-06,8.030924e-05,7.010813e-05,-1.704834e-07,5.061592e-08
1.100000e-11,-5.227139e-06,-5.227139e-06,7.716504e-05,6.895652e-05,-2.059387e-07,3.148156e-08
1.120000e-11,-5.250067e-06,-5.250067e-06,7.438714e-05,6.839962e-05,-2.009172e-07,1.731205e-08
1.140000e-11,-5.257986e-06,-5.257986e-06,7.195150e-05,6.835588e-05,-1.610725e-07,1.335452e-08
1.160000e-11,-5.251036e-06,-5.251036e-06,6.978639e-05,6.870755e-05,-1.119603e-07,2.084716e-08
1.180000e-11,-5.229961e-06,-5.229961e-06,6.779182e-05,6.930693e-05,-8.526253e-08,3.645068e-08
1.200000e-11,-5.194941e-06,-5.194941e-06,6.585195e-05,6.998468e-05,-1.015390e-07,5.390400e-08
1.220000e-11,-5.145808e-06,-5.145808e-06,6.384480e-05,7.056293e-05,-1.584979e-07,6.703016e-08
1.240000e-11,-5.083571e-06,-5.083571e-06,6.165356e-05,7.087253e-05,-2.312934e-07,7.258021e-08
1.260000e-11,-5.011769e-06,-5.011769e-06,5.918054e-05,7.077078e-05,-2.856016e-07,7.153930e-08
1.280000e-11,-4.936463e-06,-4.936463e-06,5.636048e-05,7.015469e-05,-2.971746e-07,6.834918e-08
