time,"I(RINA)","I(RINB)","I(RINC)","I(LQ|X1)","I(LQ|X2)"
0.000000e+00,-2.607123e-09,-2.607123e-09,-2.607123e-09,1.654570e-06,9.899706e-07
2.000000e-13,-9.912764e-07,-9.912764e-07,-9.912764e-07,1.886205e-06,1.126471e-06
4.000000e-13,-1.997332e-06,-1.997332e-06,-1.997332e-06,2.307651e-06,1.373935e-06
6.000000e-13,-2.997960e-06,-2.997960e-06,-2.997960e-06,2.978421e-06,1.768655e-06
8.000000e-13,-3.997444e-06,-3.997444e-06,-3.997444e-06,3.971066e-06,2.355959e-06
1.000000e-12,-4.996231e-06,-4.996231e-06,-4.996231e-06,5.381871e-06,3.198255e-06
1.200000e-12,-5.009971e-06,-5.009971e-06,-5.009971e-06,7.340284e-06,4.382322e-06
1.400000e-12,-5.007372e-06,-5.007372e-06,-5.007372e-06,1.001701e-05,6.027619e-06
1.600000e-12,-5.012032e-06,-5.012032e-06,-5.012032e-06,1.363738e-05,8.297171e-06
1.800000e-12,-5.021026e-06,-5.021026e-06,-5.021026e-06,1.849373e-05,1.141121e-05
2.000000e-12,-5.035768e-06,-5.035768e-06,-5.035768e-06,2.495366e-05,1.566272e-05
2.200000e-12,-5.058436e-06,-5.058436e-06,-5.058436e-06,3.345034e-05,2.143147e-05
2.400000e-12,-5.091831e-06,-5.091831e-06,-5.091831e-06,4.442826e-05,2.918795e-05
2.600000e-12,-5.139302e-06,-5.139302e-06,-5.139302e-06,5.820289e-05,3.946945e-05
2.800000e-12,-5.204320e-06,-5.204320e-06,-5.204320e-06,7.469863e-05,5.279678e-05
3.000000e-12,-5.289394e-06,-5.289394e-06,-5.289394e-06,9.310810e-05,6.948968e-05
3.200000e-12,-5.393728e-06,-5.393728e-06,-5.393728e-06,1.116892e-04,8.935394e-05
3.400000e-12,-5.508613e-06,-5.508613e-06,-5.508613e-06,1.280143e-04,1.112972e-04
3.600000e-12,-5.610325e-06,-5.610325e-06,-5.610325e-06,1.397159e-04,1.331019e-04
3.800000e-12,-5.656595e-06,-5.656595e-06,-5.656595e-06,1.453114e-04,1.516902e-04
4.000000e-12,-5.601785e-06,-5.601785e-06,-5.601785e-06,1.446341e-04,1.639576e-04
4.200000e-12,-5.429580e-06,-5.429580e-06,-5.429580e-06,1.387478e-04,1.677919e-04
4.400000e-12,-5.168881e-06,-5.168881e-06,-5.168881e-06,1.294986e-04,1.627577e-04
4.600000e-12,-4.879787e-06,-4.879787e-06,-4.879787e-06,1.189378e-04,1.501550e-04
4.800000e-12,-4.628875e-06,-4.628875e-06,-4.628875e-06,1.088303e-04,1.324835e-04
5.000000e-12,-4.465405e-06,-4.465405e-06,-4.465405e-06,1.003821e-04,1.126178e-04
5.200000e-12,-4.405362e-06,-4.405362e-06,-4.405362e-06,9.419652e-05,9.308172e-05
5.400000e-12,-4.432556e-06,-4.432556e-06,-4.432556e-06,9.037706e-05,7.566659e-05
5.600000e-12,-4.514662e-06,-4.514662e-06,-4.514662e-06,8.868283e-05,6.140127e-05
5.800000e-12,-4.620762e-06,-4.620762e-06,-4.620762e-06,8.867649e-05,5.073448e-05
6.000000e-12,-4.730620e-06,-4.730620e-06,-4.730620e-06,8.984116e-05,4.376954e-05
6.200000e-12,-4.835234e-06,-4.835234e-06,-4.835234e-06,9.166328e-05,4.045175e-05
6.400000e-12,-4.933026e-06,-4.933026e-06,-4.933026e-06,9.368517e-05,4.067742e-05
6.600000e-12,-5.025776e-06,-5.025776e-06,-5.025776e-06,9.553522e-05,4.433289e-05
6.800000e-12,-5.116018e-06,-5.116018e-06,-5.116018e-06,9.694741e-05,5.127899e-05
7.000000e-12,-5.205537e-06,-5.205537e-06,-5.205537e-06,9.778233e-05,6.128742e-05
7.200000e-12,-5.293821e-06,-5.293821e-06,-5.293821e-06,9.805440e-05,7.393323e-05
7.400000e-12,-5.375825e-06,-5.375825e-06,-5.375825e-06,9.795646e-05,8.846648e-05
7.600000e-12,-5.439862e-06,-5.439862e-06,-5.439862e-06,9.785784e-05,1.037218e-04
7.800000e-12,-5.468002e-06,-5.468002e-06,-5.468002e-06,9.824657e-05,1.181487e-04
8.000000e-12,-5.441571e-06,-5.441571e-06,-5.441571e-06,9.960147e-05,1.300235e-04
8.200000e-12,-5.351250e-06,-5.351250e-06,-5.351250e-06,1.022180e-04,1.378154e-04
8.400000e-12,-5.205705e-06,-5.205705e-06,-5.205705e-06,1.060537e-04,1.405744e-04
8.600000e-12,-5.031225e-06,-5.031225e-06,-5.031225e-06,1.106693e-04,1.381662e-04
8.800000e-12,-4.862243e-06,-4.862243e-06,-4.862243e-06,1.153034e-04,1.312562e-04
9.000000e-12,-4.729031e-06,-4.729031e-06,-4.729031e-06,1.190579e-04,1.210688e-04
9.200000e-12,-4.648616e-06,-4.648616e-06,-4.648616e-06,1.211223e-04,1.090428e-04
9.400000e-12,-4.622206e-06,-4.622206e-06,-4.622206e-06,1.209563e-04,9.652058e-05
9.600000e-12,-4.639005e-06,-4.639005e-06,-4.639005e-06,1.183749e-04,8.455285e-05
9.800000e-12,-4.683091e-06,-4.683091e-06,-4.683091e-06,1.135239e-04,7.383333e-05
1.000000e-11,-4.739457e-06,-4.739457e-06,-4.739457e-06,1.067735e-04,6.472551e-05
1.020000e-11,-4.797197e-06,-4.797197e-06,-4.797197e-06,9.858005e-05,5.733271e-05
1.040000e-11,-4.849985e-06,-4.849985e-06,-4.849985e-06,8.936496e-05,5.157315e-05
1.060000e-11,-4.895033e-06,-4.895033e-06,-4.895033e-06,7.944478e-05,4.724069e-05
1.080000e-11,-4.931652e-06,-4.931652e-06,-4.931652e-06,6.901903e-05,4.404730e-05
1.100000e-11,-4.960046e-06,-4.960046e-06,-4.960046e-06,5.820129e-05,4.165091e-05
1.120000e-11,-4.980545e-06,-4.980545e-06,-4.980545e-06,4.706953e-05,3.967511e-05
1.140000e-11,-4.993261e-06,-4.993261e-06,-4.993261e-06,3.571829e-05,3.772724e-05
1.160000e-11,-4.998110e-06,-4.998110e-06,-4.998110e-06,2.430607e-05,3.542001e-05
1.180000e-11,-4.995059e-06,-4.995059e-06,-4.995059e-06,1.309430e-05,3.239923e-05
1.200000e-11,-4.984457e-06,-4.984457e-06,-4.984457e-06,2.467940e-06,2.837686e-05
1.220000e-11,-4.967240e-06,-4.967240e-06,-4.967240e-06,-7.078139e-06,2.316584e-05
1.240000e-11,-4.944893e-06,-4.944893e-06,-4.944893e-06,-1.499646e-05,1.671212e-05
1.260000e-11,-4.919180e-06,-4.919180e-06,-4.919180e-06,-2.077805e-05,9.119824e-06
1.280000e-11,-4.891832e-06,-4.891832e-06,-4.891832e-06,-2.404826e-05,6.653740e-07
1.300000e-11,-4.864433e-06,-4.864433e-06,-4.864433e-06,-2.463657e-05,-8.206187e-06
1.320000e-11,-4.838559e-06,-4.838559e-06,-4.838559e-06,-2.260622e-05,-1.691013e-05
1.340000e-11,-4.816066e-06,-4.816066e-06,-4.816066e-06,-1.825092e-05,-2.477891e-05
1.360000e-11,-4.799215e-06,-4.799215e-06,-4.799215e-06,-1.207792e-05,-3.113824e-05
1.380000e-11,-4.790386e-06,-4.790386e-06,-4.790386e-06,-4.790073e-06,-3.538508e-05
1.400000e-11,-4.791406e-06,-4.791406e-06,-4.791406e-06,2.742129e-06,-3.705192e-05
1.420000e-11,-4.802899e-06,-4.802899e-06,-4.802899e-06,9.545046e-06,-3.585327e-05
1.440000e-11,-4.824133e-06,-4.824133e-06,-4.824133e-06,1.466042e-05,-3.172188e-05
1.460000e-11,-4.853484e-06,-4.853484e-06,-4.853484e-06,1.730019e-05,-2.484656e-05
1.480000e-11,-4.889142e-06,-4.889142e-06,-4.889142e-06,1.699122e-05,-1.571332e-05
1.500000e-11,-4.929573e-06,-4.929573e-06,-4.929573e-06,1.366656e-05,-5.126655e-06
1.520000e-11,-4.973488e-06,-4.973488e-06,-4.973488e-06,7.686451e-06,5.832880e-06
1.540000e-11,-5.019483e-06,-5.019483e-06,-5.019483e-06,-2.016618e-07,1.594271e-05
1.560000e-11,-5.065639e-06,-5.065639e-06,-5.065639e-06,-8.946672e-06,2.403326e-05
1.580000e-11,-5.109372e-06,-5.109372e-06,-5.109372e-06,-1.731660e-05,2.916910e-05
1.600000e-11,-5.147593e-06,-5.147593e-06,-5.147593e-06,-2.406520e-05,3.075836e-05
