time,"I(RIN)","I(RX1)","I(RX2)","I(LQ|XBFR1)","I(LQ|XBFR2)"
0.000000e+00,-2.640176e-12,3.356946e-15,5.109161e-15,9.452198e-10,9.452198e-10
2.000000e-13,-9.846532e-07,-7.286885e-08,1.393764e-07,-4.191192e-09,-4.191192e-09
4.000000e-13,-1.985554e-06,-7.845693e-08,1.575391e-07,-1.597492e-08,-1.597492e-08
6.000000e-13,-2.979639e-06,-8.670189e-08,1.728004e-07,-4.131528e-08,-4.131528e-08
8.000000e-13,-3.970553e-06,-9.622534e-08,1.914970e-07,-9.174030e-08,-9.174030e-08
1.000000e-12,-4.957847e-06,-9.828293e-08,1.963812e-07,-1.851699e-07,-1.851699e-07
1.200000e-12,-4.956098e-06,-9.164046e-08,1.839090e-07,-3.433954e-07,-3.433954e-07
1.400000e-12,-4.932323e-06,-7.975082e-08,1.606425e-07,-6.053653e-07,-6.053653e-07
1.600000e-12,-4.908175e-06,-6.796598e-08,1.373293e-07,-1.022074e-06,-1.022074e-06
1.800000e-12,-4.878063e-06,-6.112053e-08,1.238917e-07,-1.665039e-06,-1.665039e-06
2.000000e-12,-4.840150e-06,-6.144948e-08,1.253484e-07,-2.633001e-06,-2.633001e-06
2.200000e-12,-4.793034e-06,-6.764273e-08,1.400143e-07,-4.059712e-06,-4.059712e-06
2.400000e-12,-4.736368e-06,-7.534189e-08,1.606352e-07,-6.122291e-06,-6.122291e-06
2.600000e-12,-4.672443e-06,-7.887428e-08,1.777891e-07,-9.048562e-06,-9.048562e-06
2.800000e-12,-4.608431e-06,-7.381488e-08,1.839330e-07,-1.312066e-05,-1.312066e-05
3.000000e-12,-4.558344e-06,-5.989371e-08,1.763069e-07,-1.867132e-05,-1.867132e-05
3.200000e-12,-4.542084e-06,-4.291879e-08,1.575078e-07,-2.606863e-05,-2.606863e-05
3.400000e-12,-4.578586e-06,-3.287239e-08,1.336562e-07,-3.568258e-05,-3.568258e-05
3.600000e-12,-4.674595e-06,-3.716511e-08,1.111932e-07,-4.781877e-05,-4.781877e-05
3.800000e-12,-4.817501e-06,-5.448482e-08,9.404232e-08,-6.259194e-05,-6.259194e-05
4.000000e-12,-4.978697e-06,-7.567672e-08,8.289153e-08,-7.971653e-05,-7.971653e-05
4.200000e-12,-5.124563e-06,-9.055285e-08,7.728198e-08,-9.825208e-05,-9.825208e-05
4.400000e-12,-5.228212e-06,-9.443774e-08,7.857134e-08,-1.164605e-04,-1.164605e-04
4.600000e-12,-5.276771e-06,-8.975729e-08,8.975202e-08,-1.319945e-04,-1.319945e-04
