time,"I(RIN1)","I(RIN2)","I(LOUT)"
0.000000e+00,-2.877295e-09,-2.877295e-09,1.614412e-07
2.000000e-13,-9.918346e-07,-9.918346e-07,1.839688e-07
4.000000e-13,-1.998338e-06,-1.998338e-06,2.247524e-07
6.000000e-13,-2.999434e-06,-2.999434e-06,2.896963e-07
8.000000e-13,-3.999444e-06,-3.999444e-06,3.862644e-07
1.000000e-12,-4.998852e-06,-4.998852e-06,5.248584e-07
1.200000e-12,-5.013469e-06,-5.013469e-06,7.201190e-07
1.400000e-12,-5.011957e-06,-5.011957e-06,9.925102e-07
1.600000e-12,-5.018188e-06,-5.018188e-06,1.370460e-06
1.800000e-12,-5.029477e-06,-5.029477e-06,1.893284e-06
2.000000e-12,-5.047612e-06,-5.047612e-06,2.615020e-06
2.200000e-12,-5.075263e-06,-5.075263e-06,3.609189e-06
2.400000e-12,-5.115761e-06,-5.115761e-06,4.974167e-06
2.600000e-12,-5.172800e-06,-5.172800e-06,6.838191e-06
2.800000e-12,-5.249588e-06,-5.249588e-06,9.361560e-06
3.000000e-12,-5.347085e-06,-5.347085e-06,1.273092e-05
3.200000e-12,-5.460567e-06,-5.460567e-06,1.713588e-05
3.400000e-12,-5.573377e-06,-5.573377e-06,2.271313e-05
3.600000e-12,-5.650182e-06,-5.650182e-06,2.944374e-05
3.800000e-12,-5.642440e-06,-5.642440e-06,3.701290e-05
4.000000e-12,-5.517006e-06,-5.517006e-06,4.470084e-05
4.200000e-12,-5.283885e-06,-5.283885e-06,5.143272e-05
4.400000e-12,-4.993196e-06,-4.993196e-06,5.605018e-05
4.600000e-12,-4.712518e-06,-4.712518e-06,5.768984e-05
4.800000e-12,-4.501864e-06,-4.501864e-06,5.606969e-05
5.000000e-12,-4.392620e-06,-4.392620e-06,5.155141e-05
5.200000e-12,-4.380228e-06,-4.380228e-06,4.496816e-05
5.400000e-12,-4.435437e-06,-4.435437e-06,3.731931e-05
5.600000e-12,-4.523686e-06,-4.523686e-06,2.948473e-05
5.800000e-12,-4.619186e-06,-4.619186e-06,2.206669e-05
6.000000e-12,-4.709120e-06,-4.709120e-06,1.537607e-05
6.200000e-12,-4.790793e-06,-4.790793e-06,9.511504e-06
6.400000e-12,-4.866499e-06,-4.866499e-06,4.463107e-06
6.600000e-12,-4.939524e-06,-4.939524e-06,1.926163e-07
6.800000e-12,-5.012463e-06,-5.012463e-06,-3.326174e-06
7.000000e-12,-5.087182e-06,-5.087182e-06,-6.096830e-06
7.200000e-12,-5.165033e-06,-5.165033e-06,-8.101551e-06
7.400000e-12,-5.246391e-06,-5.246391e-06,-9.302760e-06
7.600000e-12,-5.329341e-06,-5.329341e-06,-9.643635e-06
7.800000e-12,-5.408232e-06,-5.408232e-06,-9.051578e-06
8.000000e-12,-5.473172e-06,-5.473172e-06,-7.448262e-06
8.200000e-12,-5.510224e-06,-5.510224e-06,-4.766592e-06
8.400000e-12,-5.501467e-06,-5.501467e-06,-9.712223e-07
8.600000e-12,-5.429534e-06,-5.429534e-06,3.921777e-06
8.800000e-12,-5.290665e-06,-5.290665e-06,9.827536e-06
9.000000e-12,-5.104023e-06,-5.104023e-06,1.657375e-05
9.200000e-12,-4.905636e-06,-4.905636e-06,2.387423e-05
9.400000e-12,-4.733541e-06,-4.733541e-06,3.129116e-05
9.600000e-12,-4.614680e-06,-4.614680e-06,3.820388e-05
9.800000e-12,-4.558549e-06,-4.558549e-06,4.384314e-05
1.000000e-11,-4.558247e-06,-4.558247e-06,4.744279e-05
1.020000e-11,-4.597071e-06,-4.597071e-06,4.846155e-05
1.040000e-11,-4.656751e-06,-4.656751e-06,4.674908e-05
1.060000e-11,-4.723322e-06,-4.723322e-06,4.256616e-05
1.080000e-11,-4.788981e-06,-4.788981e-06,3.646276e-05
1.100000e-11,-4.850741e-06,-4.850741e-06,2.909078e-05
1.120000e-11,-4.907917e-06,-4.907917e-06,2.104987e-05
1.140000e-11,-4.960210e-06,-4.960210e-06,1.283291e-05
1.160000e-11,-5.006952e-06,-5.006952e-06,4.866789e-06
1.180000e-11,-5.047049e-06,-5.047049e-06,-2.429598e-06
1.200000e-11,-5.079004e-06,-5.079004e-06,-8.652317e-06
1.220000e-11,-5.100951e-06,-5.100951e-06,-1.348153e-05
1.240000e-11,-5.110983e-06,-5.110983e-06,-1.674097e-05
1.260000e-11,-5.107962e-06,-5.107962e-06,-1.840044e-05
1.280000e-11,-5.092372e-06,-5.092372e-06,-1.853310e-05
1.300000e-11,-5.066428e-06,-5.066428e-06,-1.726671e-05
1.320000e-11,-5.033220e-06,-5.033220e-06,-1.476231e-05
1.340000e-11,-4.995458e-06,-4.995458e-06,-1.123363e-05
1.360000e-11,-4.954714e-06,-4.954714e-06,-6.988093e-06
1.380000e-11,-4.911571e-06,-4.911571e-06,-2.440963e-06
1.400000e-11,-4.866545e-06,-4.866545e-06,1.932331e-06
1.420000e-11,-4.821216e-06,-4.821216e-06,5.685258e-06
1.440000e-11,-4.778903e-06,-4.778903e-06,8.474839e-06
1.460000e-11,-4.744368e-06,-4.744368e-06,1.008809e-05
1.480000e-11,-4.722522e-06,-4.722522e-06,1.043108e-05
1.500000e-11,-4.716795e-06,-4.716795e-06,9.513677e-06
1.520000e-11,-4.728125e-06,-4.728125e-06,7.453766e-06
1.540000e-11,-4.755100e-06,-4.755100e-06,4.496403e-06
1.560000e-11,-4.794968e-06,-4.794968e-06,1.016555e-06
1.580000e-11,-4.844732e-06,-4.844732e-06,-2.524452e-06
1.600000e-11,-4.901726e-06,-4.901726e-06,-5.661840e-06
1.620000e-11,-4.963574e-06,-4.963574e-06,-8.009061e-06
1.640000e-11,-5.027866e-06,-5.027866e-06,-9.303692e-06
1.660000e-11,-5.091845e-06,-5.091845e-06,-9.416324e-06
1.680000e-11,-5.152234e-06,-5.152234e-06,-8.345928e-06
1.700000e-11,-5.205153e-06,-5.205153e-06,-6.222984e-06
1.720000e-11,-5.246112e-06,-5.246112e-06,-3.318127e-06
1.740000e-11,-5.270344e-06,-5.270344e-06,-2.973557e-08
1.760000e-11,-5.273776e-06,-5.273776e-06,3.172650e-06
1.780000e-11,-5.254545e-06,-5.254545e-06,5.837436e-06
1.800000e-11,-5.214114e-06,-5.214114e-06,7.612826e-06
1.820000e-11,-5.157040e-06,-5.157040e-06,8.291074e-06
1.840000e-11,-5.089501e-06,-5.089501e-06,7.816707e-06
1.860000e-11,-5.017675e-06,-5.017675e-06,6.280681e-06
1.880000e-11,-4.947004e-06,-4.947004e-06,3.915475e-06
1.900000e-11,-4.882511e-06,-4.882511e-06,1.081612e-06
1.920000e-11,-4.829499e-06,-4.829499e-06,-1.777410e-06
1.940000e-11,-4.793570e-06,-4.793570e-06,-4.215679e-06
1.960000e-11,-4.779406e-06,-4.779406e-06,-5.872496e-06
1.980000e-11,-4.788921e-06,-4.788921e-06,-6.531863e-06
